,Date,PX_last
0,1987/7/9,"1,482.89"
1,1987/7/10,1490.42
2,1987/7/16,1474.22
3,1987/7/17,1462.11
4,1987/7/20,1457.38
5,1987/7/21,1444.71
6,1987/7/22,1446.65
7,1987/7/23,1461.3
8,1987/7/24,1483.55
9,1987/7/27,1478.54
10,1987/7/28,1484.7
11,1987/7/29,1494.49
12,1987/7/30,1488.41
13,1987/7/31,1488.31
14,1987/8/3,1483.02
15,1987/8/4,1460.73
16,1987/8/5,1460.39
17,1987/8/6,1473.59
18,1987/8/7,1467.85
19,1987/8/10,1458.24
20,1987/8/11,1450.97
21,1987/8/12,1450.81
22,1987/8/13,1458.7
23,1987/8/14,1486.49
24,1987/8/17,1487.29
25,1987/8/18,1471.36
26,1987/8/19,1461.47
27,1987/8/20,1466.13
28,1987/8/21,1471.44
29,1987/8/24,1490.7
30,1987/8/25,1485.92
31,1987/8/26,1514.55
32,1987/8/27,1526.59
33,1987/8/28,1528.97
34,1987/8/31,1533.59
35,1987/9/1,1530.11
36,1987/9/2,1524
37,1987/9/3,1550.52
38,1987/9/4,1560.7
39,1987/9/7,1535.26
40,1987/9/8,1531.28
41,1987/9/9,1522.04
42,1987/9/10,1530.55
43,1987/9/11,1530.91
44,1987/9/14,1537.29
45,1987/9/15,1528.85
46,1987/9/16,1520.4
47,1987/9/17,1526.78
48,1987/9/18,1532.12
49,1987/9/21,1528.51
50,1987/9/22,1509.46
51,1987/9/23,1524.54
52,1987/9/24,1504.45
53,1987/9/25,1492.74
54,1987/9/28,1465.58
55,1987/9/29,1475.39
56,1987/9/30,1447.87
57,1987/10/1,1452.81
58,1987/10/2,1456.88
59,1987/10/5,1463
60,1987/10/6,1458.13
61,1987/10/7,1449.77
62,1987/10/8,1453.94
63,1987/10/9,1430.33
64,1987/10/12,1399.23
65,1987/10/13,1395.62
66,1987/10/14,1358.51
67,1987/10/15,1307.23
68,1987/10/16,1337.98
69,1987/10/19,1208.99
70,1987/10/20,1221.71
71,1987/10/21,1243.95
72,1987/10/22,1197.15
73,1987/10/23,1187.02
74,1987/10/26,1090.85
75,1987/10/27,1105.12
76,1987/10/28,1008.92
77,1987/10/29,1075.5
78,1987/10/30,1116.47
79,1987/11/3,1107.85
80,1987/11/4,1077.27
81,1987/11/5,1062.54
82,1987/11/6,1072.66
83,1987/11/9,1030.23
84,1987/11/10,954.72
85,1987/11/12,1036.57
86,1987/11/13,1038.71
87,1987/11/16,1101.16
88,1987/11/17,1080.33
89,1987/11/18,1072.08
90,1987/11/19,1049.44
91,1987/11/20,1024.93
92,1987/11/23,1035.37
93,1987/11/24,1077.91
94,1987/11/25,1075.03
95,1987/11/26,1067.85
96,1987/11/27,1066.91
97,1987/11/30,1037.43
98,1987/12/1,1032.26
99,1987/12/2,1026.98
100,1987/12/3,1018.78
101,1987/12/4,989.14
102,1987/12/7,964.2
103,1987/12/8,972.6
104,1987/12/9,966.89
105,1987/12/10,964.15
106,1987/12/11,977.04
107,1987/12/14,996.5
108,1987/12/15,1016.91
109,1987/12/16,1039.43
110,1987/12/17,1025.69
111,1987/12/18,1019.37
112,1987/12/21,1036.78
113,1987/12/22,1030.52
114,1987/12/23,1046.77
115,1987/12/28,1018.76
116,1987/12/29,1008.88
117,1987/12/30,1011.69
118,1987/12/31,1000
119,1988/1/4,984.64
120,1988/1/5,1021.17
121,1988/1/6,1028.05
122,1988/1/7,1024.08
123,1988/1/8,1029.22
124,1988/1/11,998.73
125,1988/1/12,991.98
126,1988/1/13,967.86
127,1988/1/14,972.88
128,1988/1/15,1007.86
129,1988/1/18,987.59
130,1988/1/19,971.99
131,1988/1/20,940.64
132,1988/1/21,928.67
133,1988/1/22,917.26
134,1988/1/25,915.39
135,1988/1/26,923.39
136,1988/1/27,913.98
137,1988/1/28,903.65
138,1988/1/29,893.82
139,1988/2/1,911.8
140,1988/2/2,935.09
141,1988/2/3,957.95
142,1988/2/4,971.94
143,1988/2/5,986.88
144,1988/2/8,981.64
145,1988/2/9,980.96
146,1988/2/10,992.89
147,1988/2/11,1028.23
148,1988/2/12,1034.42
149,1988/2/15,1044.76
150,1988/2/16,1043.66
151,1988/2/17,1062.63
152,1988/2/18,1082.35
153,1988/2/19,1096.59
154,1988/2/22,1114.15
155,1988/2/23,1095.64
156,1988/2/24,1101.97
157,1988/2/25,1122.62
158,1988/2/26,1109.46
159,1988/2/29,1112.58
160,1988/3/1,1108.58
161,1988/3/2,1092.88
162,1988/3/3,1084.45
163,1988/3/4,1079.51
164,1988/3/7,1074.84
165,1988/3/8,1067.42
166,1988/3/9,1087.67
167,1988/3/10,1081.35
168,1988/3/11,1064.64
169,1988/3/14,1064.92
170,1988/3/15,1058.58
171,1988/3/16,1064.86
172,1988/3/17,1070.54
173,1988/3/18,1087.43
174,1988/3/21,1065.03
175,1988/3/22,1049.63
176,1988/3/23,1053.93
177,1988/3/24,1055.06
178,1988/3/25,1042.71
179,1988/3/28,1015.17
180,1988/3/29,1024.24
181,1988/3/30,1021.37
182,1988/3/31,1016.71
183,1988/4/5,1018.57
184,1988/4/6,1022.88
185,1988/4/7,1035.32
186,1988/4/8,1042.75
187,1988/4/11,1070.04
188,1988/4/12,1077.73
189,1988/4/13,1106.35
190,1988/4/14,1093.78
191,1988/4/15,1092.22
192,1988/4/18,1100.15
193,1988/4/19,1097.55
194,1988/4/20,1098.87
195,1988/4/21,1115.58
196,1988/4/22,1129.99
197,1988/4/25,1107.54
198,1988/4/26,1136.98
199,1988/4/27,1137.4
200,1988/4/28,1137.79
201,1988/4/29,1127.54
202,1988/5/2,1131.39
203,1988/5/3,1132.93
204,1988/5/4,1144.82
205,1988/5/5,1130.58
206,1988/5/6,1133.51
207,1988/5/9,1142.12
208,1988/5/10,1137.02
209,1988/5/11,1116.16
210,1988/5/13,1117.16
211,1988/5/16,1114.71
212,1988/5/17,1128.45
213,1988/5/18,1117.07
214,1988/5/19,1113.77
215,1988/5/20,1135.72
216,1988/5/24,1141.62
217,1988/5/25,1180.84
218,1988/5/26,1181.84
219,1988/5/27,1199.64
220,1988/5/30,1221.6
221,1988/5/31,1235.78
222,1988/6/1,1249.4
223,1988/6/2,1237.62
224,1988/6/3,1242.44
225,1988/6/6,1256.62
226,1988/6/7,1255.95
227,1988/6/8,1271.78
228,1988/6/9,1295.59
229,1988/6/10,1292.43
230,1988/6/13,1271.54
231,1988/6/14,1287.88
232,1988/6/15,1287.13
233,1988/6/16,1260.37
234,1988/6/17,1265.13
235,1988/6/20,1267.23
236,1988/6/21,1259.27
237,1988/6/22,1279.45
238,1988/6/23,1287.93
239,1988/6/24,1316.43
240,1988/6/27,1307.86
241,1988/6/28,1300.87
242,1988/6/29,1307.45
243,1988/6/30,1320.17
244,1988/7/1,1328.52
245,1988/7/4,1338.79
246,1988/7/5,1353.43
247,1988/7/6,1370.18
248,1988/7/7,1371.22
249,1988/7/8,1368.96
250,1988/7/11,1339.64
251,1988/7/12,1324.88
252,1988/7/13,1306.17
253,1988/7/15,1316.43
254,1988/7/18,1293.82
255,1988/7/19,1275.52
256,1988/7/20,1290.69
257,1988/7/21,1299.84
258,1988/7/22,1300.54
259,1988/7/25,1296.16
260,1988/7/26,1308.26
261,1988/7/27,1308.93
262,1988/7/28,1305.6
263,1988/7/29,1320.55
264,1988/8/1,1328.8
265,1988/8/2,1331.93
266,1988/8/3,1327.79
267,1988/8/4,1326.98
268,1988/8/5,1324.48
269,1988/8/8,1321.32
270,1988/8/9,1323.15
271,1988/8/10,1305.94
272,1988/8/11,1292.18
273,1988/8/12,1295.32
274,1988/8/16,1285.91
275,1988/8/17,1303.51
276,1988/8/18,1303.88
277,1988/8/19,1310.02
278,1988/8/22,1309.21
279,1988/8/23,1293.81
280,1988/8/24,1306.76
281,1988/8/25,1286.42
282,1988/8/26,1281.27
283,1988/8/29,1280.55
284,1988/8/30,1286.36
285,1988/8/31,1292.81
286,1988/9/1,1277.76
287,1988/9/2,1286.12
288,1988/9/5,1290.34
289,1988/9/6,1290.06
290,1988/9/7,1306.59
291,1988/9/8,1303.66
292,1988/9/9,1301.6
293,1988/9/12,1312.61
294,1988/9/13,1335.18
295,1988/9/14,1369.75
296,1988/9/15,1364.81
