,Date,PX_last
0,1998/6/30,100.17
1,1998/7/31,101.43
2,1998/8/3,101.64
3,1998/8/4,101.67
4,1998/8/5,101.72
5,1998/8/6,101.78
6,1998/8/7,101.9
7,1998/8/10,102.05
8,1998/8/11,102.29
9,1998/8/12,102.17
10,1998/8/13,102.22
11,1998/8/14,102.23
12,1998/8/17,102.47
13,1998/8/18,102.44
14,1998/8/19,102.38
15,1998/8/20,102.61
16,1998/8/21,102.96
17,1998/8/24,102.87
18,1998/8/25,103.18
19,1998/8/26,102.79
20,1998/8/27,102.98
21,1998/8/28,103.17
22,1998/8/31,103.17
23,1998/9/1,103.03
24,1998/9/2,103.07
25,1998/9/3,103.3
26,1998/9/4,103.35
27,1998/9/8,103.52
28,1998/9/9,104.03
29,1998/9/10,104.54
30,1998/9/11,104.67
31,1998/9/14,104.44
32,1998/9/15,104.64
33,1998/9/16,104.51
34,1998/9/17,104.73
35,1998/9/18,104.56
36,1998/9/21,104.92
37,1998/9/22,104.74
38,1998/9/23,104.56
39,1998/9/24,104.57
40,1998/9/25,104.66
41,1998/9/28,104.68
42,1998/9/29,104.68
43,1998/9/30,104.99
44,1998/10/1,105.44
45,1998/10/2,105.39
46,1998/10/5,105.3
47,1998/10/6,105.31
48,1998/10/7,105.3
49,1998/10/8,104.29
50,1998/10/9,102.81
51,1998/10/13,103.85
52,1998/10/14,104.14
53,1998/10/15,104.45
54,1998/10/16,104.52
55,1998/10/19,104.7
56,1998/10/20,104.41
57,1998/10/21,104.64
58,1998/10/22,104.66
59,1998/10/23,104.71
60,1998/10/26,104.57
61,1998/10/27,104.71
62,1998/10/28,104.67
63,1998/10/29,104.77
64,1998/10/30,104.71
65,1998/11/2,104.82
66,1998/11/3,105.14
67,1998/11/4,105.05
68,1998/11/5,104.95
69,1998/11/6,104.69
70,1998/11/9,104.69
71,1998/11/10,104.75
72,1998/11/11,104.73
73,1998/11/12,104.79
74,1998/11/13,104.73
75,1998/11/16,104.71
76,1998/11/17,104.84
77,1998/11/18,105.22
78,1998/11/19,105.3
79,1998/11/20,105.41
80,1998/11/23,105.62
81,1998/11/24,105.46
82,1998/11/25,105.68
83,1998/11/27,105.93
84,1998/11/30,106.25
85,1998/12/1,106.48
86,1998/12/2,106.52
87,1998/12/3,106.61
88,1998/12/4,106.59
89,1998/12/7,106.88
90,1998/12/8,106.79
91,1998/12/9,107.27
92,1998/12/10,107.4
93,1998/12/11,107.37
94,1998/12/14,107.25
95,1998/12/15,107.17
96,1998/12/16,107.03
97,1998/12/17,107.14
98,1998/12/18,107.33
99,1998/12/21,107.24
100,1998/12/22,106.98
101,1998/12/23,107.1
102,1998/12/24,107.14
103,1998/12/28,107.15
104,1998/12/29,107.21
105,1998/12/30,107.47
106,1998/12/31,107.7
107,1999/1/4,108.21
108,1999/1/5,108.21
109,1999/1/6,108.25
110,1999/1/7,108.25
111,1999/1/8,108.39
112,1999/1/11,108.19
113,1999/1/12,108.28
114,1999/1/13,108.54
115,1999/1/14,108.62
116,1999/1/15,108.63
117,1999/1/19,108.88
118,1999/1/20,108.8
119,1999/1/21,108.93
120,1999/1/22,109.11
121,1999/1/25,109.16
122,1999/1/26,109.17
123,1999/1/27,109.19
124,1999/1/28,109.17
125,1999/1/29,109.16
126,1999/2/1,108.94
127,1999/2/2,108.92
128,1999/2/3,108.76
129,1999/2/4,108.46
130,1999/2/5,108.66
131,1999/2/8,108.45
132,1999/2/9,108.66
133,1999/2/10,108.7
134,1999/2/11,108.8
135,1999/2/12,108.58
136,1999/2/15,108.56
137,1999/2/16,108.24
138,1999/2/17,108.25
139,1999/2/18,108.21
140,1999/2/19,108.36
141,1999/2/22,108.48
142,1999/2/23,108.62
143,1999/2/24,108.5
144,1999/2/25,108.15
145,1999/2/26,107.91
146,1999/3/1,107.44
147,1999/3/2,107.56
148,1999/3/3,107.4
149,1999/3/4,107.26
150,1999/3/5,107.96
151,1999/3/8,107.86
152,1999/3/9,107.73
153,1999/3/10,108.36
154,1999/3/11,108.0
155,1999/3/12,108.15
156,1999/3/15,108.26
157,1999/3/16,108.36
158,1999/3/17,108.56
159,1999/3/18,108.69
160,1999/3/19,108.64
161,1999/3/22,108.51
162,1999/3/23,108.42
163,1999/3/24,108.45
164,1999/3/25,108.55
165,1999/3/26,108.25
166,1999/3/29,108.37
167,1999/3/30,108.45
168,1999/3/31,108.62
169,1999/4/1,108.63
170,1999/4/5,108.69
171,1999/4/6,109.11
172,1999/4/7,109.21
173,1999/4/8,109.18
174,1999/4/9,109.58
175,1999/4/12,109.78
176,1999/4/13,109.6
177,1999/4/14,109.63
178,1999/4/15,109.47
179,1999/4/16,109.43
180,1999/4/19,109.5
181,1999/4/20,109.74
182,1999/4/21,109.79
183,1999/4/22,109.77
184,1999/4/23,109.83
185,1999/4/26,109.72
186,1999/4/27,109.84
187,1999/4/28,109.76
188,1999/4/29,109.88
189,1999/4/30,109.79
190,1999/5/3,109.81
191,1999/5/4,109.59
192,1999/5/5,109.52
193,1999/5/6,109.39
194,1999/5/7,109.5
195,1999/5/10,109.38
196,1999/5/11,109.34
197,1999/5/12,109.38
198,1999/5/13,109.42
199,1999/5/14,108.96
200,1999/5/17,109.06
201,1999/5/18,109.2
202,1999/5/19,109.08
203,1999/5/20,109.2
204,1999/5/21,109.36
205,1999/5/24,109.43
206,1999/5/25,109.48
207,1999/5/26,109.51
208,1999/5/27,109.27
209,1999/5/28,109.17
210,1999/6/1,108.58
211,1999/6/2,108.36
212,1999/6/3,108.4
213,1999/6/4,108.31
214,1999/6/7,108.49
215,1999/6/8,108.55
216,1999/6/9,108.42
217,1999/6/10,107.88
218,1999/6/11,107.91
219,1999/6/14,107.99
220,1999/6/15,108.12
221,1999/6/16,108.23
222,1999/6/17,108.41
223,1999/6/18,108.46
224,1999/6/21,108.16
225,1999/6/22,107.85
226,1999/6/23,107.49
227,1999/6/24,106.97
228,1999/6/25,107.16
229,1999/6/28,107.15
230,1999/6/29,107.28
231,1999/6/30,107.28
232,1999/7/1,107.19
233,1999/7/2,107.12
234,1999/7/5,107.14
235,1999/7/6,106.9
236,1999/7/7,106.56
237,1999/7/8,106.36
238,1999/7/9,106.55
239,1999/7/12,106.62
240,1999/7/13,107.04
241,1999/7/14,107.1
242,1999/7/15,106.51
243,1999/7/16,106.55
244,1999/7/19,106.59
245,1999/7/20,106.84
246,1999/7/21,107.23
247,1999/7/22,107.06
248,1999/7/23,107.02
249,1999/7/26,107.06
250,1999/7/27,107.0
251,1999/7/28,106.98
252,1999/7/29,106.58
253,1999/7/30,106.3
254,1999/8/2,105.93
255,1999/8/3,105.85
256,1999/8/4,105.93
257,1999/8/5,105.53
258,1999/8/6,105.27
259,1999/8/9,105.27
260,1999/8/10,105.28
261,1999/8/11,105.53
262,1999/8/12,105.94
263,1999/8/13,106.1
264,1999/8/16,106.03
265,1999/8/17,106.04
266,1999/8/18,106.34
267,1999/8/19,106.4
268,1999/8/20,106.5
269,1999/8/23,106.66
270,1999/8/24,106.55
271,1999/8/25,106.6
272,1999/8/26,106.74
273,1999/8/27,106.54
274,1999/8/30,106.51
275,1999/8/31,106.19
276,1999/9/1,106.07
277,1999/9/2,105.67
278,1999/9/3,106.04
279,1999/9/6,106.13
280,1999/9/7,105.58
281,1999/9/8,105.73
282,1999/9/9,105.66
283,1999/9/10,105.68
284,1999/9/13,105.42
285,1999/9/14,105.4
286,1999/9/15,105.18
287,1999/9/16,105.54
288,1999/9/17,105.82
289,1999/9/20,105.75
290,1999/9/21,105.69
291,1999/9/22,105.68
292,1999/9/23,105.9
293,1999/9/24,106.24
294,1999/9/27,105.93
295,1999/9/28,105.89
296,1999/9/29,105.75
297,1999/9/30,105.86
298,1999/10/1,105.39
299,1999/10/4,105.32
300,1999/10/5,105.39
301,1999/10/6,105.28
302,1999/10/7,105.31
303,1999/10/8,105.24
304,1999/10/11,105.18
305,1999/10/12,104.78
306,1999/10/13,104.82
307,1999/10/14,104.84
308,1999/10/15,104.48
309,1999/10/18,104.53
310,1999/10/19,104.63
311,1999/10/20,104.26
312,1999/10/21,104.61
313,1999/10/22,104.63
314,1999/10/25,104.34
315,1999/10/26,104.44
316,1999/10/27,104.85
317,1999/10/28,105.28
318,1999/10/29,105.65
319,1999/11/1,105.73
320,1999/11/2,106.0
321,1999/11/3,105.84
322,1999/11/4,106.27
323,1999/11/5,106.5
324,1999/11/8,106.81
325,1999/11/9,106.79
326,1999/11/10,106.59
327,1999/11/11,106.66
328,1999/11/12,107.12
329,1999/11/15,107.16
330,1999/11/16,107.29
331,1999/11/17,106.86
332,1999/11/18,106.57
333,1999/11/19,106.37
334,1999/11/22,106.36
335,1999/11/23,106.4
336,1999/11/24,106.0
337,1999/11/25,106.02
338,1999/11/26,105.8
339,1999/11/29,105.77
340,1999/11/30,106.28
341,1999/12/1,106.44
342,1999/12/2,106.07
343,1999/12/3,106.28
344,1999/12/6,106.75
345,1999/12/7,106.95
346,1999/12/8,106.73
347,1999/12/9,106.87
348,1999/12/10,107.18
349,1999/12/13,107.06
350,1999/12/14,106.77
351,1999/12/15,106.91
352,1999/12/16,106.2
353,1999/12/17,105.98
354,1999/12/20,106.01
355,1999/12/21,106.03
356,1999/12/22,105.99
357,1999/12/23,106.18
358,1999/12/24,106.19
359,1999/12/27,106.24
360,1999/12/28,106.2
361,1999/12/29,106.08
362,1999/12/30,105.8
363,1999/12/31,105.82
364,2000/1/3,105.77
365,2000/1/4,105.32
366,2000/1/5,105.25
367,2000/1/6,105.12
368,2000/1/7,105.62
369,2000/1/10,105.87
370,2000/1/11,105.32
371,2000/1/12,105.22
372,2000/1/13,105.4
373,2000/1/14,105.29
374,2000/1/17,105.3
375,2000/1/18,104.98
376,2000/1/19,105.19
377,2000/1/20,105.16
378,2000/1/21,105.23
379,2000/1/24,105.25
380,2000/1/25,105.56
381,2000/1/26,105.53
382,2000/1/27,105.04
383,2000/1/28,105.1
384,2000/1/31,105.41
385,2000/2/1,105.78
386,2000/2/2,105.78
387,2000/2/3,105.86
388,2000/2/4,105.64
389,2000/2/7,105.53
390,2000/2/8,105.78
391,2000/2/9,105.62
392,2000/2/10,105.38
393,2000/2/11,105.39
394,2000/2/14,105.67
395,2000/2/15,105.6
396,2000/2/16,105.48
397,2000/2/17,105.46
398,2000/2/18,105.51
399,2000/2/21,105.73
400,2000/2/22,106.16
401,2000/2/23,106.07
402,2000/2/24,106.41
403,2000/2/25,106.26
404,2000/2/28,106.09
405,2000/2/29,106.04
406,2000/3/1,106.13
407,2000/3/2,106.0
408,2000/3/3,106.25
409,2000/3/6,106.3
410,2000/3/7,106.41
411,2000/3/8,106.35
412,2000/3/9,106.79
413,2000/3/10,106.66
414,2000/3/13,106.86
415,2000/3/14,106.71
416,2000/3/15,106.84
417,2000/3/16,107.19
418,2000/3/17,107.29
419,2000/3/20,107.36
420,2000/3/21,107.48
421,2000/3/22,107.37
422,2000/3/23,107.58
423,2000/3/24,107.39
424,2000/3/27,107.14
425,2000/3/28,107.35
426,2000/3/29,107.17
427,2000/3/30,107.36
428,2000/3/31,107.56
429,2000/4/3,107.68
430,2000/4/4,107.7
431,2000/4/5,108.05
432,2000/4/6,107.71
433,2000/4/7,107.8
434,2000/4/10,107.92
435,2000/4/11,107.98
436,2000/4/12,107.87
437,2000/4/13,107.8
438,2000/4/14,107.6
439,2000/4/17,107.72
440,2000/4/18,107.65
441,2000/4/19,107.53
442,2000/4/20,107.41
443,2000/4/25,107.33
444,2000/4/26,107.56
445,2000/4/27,107.46
446,2000/4/28,107.5
447,2000/5/1,107.51
448,2000/5/2,107.21
449,2000/5/3,106.83
450,2000/5/4,106.59
451,2000/5/5,106.58
452,2000/5/8,106.82
453,2000/5/9,107.01
454,2000/5/10,107.15
455,2000/5/11,106.66
456,2000/5/12,106.76
457,2000/5/15,106.93
458,2000/5/16,107.05
459,2000/5/17,106.57
460,2000/5/18,106.56
461,2000/5/19,106.49
462,2000/5/22,106.82
463,2000/5/23,106.86
464,2000/5/24,107.09
465,2000/5/25,107.37
466,2000/5/26,107.72
467,2000/5/30,107.48
468,2000/5/31,107.57
469,2000/6/1,107.86
470,2000/6/2,108.16
471,2000/6/5,108.24
472,2000/6/6,108.11
473,2000/6/7,108.19
474,2000/6/8,107.67
475,2000/6/9,107.89
476,2000/6/12,107.94
477,2000/6/13,108.16
478,2000/6/14,108.0
479,2000/6/15,108.1
480,2000/6/16,108.4
481,2000/6/19,108.35
482,2000/6/20,108.29
483,2000/6/21,107.89
484,2000/6/22,107.77
485,2000/6/23,107.63
486,2000/6/26,107.76
487,2000/6/27,107.77
488,2000/6/28,107.78
489,2000/6/29,108.0
490,2000/6/30,108.0
491,2000/7/3,107.81
492,2000/7/4,107.83
493,2000/7/5,108.04
494,2000/7/6,107.74
495,2000/7/7,107.97
496,2000/7/10,107.91
497,2000/7/11,108.05
498,2000/7/12,107.91
499,2000/7/13,107.97
500,2000/7/14,107.76
501,2000/7/17,107.73
502,2000/7/18,107.73
503,2000/7/19,107.85
504,2000/7/20,108.01
505,2000/7/21,108.07
506,2000/7/24,108.13
507,2000/7/25,108.3
508,2000/7/26,108.52
509,2000/7/27,108.5
510,2000/7/28,108.4
511,2000/7/31,108.38
512,2000/8/1,108.67
513,2000/8/2,108.58
514,2000/8/3,108.54
515,2000/8/4,108.53
516,2000/8/7,108.74
517,2000/8/8,108.65
518,2000/8/9,108.71
519,2000/8/10,108.86
520,2000/8/11,108.77
521,2000/8/14,108.7
522,2000/8/15,108.5
523,2000/8/16,108.47
524,2000/8/17,108.49
525,2000/8/18,108.48
526,2000/8/21,108.32
527,2000/8/22,108.44
528,2000/8/23,108.56
529,2000/8/24,108.59
530,2000/8/25,108.53
531,2000/8/28,108.57
532,2000/8/29,108.37
533,2000/8/30,108.4
534,2000/8/31,108.46
535,2000/9/1,108.99
536,2000/9/4,108.99
537,2000/9/5,108.89
538,2000/9/6,108.73
539,2000/9/7,108.71
540,2000/9/8,108.64
541,2000/9/11,108.73
542,2000/9/12,108.7
543,2000/9/13,108.79
544,2000/9/14,108.85
545,2000/9/15,108.8
546,2000/9/18,108.71
547,2000/9/19,108.87
548,2000/9/20,108.87
549,2000/9/21,109.03
550,2000/9/22,109.23
551,2000/9/25,109.0
552,2000/9/26,109.14
553,2000/9/27,109.05
554,2000/9/28,109.15
555,2000/9/29,109.34
556,2000/10/2,109.36
557,2000/10/3,109.37
558,2000/10/4,109.35
559,2000/10/5,109.25
560,2000/10/6,109.36
561,2000/10/9,109.57
562,2000/10/10,109.54
563,2000/10/11,109.78
564,2000/10/12,109.78
565,2000/10/13,109.73
566,2000/10/16,109.7
567,2000/10/17,109.69
568,2000/10/18,109.71
569,2000/10/19,109.69
570,2000/10/20,109.69
571,2000/10/23,109.7
572,2000/10/24,109.75
573,2000/10/25,109.54
574,2000/10/26,109.67
575,2000/10/27,109.79
576,2000/10/30,109.81
577,2000/10/31,109.81
578,2000/11/1,109.92
579,2000/11/2,109.92
580,2000/11/3,109.93
581,2000/11/6,109.91
582,2000/11/7,109.87
583,2000/11/8,109.8
584,2000/11/9,109.91
585,2000/11/10,110.01
586,2000/11/13,110.19
587,2000/11/14,110.21
588,2000/11/15,110.27
589,2000/11/16,110.35
590,2000/11/17,110.36
591,2000/11/20,110.45
592,2000/11/21,110.38
593,2000/11/22,110.62
594,2000/11/23,110.62
595,2000/11/24,110.66
596,2000/11/27,110.71
597,2000/11/28,110.95
598,2000/11/29,111.01
599,2000/11/30,111.37
600,2000/12/1,111.38
601,2000/12/4,111.65
602,2000/12/5,111.66
603,2000/12/6,111.82
604,2000/12/7,111.87
605,2000/12/8,111.77
606,2000/12/11,111.76
607,2000/12/12,111.77
608,2000/12/13,112.03
609,2000/12/14,112.19
610,2000/12/15,112.44
611,2000/12/18,112.64
612,2000/12/19,112.44
613,2000/12/20,112.58
614,2000/12/21,112.56
615,2000/12/22,112.59
616,2000/12/27,112.76
617,2000/12/28,112.62
618,2000/12/29,112.94
619,2001/1/2,113.54
620,2001/1/3,113.68
621,2001/1/4,113.69
622,2001/1/5,113.93
623,2001/1/8,113.96
624,2001/1/9,113.69
625,2001/1/10,113.44
626,2001/1/11,113.6
627,2001/1/12,113.24
628,2001/1/15,113.34
629,2001/1/16,113.29
630,2001/1/17,113.38
631,2001/1/18,113.51
632,2001/1/19,113.45
633,2001/1/22,113.4
634,2001/1/23,113.57
635,2001/1/24,113.33
636,2001/1/25,113.27
637,2001/1/26,113.38
638,2001/1/29,113.5
639,2001/1/30,113.7
640,2001/1/31,113.9
641,2001/2/1,113.93
642,2001/2/2,113.95
643,2001/2/5,114.12
644,2001/2/6,114.08
645,2001/2/7,114.2
646,2001/2/8,114.0
647,2001/2/9,114.15
648,2001/2/12,114.2
649,2001/2/13,114.26
650,2001/2/14,114.14
651,2001/2/15,113.79
652,2001/2/16,113.92
653,2001/2/19,114.03
654,2001/2/20,113.96
655,2001/2/21,113.86
656,2001/2/22,113.79
657,2001/2/23,113.94
