,Date,PX_last
0,1993/12/31,100.0
1,1994/1/3,99.72
2,1994/1/4,100.2
3,1994/1/5,100.66
4,1994/1/6,101.34
5,1994/1/7,101.35
6,1994/1/10,100.66
7,1994/1/11,101.04
8,1994/1/12,101.92
9,1994/1/13,102.19
10,1994/1/14,101.74
11,1994/1/18,101.88
12,1994/1/19,100.92
13,1994/1/20,100.7
14,1994/1/21,100.19
15,1994/1/24,98.83
16,1994/1/25,99.24
17,1994/1/26,99.62
18,1994/1/27,100.28
19,1994/1/28,100.36
20,1994/1/31,101.07
21,1994/2/1,100.86
22,1994/2/2,100.67
23,1994/2/3,100.14
24,1994/2/4,99.98
25,1994/2/7,99.14
26,1994/2/8,99.2
27,1994/2/9,99.49
28,1994/2/10,99.4
29,1994/2/11,99.33
30,1994/2/14,98.62
31,1994/2/15,97.96
32,1994/2/16,98.4
33,1994/2/17,98.02
34,1994/2/18,97.08
35,1994/2/22,97.06
36,1994/2/23,96.96
37,1994/2/24,93.26
38,1994/2/25,90.68
39,1994/2/28,92.55
40,1994/3/1,90.91
41,1994/3/2,89.45
42,1994/3/3,89.84
43,1994/3/4,90.03
44,1994/3/7,91.75
45,1994/3/8,91.84
46,1994/3/9,91.51
47,1994/3/10,90.41
48,1994/3/11,89.18
49,1994/3/14,88.88
50,1994/3/15,88.35
51,1994/3/16,89.28
52,1994/3/17,89.5
53,1994/3/18,88.49
54,1994/3/21,85.63
55,1994/3/22,87.45
56,1994/3/23,88.34
57,1994/3/24,85.5
58,1994/3/25,85.02
59,1994/3/28,81.83
60,1994/3/29,80.25
61,1994/3/30,80.55
62,1994/3/31,80.05
63,1994/4/4,76.68
64,1994/4/5,77.99
65,1994/4/6,79.18
66,1994/4/7,82.0
67,1994/4/8,81.44
68,1994/4/11,81.39
69,1994/4/12,83.07
70,1994/4/13,81.39
71,1994/4/14,80.0
72,1994/4/15,79.56
73,1994/4/18,78.24
74,1994/4/19,77.75
75,1994/4/20,77.07
76,1994/4/21,76.76
77,1994/4/22,78.14
78,1994/4/25,80.27
79,1994/4/26,80.12
80,1994/4/28,78.74
81,1994/4/29,78.62
82,1994/5/2,78.66
83,1994/5/3,79.82
84,1994/5/4,80.1
85,1994/5/5,80.39
86,1994/5/6,79.48
87,1994/5/9,79.18
88,1994/5/10,79.79
89,1994/5/11,80.2
90,1994/5/12,81.15
91,1994/5/13,81.72
92,1994/5/16,81.57
93,1994/5/17,81.84
94,1994/5/18,82.6
95,1994/5/19,83.59
96,1994/5/20,83.48
97,1994/5/23,83.32
98,1994/5/24,83.89
99,1994/5/25,83.81
100,1994/5/26,84.21
101,1994/5/27,84.12
102,1994/5/31,84.27
103,1994/6/1,83.65
104,1994/6/2,83.52
105,1994/6/3,84.07
106,1994/6/6,84.78
107,1994/6/7,84.87
108,1994/6/8,85.1
109,1994/6/9,84.77
110,1994/6/10,84.96
111,1994/6/13,83.81
112,1994/6/14,83.56
113,1994/6/15,82.74
114,1994/6/16,82.62
115,1994/6/17,82.1
116,1994/6/20,81.58
117,1994/6/21,80.89
118,1994/6/22,81.84
119,1994/6/23,81.03
120,1994/6/24,80.33
121,1994/6/27,79.7
122,1994/6/28,79.44
123,1994/6/29,80.14
124,1994/6/30,79.28
125,1994/7/1,79.36
126,1994/7/5,79.34
127,1994/7/6,79.3
128,1994/7/7,80.31
129,1994/7/8,80.52
130,1994/7/11,80.48
131,1994/7/12,80.7
132,1994/7/13,80.97
133,1994/7/14,81.51
134,1994/7/15,81.19
135,1994/7/18,80.89
136,1994/7/19,80.88
137,1994/7/20,80.32
138,1994/7/21,80.0
139,1994/7/22,80.09
140,1994/7/25,79.76
141,1994/7/26,79.62
142,1994/7/27,79.99
143,1994/7/28,80.38
144,1994/7/29,80.96
145,1994/8/1,80.67
146,1994/8/2,81.56
147,1994/8/3,82.26
148,1994/8/4,82.58
149,1994/8/5,82.72
150,1994/8/8,83.58
151,1994/8/9,83.31
152,1994/8/10,83.68
153,1994/8/11,83.76
154,1994/8/12,84.06
155,1994/8/15,84.89
156,1994/8/16,86.22
157,1994/8/17,86.3
158,1994/8/18,85.33
159,1994/8/19,85.75
160,1994/8/22,87.1
161,1994/8/23,87.38
162,1994/8/24,87.65
163,1994/8/25,86.76
164,1994/8/26,86.95
165,1994/8/29,86.81
166,1994/8/30,87.12
167,1994/8/31,87.56
168,1994/9/1,87.44
169,1994/9/2,87.02
170,1994/9/6,86.25
171,1994/9/7,86.58
172,1994/9/8,87.25
173,1994/9/9,86.89
174,1994/9/12,86.5
175,1994/9/13,86.92
176,1994/9/14,87.69
177,1994/9/15,87.88
178,1994/9/16,87.76
179,1994/9/19,88.0
180,1994/9/20,87.83
181,1994/9/21,87.51
182,1994/9/22,88.15
183,1994/9/23,88.79
184,1994/9/26,88.78
185,1994/9/27,88.62
186,1994/9/28,88.78
187,1994/9/29,88.89
188,1994/9/30,89.34
189,1994/10/3,89.88
190,1994/10/4,89.66
191,1994/10/5,89.21
192,1994/10/6,88.92
193,1994/10/7,89.13
194,1994/10/11,89.59
195,1994/10/12,89.53
196,1994/10/13,89.93
197,1994/10/14,89.89
198,1994/10/17,89.74
199,1994/10/18,89.7
200,1994/10/19,89.09
201,1994/10/20,88.94
202,1994/10/21,89.06
203,1994/10/24,88.51
204,1994/10/25,87.13
205,1994/10/26,86.96
206,1994/10/27,86.29
207,1994/10/28,86.82
208,1994/10/31,86.75
209,1994/11/1,86.12
210,1994/11/2,84.85
211,1994/11/3,84.11
212,1994/11/4,84.55
213,1994/11/7,84.43
214,1994/11/8,85.16
215,1994/11/9,85.79
216,1994/11/10,85.76
217,1994/11/14,86.33
218,1994/11/15,87.09
219,1994/11/16,86.68
220,1994/11/17,85.66
221,1994/11/18,85.51
222,1994/11/21,84.59
223,1994/11/22,85.01
224,1994/11/23,85.35
225,1994/11/25,85.12
226,1994/11/28,85.31
227,1994/11/29,86.39
228,1994/11/30,87.13
229,1994/12/1,87.36
230,1994/12/2,88.16
231,1994/12/5,88.1
232,1994/12/6,88.22
233,1994/12/7,88.0
234,1994/12/8,87.77
235,1994/12/9,88.55
236,1994/12/12,88.59
237,1994/12/13,88.99
238,1994/12/14,88.9
239,1994/12/15,88.84
240,1994/12/16,88.44
241,1994/12/19,88.33
242,1994/12/20,87.26
243,1994/12/21,84.39
244,1994/12/22,82.13
245,1994/12/23,83.65
246,1994/12/27,78.94
247,1994/12/28,80.81
248,1994/12/29,82.71
249,1994/12/30,81.65
250,1995/1/3,80.74
251,1995/1/4,77.98
252,1995/1/5,79.79
253,1995/1/6,79.05
254,1995/1/9,74.58
255,1995/1/10,67.8
256,1995/1/11,70.52
257,1995/1/12,77.29
258,1995/1/13,78.19
259,1995/1/17,78.39
260,1995/1/18,78.3
261,1995/1/19,77.01
262,1995/1/20,75.84
263,1995/1/23,76.32
264,1995/1/24,77.59
265,1995/1/25,76.78
266,1995/1/26,77.64
267,1995/1/27,76.3
268,1995/1/30,74.0
269,1995/1/31,77.91
270,1995/2/1,78.42
271,1995/2/2,77.82
272,1995/2/3,79.04
273,1995/2/6,79.51
274,1995/2/7,79.02
275,1995/2/8,77.62
276,1995/2/9,77.01
277,1995/2/10,76.25
278,1995/2/13,75.72
279,1995/2/14,74.96
280,1995/2/15,74.08
281,1995/2/16,73.08
282,1995/2/17,74.95
283,1995/2/21,74.37
284,1995/2/22,73.99
285,1995/2/23,74.98
286,1995/2/24,75.09
287,1995/2/27,73.92
288,1995/2/28,74.18
289,1995/3/1,72.79
290,1995/3/2,70.97
291,1995/3/3,71.32
292,1995/3/6,69.95
293,1995/3/7,66.76
294,1995/3/8,65.2
295,1995/3/9,63.49
296,1995/3/10,67.23
297,1995/3/13,68.48
298,1995/3/14,71.01
299,1995/3/15,69.93
300,1995/3/16,68.83
301,1995/3/17,67.84
302,1995/3/20,68.32
303,1995/3/21,68.93
304,1995/3/22,69.43
305,1995/3/23,69.26
306,1995/3/24,70.48
307,1995/3/27,71.76
308,1995/3/28,71.01
309,1995/3/29,71.43
310,1995/3/30,73.01
311,1995/3/31,73.0
312,1995/4/3,73.85
313,1995/4/4,75.17
314,1995/4/5,74.7
315,1995/4/6,75.31
316,1995/4/7,75.97
317,1995/4/10,75.83
318,1995/4/11,74.97
319,1995/4/12,75.43
320,1995/4/13,76.69
321,1995/4/17,77.59
322,1995/4/18,77.17
323,1995/4/19,77.89
324,1995/4/20,79.51
325,1995/4/21,80.03
326,1995/4/24,80.88
327,1995/4/25,81.25
328,1995/4/26,81.13
329,1995/4/27,80.6
330,1995/4/28,80.38
331,1995/5/1,79.94
332,1995/5/2,79.99
333,1995/5/3,81.84
334,1995/5/4,83.2
335,1995/5/5,83.81
336,1995/5/8,82.73
337,1995/5/9,84.49
338,1995/5/10,84.79
339,1995/5/11,84.28
340,1995/5/12,85.73
341,1995/5/15,86.93
342,1995/5/16,86.96
343,1995/5/17,88.89
344,1995/5/18,88.97
345,1995/5/19,88.31
346,1995/5/22,88.26
347,1995/5/23,88.21
348,1995/5/24,89.3
349,1995/5/25,89.05
350,1995/5/26,88.06
351,1995/5/30,87.18
352,1995/5/31,87.66
353,1995/6/1,88.08
354,1995/6/2,89.09
355,1995/6/5,89.74
356,1995/6/6,88.16
357,1995/6/7,86.63
358,1995/6/8,85.71
359,1995/6/9,82.64
360,1995/6/12,84.46
361,1995/6/13,86.56
362,1995/6/14,84.78
363,1995/6/15,85.24
364,1995/6/16,86.39
365,1995/6/19,86.28
366,1995/6/20,84.62
367,1995/6/21,85.33
368,1995/6/22,86.31
369,1995/6/23,85.61
370,1995/6/26,86.51
371,1995/6/27,87.13
372,1995/6/28,88.59
373,1995/6/29,87.51
374,1995/6/30,88.61
375,1995/7/3,88.92
376,1995/7/5,89.58
377,1995/7/6,90.14
378,1995/7/7,91.53
379,1995/7/10,91.45
380,1995/7/11,90.19
381,1995/7/12,91.09
382,1995/7/13,90.97
383,1995/7/14,90.87
384,1995/7/17,90.62
385,1995/7/18,89.84
386,1995/7/19,88.22
387,1995/7/20,88.42
388,1995/7/21,88.2
389,1995/7/24,88.27
390,1995/7/25,89.23
391,1995/7/26,88.95
392,1995/7/27,89.39
393,1995/7/28,89.18
394,1995/7/31,88.64
395,1995/8/1,88.65
396,1995/8/2,90.08
397,1995/8/3,89.62
398,1995/8/4,90.46
399,1995/8/7,90.98
400,1995/8/8,90.62
401,1995/8/9,90.94
402,1995/8/10,91.51
403,1995/8/11,91.02
404,1995/8/14,90.66
405,1995/8/15,91.01
406,1995/8/16,91.09
407,1995/8/17,90.63
408,1995/8/18,90.42
409,1995/8/21,91.14
410,1995/8/22,90.12
411,1995/8/23,89.71
412,1995/8/24,88.68
413,1995/8/25,89.93
414,1995/8/28,90.25
415,1995/8/29,90.06
416,1995/8/30,90.44
417,1995/8/31,91.11
418,1995/9/1,91.52
419,1995/9/5,91.35
420,1995/9/6,91.27
421,1995/9/7,91.62
422,1995/9/8,91.92
423,1995/9/11,92.57
424,1995/9/12,93.02
425,1995/9/13,92.96
426,1995/9/14,93.62
427,1995/9/15,93.79
428,1995/9/18,93.55
429,1995/9/19,94.45
430,1995/9/20,95.01
431,1995/9/21,93.92
432,1995/9/22,93.37
433,1995/9/25,93.48
434,1995/9/26,93.27
435,1995/9/27,93.07
436,1995/9/28,93.42
437,1995/9/29,94.32
438,1995/10/2,94.36
439,1995/10/3,93.8
440,1995/10/4,94.25
441,1995/10/5,94.37
442,1995/10/6,94.4
443,1995/10/10,93.61
444,1995/10/11,93.76
445,1995/10/12,93.64
446,1995/10/13,94.43
447,1995/10/16,94.92
448,1995/10/17,94.98
449,1995/10/18,95.05
450,1995/10/19,95.22
451,1995/10/20,94.98
452,1995/10/23,94.16
453,1995/10/24,94.69
454,1995/10/25,94.26
455,1995/10/26,92.66
456,1995/10/27,92.78
457,1995/10/30,93.43
458,1995/10/31,93.41
459,1995/11/1,93.35
460,1995/11/2,93.59
461,1995/11/3,93.48
462,1995/11/6,92.94
463,1995/11/7,92.36
464,1995/11/8,92.28
465,1995/11/9,92.11
466,1995/11/10,91.57
467,1995/11/13,91.09
468,1995/11/14,91.27
469,1995/11/15,91.73
470,1995/11/16,93.08
471,1995/11/17,93.75
472,1995/11/20,92.99
473,1995/11/21,93.52
474,1995/11/22,94.32
475,1995/11/24,94.56
476,1995/11/27,94.5
477,1995/11/28,94.78
478,1995/11/29,96.38
479,1995/11/30,96.56
480,1995/12/1,96.89
481,1995/12/4,97.9
482,1995/12/5,97.22
483,1995/12/6,97.98
484,1995/12/7,97.62
485,1995/12/8,97.84
486,1995/12/11,98.04
487,1995/12/12,99.03
488,1995/12/13,98.82
489,1995/12/14,98.12
490,1995/12/15,98.09
491,1995/12/18,97.49
492,1995/12/19,98.73
493,1995/12/20,100.04
494,1995/12/21,100.32
495,1995/12/22,101.48
496,1995/12/26,102.04
497,1995/12/27,102.24
498,1995/12/28,102.4
499,1995/12/29,103.19
500,1996/1/2,104.44
501,1996/1/3,106.15
502,1996/1/4,105.1
503,1996/1/5,105.18
504,1996/1/8,106.32
505,1996/1/9,105.99
506,1996/1/10,105.1
507,1996/1/11,105.81
508,1996/1/12,106.98
509,1996/1/16,107.35
510,1996/1/17,107.51
511,1996/1/18,107.72
512,1996/1/19,108.25
513,1996/1/22,108.58
514,1996/1/23,110.32
515,1996/1/24,110.59
516,1996/1/25,111.07
517,1996/1/26,110.97
518,1996/1/29,111.63
519,1996/1/30,112.26
520,1996/1/31,111.99
521,1996/2/1,111.23
522,1996/2/2,111.45
523,1996/2/5,111.1
524,1996/2/6,111.33
525,1996/2/7,111.31
526,1996/2/8,112.55
527,1996/2/9,113.41
528,1996/2/12,114.43
