,Date,PX_last
0,1985/1/2,"1,220.74"
1,1985/1/3,1235.98
2,1985/1/4,1262.3
3,1985/1/7,1281.87
4,1985/1/8,1283.01
5,1985/1/9,1269.95
6,1985/1/10,1318.55
7,1985/1/11,1352.69
8,1985/1/14,1358.06
9,1985/1/15,1331
10,1985/1/16,1358.81
11,1985/1/17,1388.42
12,1985/1/18,1360.33
13,1985/1/21,1350
14,1985/1/22,1373.62
15,1985/1/23,1357.84
16,1985/1/24,1384.87
17,1985/1/25,1373.91
18,1985/1/28,1374.89
19,1985/1/29,1338.87
20,1985/1/30,1335.04
21,1985/1/31,1365.02
22,1985/2/1,1356.26
23,1985/2/4,1363.22
24,1985/2/5,1352.47
25,1985/2/6,1333.31
26,1985/2/7,1312.43
27,1985/2/8,1347.88
28,1985/2/11,1357.94
29,1985/2/12,1357.22
30,1985/2/13,1336.32
31,1985/2/14,1354.39
32,1985/2/15,1405.93
33,1985/2/18,1427.18
34,1985/2/19,1435.17
35,1985/2/25,1389.16
36,1985/2/26,1402.86
37,1985/2/27,1387.62
38,1985/2/28,1375.25
39,1985/3/1,1401.15
40,1985/3/4,1399.46
41,1985/3/5,1367.94
42,1985/3/6,1383.28
43,1985/3/7,1389.14
44,1985/3/8,1395.27
45,1985/3/11,1380.11
46,1985/3/12,1371.51
47,1985/3/13,1335.82
48,1985/3/14,1356.35
49,1985/3/15,1333.76
50,1985/3/18,1310.47
51,1985/3/19,1300.97
52,1985/3/20,1312.56
53,1985/3/21,1347.73
54,1985/3/22,1360.69
55,1985/3/25,1362.23
56,1985/3/26,1344.13
57,1985/3/27,1350.65
58,1985/3/28,1352.9
59,1985/3/29,1382.04
60,1985/4/1,1389.13
61,1985/4/2,1430.36
62,1985/4/3,1450.35
63,1985/4/4,1471.25
64,1985/4/9,1480.22
65,1985/4/10,1470.61
66,1985/4/11,1483.39
67,1985/4/12,1492.18
68,1985/4/15,1505.44
69,1985/4/16,1521.3
70,1985/4/17,1505.97
71,1985/4/18,1500.09
72,1985/4/19,1474.21
73,1985/4/22,1487.4
74,1985/4/23,1511.63
75,1985/4/24,1517.3
76,1985/4/25,1510.77
77,1985/4/26,1506.49
78,1985/4/29,1497.37
79,1985/4/30,1520.56
80,1985/5/1,1516.73
81,1985/5/2,1516.21
82,1985/5/3,1550.8
83,1985/5/6,1596.43
84,1985/5/7,1593.26
85,1985/5/8,1621.45
86,1985/5/9,1610.09
87,1985/5/10,1613.36
88,1985/5/13,1628.29
89,1985/5/14,1615
90,1985/5/15,1612.61
91,1985/5/16,1635.88
92,1985/5/17,1647.88
93,1985/5/20,1638.47
94,1985/5/21,1612.22
95,1985/5/22,1599.64
96,1985/5/23,1617.3
97,1985/5/24,1596.84
98,1985/5/27,1557.78
99,1985/5/28,1570.84
100,1985/5/29,1597.71
101,1985/5/30,1621.66
102,1985/5/31,1613.87
103,1985/6/3,1641.25
104,1985/6/4,1643.35
105,1985/6/5,1627.82
106,1985/6/6,1629.5
107,1985/6/7,1542.55
108,1985/6/10,1571.87
109,1985/6/11,1492.13
110,1985/6/12,1502.94
111,1985/6/13,1482.91
112,1985/6/14,1441.97
113,1985/6/18,1427.08
114,1985/6/19,1510.28
115,1985/6/20,1542.15
116,1985/6/21,1561.13
117,1985/6/25,1575.15
118,1985/6/26,1565.19
119,1985/6/27,1581.7
120,1985/6/28,1570.61
121,1985/7/1,1570.6
122,1985/7/2,1591.33
123,1985/7/3,1598.16
124,1985/7/4,1574.37
125,1985/7/5,1570.3
126,1985/7/8,1566.68
127,1985/7/9,1565.04
128,1985/7/10,1573.41
129,1985/7/11,1597.81
130,1985/7/12,1615.78
131,1985/7/15,1640.49
132,1985/7/16,1632.99
133,1985/7/17,1647.9
134,1985/7/18,1672.04
135,1985/7/19,1678.87
136,1985/7/22,1689.85
137,1985/7/23,1673.85
138,1985/7/24,1665.63
139,1985/7/25,1692.06
140,1985/7/26,1683.58
141,1985/7/30,1686.24
142,1985/7/31,1680.62
143,1985/8/1,1678.95
144,1985/8/2,1665.59
145,1985/8/5,1671.9
146,1985/8/6,1700.93
147,1985/8/7,1698.66
148,1985/8/8,1673.55
149,1985/8/9,1676.51
150,1985/8/12,1699.43
151,1985/8/13,1687.09
152,1985/8/14,1691.73
153,1985/8/15,1684.55
154,1985/8/16,1700.37
155,1985/8/19,1711.51
156,1985/8/20,1692.74
157,1985/8/21,1650.78
158,1985/8/22,1671.87
159,1985/8/23,1669.98
160,1985/8/27,1667.3
161,1985/8/28,1668.85
162,1985/8/29,1652.19
163,1985/8/30,1656.1
164,1985/9/2,1616.17
165,1985/9/3,1586.22
166,1985/9/4,1578.54
167,1985/9/5,1596.68
168,1985/9/6,1579.06
169,1985/9/9,1550.83
170,1985/9/10,1546.31
171,1985/9/11,1571.95
172,1985/9/12,1596.42
173,1985/9/13,1605.84
174,1985/9/16,1600.23
175,1985/9/17,1569.4
176,1985/9/18,1563.62
177,1985/9/19,1563.27
178,1985/9/20,1549.46
179,1985/9/23,1535.45
180,1985/9/24,1553.24
181,1985/9/25,1547.68
182,1985/9/26,1511.87
183,1985/9/27,1511.8
184,1985/10/1,1520.99
185,1985/10/2,1553.13
186,1985/10/3,1581.07
187,1985/10/4,1587.44
188,1985/10/7,1617.76
189,1985/10/8,1606.53
190,1985/10/9,1587.99
191,1985/10/10,1589.13
192,1985/10/11,1583.55
193,1985/10/14,1594.35
194,1985/10/15,1602.89
195,1985/10/16,1618.37
196,1985/10/17,1624.79
197,1985/10/18,1639.89
198,1985/10/21,1666.06
199,1985/10/23,1666.71
200,1985/10/24,1670.51
201,1985/10/25,1671.73
202,1985/10/28,1651.25
203,1985/10/29,1654.03
204,1985/10/30,1654.68
205,1985/10/31,1665.39
206,1985/11/1,1680.65
207,1985/11/4,1702.19
208,1985/11/5,1692.71
209,1985/11/6,1700.76
210,1985/11/7,1721.93
211,1985/11/8,1722.38
212,1985/11/11,1722.4
213,1985/11/12,1730.15
214,1985/11/13,1747.18
215,1985/11/14,1745.14
216,1985/11/15,1736.07
217,1985/11/18,1744.2
218,1985/11/19,1754.68
219,1985/11/20,1757.29
220,1985/11/21,1762.51
221,1985/11/22,1712.82
222,1985/11/25,1736.49
223,1985/11/26,1738.35
224,1985/11/27,1706.38
225,1985/11/28,1685.5
226,1985/11/29,1716.95
227,1985/12/2,1694.57
228,1985/12/3,1664.06
229,1985/12/4,1700.96
230,1985/12/5,1693.91
231,1985/12/6,1721.89
232,1985/12/9,1724.27
233,1985/12/10,1728.29
234,1985/12/11,1723.05
235,1985/12/12,1740.4
236,1985/12/13,1735.58
237,1985/12/16,1728.21
238,1985/12/17,1720.45
239,1985/12/18,1726.94
240,1985/12/19,1726.05
241,1985/12/20,1720.16
242,1985/12/23,1704.29
243,1985/12/24,1717.54
244,1985/12/27,1730.37
245,1985/12/30,1752.62
246,1985/12/31,1752.45
247,1986/1/2,1774.38
248,1986/1/3,1791.23
249,1986/1/6,1796.59
250,1986/1/7,1815.53
251,1986/1/8,1826.84
252,1986/1/9,1798.51
253,1986/1/10,1807.94
254,1986/1/13,1799.61
255,1986/1/14,1782.23
256,1986/1/15,1783.66
257,1986/1/16,1797.22
258,1986/1/17,1806.86
259,1986/1/20,1775.82
260,1986/1/21,1776.19
261,1986/1/22,1737.94
262,1986/1/23,1762.29
263,1986/1/24,1745.8
264,1986/1/27,1744.11
265,1986/1/28,1754.38
266,1986/1/29,1736.35
267,1986/1/30,1720.21
268,1986/1/31,1695.78
269,1986/2/3,1702.38
270,1986/2/4,1728.81
271,1986/2/5,1723.08
272,1986/2/6,1719.67
273,1986/2/7,1734.04
274,1986/2/12,1743.03
275,1986/2/13,1746.4
276,1986/2/14,1777.54
277,1986/2/17,1783.08
278,1986/2/18,1771.41
279,1986/2/19,1751.67
280,1986/2/20,1733.17
281,1986/2/21,1747.06
282,1986/2/24,1742.37
283,1986/2/25,1746.05
284,1986/2/26,1746.3
285,1986/2/27,1720.51
286,1986/2/28,1695.3
287,1986/3/3,1685.06
288,1986/3/4,1695.77
289,1986/3/5,1664.33
290,1986/3/6,1668.51
291,1986/3/7,1682.65
292,1986/3/10,1667.07
293,1986/3/11,1639.15
294,1986/3/12,1590.39
295,1986/3/13,1612.67
296,1986/3/14,1607.63
297,1986/3/17,1566.49
298,1986/3/18,1561.72
299,1986/3/19,1559.94
300,1986/3/20,1605.7
301,1986/3/21,1611.73
302,1986/3/24,1635.29
303,1986/3/25,1626.71
304,1986/3/26,1618.8
305,1986/3/27,1625.94
306,1986/4/2,1603.27
307,1986/4/3,1625.2
308,1986/4/4,1643.8
309,1986/4/7,1691.6
310,1986/4/8,1727.93
311,1986/4/9,1752.34
312,1986/4/10,1758.57
313,1986/4/11,1784.21
314,1986/4/14,1785.45
315,1986/4/15,1763.73
316,1986/4/16,1791.19
317,1986/4/17,1812
318,1986/4/18,1790.4
319,1986/4/21,1788.38
320,1986/4/22,1792.9
321,1986/4/23,1783.19
322,1986/4/24,1824.51
323,1986/4/25,1834.62
324,1986/4/28,1848.65
325,1986/4/29,1826.29
326,1986/4/30,1836.99
327,1986/5/1,1848.65
328,1986/5/2,1843.14
329,1986/5/5,1842.44
330,1986/5/6,1858.16
331,1986/5/7,1865.65
332,1986/5/8,1864.21
333,1986/5/9,1852.21
334,1986/5/12,1832.5
335,1986/5/13,1803.73
336,1986/5/14,1820.68
337,1986/5/15,1794.17
338,1986/5/16,1787.08
339,1986/5/19,1765.02
340,1986/5/20,1777.27
341,1986/5/21,1794.94
342,1986/5/22,1820.98
343,1986/5/23,1815.92
344,1986/5/26,1811.87
345,1986/5/27,1816.3
346,1986/5/28,1777.47
347,1986/5/29,1772.76
348,1986/5/30,1787.96
349,1986/6/2,1781.94
350,1986/6/3,1757.91
351,1986/6/4,1756.67
352,1986/6/5,1748.56
353,1986/6/6,1747.09
354,1986/6/9,1748.24
355,1986/6/10,1751.36
356,1986/6/12,1752.79
357,1986/6/13,1765.65
358,1986/6/17,1789.34
359,1986/6/18,1789.78
360,1986/6/19,1778.29
361,1986/6/20,1781.04
362,1986/6/23,1777.15
363,1986/6/24,1763.9
364,1986/6/25,1759.72
