,Date,PX_last
0,2015/5/6,11.53
1,2015/5/7,11.44
2,2015/5/8,11.5
3,2015/5/11,11.44
4,2015/5/12,11.54
5,2015/5/13,11.74
6,2015/5/14,11.81
7,2015/5/15,11.84
8,2015/5/18,11.84
9,2015/5/19,11.68
10,2015/5/20,11.7
11,2015/5/21,11.66
12,2015/5/22,11.65
13,2015/5/26,11.48
14,2015/5/27,11.48
15,2015/5/28,11.49
16,2015/5/29,11.51
17,2015/6/1,11.5
18,2015/6/2,11.54
19,2015/6/3,11.46
20,2015/6/4,11.38
21,2015/6/5,11.32
22,2015/6/8,11.35
23,2015/6/9,11.37
24,2015/6/10,11.47
25,2015/6/11,11.43
26,2015/6/12,11.41
27,2015/6/15,11.46
28,2015/6/16,11.42
29,2015/6/17,11.47
30,2015/6/18,11.62
31,2015/6/19,11.6
32,2015/6/22,11.45
33,2015/6/23,11.39
34,2015/6/24,11.35
35,2015/6/25,11.33
36,2015/6/26,11.35
37,2015/6/29,11.39
38,2015/6/30,11.34
39,2015/7/1,11.3
40,2015/7/2,11.27
41,2015/7/6,11.3
42,2015/7/7,11.18
43,2015/7/8,11.21
44,2015/7/9,11.23
45,2015/7/10,11.24
46,2015/7/13,11.2
47,2015/7/14,11.17
48,2015/7/15,11.1
49,2015/7/16,11.06
50,2015/7/17,10.95
51,2015/7/20,10.65
52,2015/7/21,10.62
53,2015/7/22,10.56
54,2015/7/23,10.52
55,2015/7/24,10.62
56,2015/7/27,10.58
57,2015/7/28,10.58
58,2015/7/29,10.6
59,2015/7/30,10.51
60,2015/7/31,10.58
61,2015/8/3,10.49
62,2015/8/4,10.52
63,2015/8/5,10.48
64,2015/8/6,10.52
65,2015/8/7,10.56
66,2015/8/10,10.66
67,2015/8/11,10.72
68,2015/8/12,10.86
69,2015/8/13,10.77
70,2015/8/14,10.78
71,2015/8/17,10.79
72,2015/8/18,10.8
73,2015/8/19,10.94
74,2015/8/20,11.14
75,2015/8/21,11.2
76,2015/8/24,11.14
77,2015/8/25,11.02
78,2015/8/26,10.87
