,Date,PX_last
0,1985/1/4,139.53
1,1985/1/5,141.79
2,1985/1/7,145.51
3,1985/1/8,145.39
4,1985/1/9,143.26
5,1985/1/10,141.93
6,1985/1/11,140.06
7,1985/1/12,141.05
8,1985/1/14,139.45
9,1985/1/15,139.64
10,1985/1/16,139.92
11,1985/1/17,138.66
12,1985/1/18,138.24
13,1985/1/19,138.38
14,1985/1/21,138.6
15,1985/1/22,139.09
16,1985/1/23,139.75
17,1985/1/24,139.43
18,1985/1/25,138.75
19,1985/1/26,138.6
20,1985/1/28,137.89
21,1985/1/29,137.81
22,1985/1/30,137.97
23,1985/1/31,138.9
24,1985/2/1,138.84
25,1985/2/2,138.48
26,1985/2/4,136.87
27,1985/2/5,137.07
28,1985/2/6,137.21
29,1985/2/7,136.59
30,1985/2/8,136.69
31,1985/2/9,136.01
32,1985/2/11,136.67
33,1985/2/13,136.05
34,1985/2/14,134.86
35,1985/2/15,135.24
36,1985/2/16,135.22
37,1985/2/18,134.35
38,1985/2/19,134.87
39,1985/2/21,133.65
40,1985/2/22,133.37
41,1985/2/23,134.82
42,1985/2/25,134.55
43,1985/2/26,134.64
44,1985/2/27,134.98
45,1985/2/28,134.93
46,1985/3/2,134.93
47,1985/3/4,135.35
48,1985/3/5,135.72
49,1985/3/6,135.16
50,1985/3/7,134.49
51,1985/3/8,133.4
52,1985/3/9,133.39
53,1985/3/11,133.11
54,1985/3/12,132.73
55,1985/3/13,132.42
56,1985/3/14,132.98
57,1985/3/15,134.23
58,1985/3/16,134.74
59,1985/3/18,134.28
60,1985/3/19,134.12
61,1985/3/20,133.92
62,1985/3/21,133.99
63,1985/3/22,134.07
64,1985/3/23,134.05
65,1985/3/25,134.44
66,1985/3/26,134.46
67,1985/3/27,134.75
68,1985/3/28,135.23
69,1985/3/29,135.08
70,1985/3/30,136.46
71,1985/4/1,136.3
72,1985/4/2,136.28
73,1985/4/3,138.42
74,1985/4/4,138.31
75,1985/4/6,138.41
76,1985/4/8,136.74
77,1985/4/9,137.82
78,1985/4/10,137.35
79,1985/4/11,137.11
80,1985/4/12,136.53
81,1985/4/13,136.88
82,1985/4/15,136.27
83,1985/4/16,136.37
84,1985/4/17,135.81
85,1985/4/18,135.31
86,1985/4/19,135.43
87,1985/4/20,135.92
88,1985/4/22,135.48
89,1985/4/23,135.06
90,1985/4/24,134.88
91,1985/4/25,134.97
92,1985/4/26,134.85
93,1985/4/27,134.62
94,1985/4/29,134.31
95,1985/4/30,134.15
96,1985/5/1,134.06
97,1985/5/2,133.94
98,1985/5/3,133.56
99,1985/5/4,133.96
100,1985/5/6,133.78
101,1985/5/7,133.63
102,1985/5/8,134.44
103,1985/5/9,133.76
104,1985/5/10,133.16
105,1985/5/11,132.78
106,1985/5/13,132.85
107,1985/5/14,132.61
108,1985/5/15,132.56
109,1985/5/16,132.86
110,1985/5/17,132.26
111,1985/5/18,131.87
112,1985/5/20,131.4
113,1985/5/21,132.45
114,1985/5/22,132.43
115,1985/5/23,132.82
116,1985/5/24,133.26
117,1985/5/25,133.29
118,1985/5/28,133.59
119,1985/5/29,133.17
120,1985/5/30,133.73
121,1985/5/31,134.09
122,1985/6/1,134.24
123,1985/6/3,133.77
124,1985/6/4,133.62
125,1985/6/5,134.07
126,1985/6/7,134.21
127,1985/6/8,134.32
128,1985/6/10,135.02
129,1985/6/11,137.41
130,1985/6/12,138.58
131,1985/6/13,138.46
132,1985/6/14,140.14
133,1985/6/15,139.84
134,1985/6/17,140.77
135,1985/6/18,140.31
136,1985/6/19,139.42
137,1985/6/20,138.4
138,1985/6/21,138.62
139,1985/6/22,138.73
140,1985/6/24,138.12
141,1985/6/25,138.05
142,1985/6/26,138.06
143,1985/6/27,138.48
144,1985/6/28,137.2
145,1985/6/29,136.58
146,1985/7/1,136.83
147,1985/7/2,136.88
148,1985/7/3,135.67
149,1985/7/4,135.3
150,1985/7/5,134.9
151,1985/7/6,134.63
152,1985/7/8,134.33
153,1985/7/9,134.44
154,1985/7/10,134.39
155,1985/7/11,135.79
156,1985/7/12,135.7
