,Date,PX_last
0,1990/1/31,97.85
1,1990/2/28,95.83
2,1990/3/30,98.35
3,1990/4/30,98.18
4,1990/5/31,100.07
5,1990/6/29,102.49
6,1990/7/31,105.25
7,1990/8/31,99.26
8,1990/9/28,92.02
9,1990/10/31,87.19
10,1990/11/30,89.91
11,1990/12/31,90.41
12,1991/1/31,92.9
13,1991/2/28,103.06
14,1991/3/28,109.13
15,1991/3/29,109.13
16,1991/4/30,113.6
17,1991/5/31,113.81
18,1991/6/28,117.18
19,1991/7/31,120.93
20,1991/8/30,123.71
21,1991/9/30,125.43
22,1991/10/31,129.62
23,1991/11/29,130.29
24,1991/12/31,132.17
25,1992/1/31,136.82
26,1992/2/28,140.2
27,1992/3/31,141.94
28,1992/4/30,142.48
29,1992/5/29,144.48
30,1992/6/30,145.84
31,1992/7/31,148.04
32,1992/8/31,149.98
33,1992/9/30,151.51
34,1992/10/30,149.38
35,1992/11/30,151.25
36,1992/12/31,155.98
37,1993/1/29,159.56
38,1993/2/26,162.11
39,1993/3/31,165.12
40,1993/4/30,167.71
41,1993/5/28,170.88
42,1993/6/30,175.67
43,1993/7/30,178.49
44,1993/8/31,180.7
45,1993/9/30,181.83
46,1993/10/29,188.71
47,1993/11/30,189.08
48,1993/12/31,194.4
49,1994/1/31,197.2
50,1994/2/28,190.94
51,1994/3/31,180.73
52,1994/4/29,179.63
53,1994/5/31,183.83
54,1994/6/30,179.9
55,1994/7/29,182.58
56,1994/8/31,188.64
57,1994/9/30,189.55
58,1994/10/31,188.12
59,1994/11/30,187.15
60,1994/12/30,182.43
61,1995/1/31,180.92
62,1995/2/28,180.56
63,1995/3/31,180.12
64,1995/4/28,189.61
65,1995/5/31,198.76
66,1995/6/30,200.06
67,1995/7/31,202.99
68,1995/8/31,204.69
69,1995/9/29,208.94
70,1995/10/31,208.44
71,1995/11/30,212.27
72,1995/12/29,219.9
73,1996/1/31,229.31
74,1996/2/29,225.24
75,1996/3/29,226.48
76,1996/4/30,230.72
77,1996/5/31,232.5
78,1996/6/28,235.85
79,1996/7/31,236.79
80,1996/8/30,241.08
81,1996/9/30,249.18
82,1996/10/31,250.06
83,1996/11/29,257.26
84,1996/12/31,259.14
85,1997/1/31,264.41
86,1997/2/28,268.77
87,1997/3/31,263.14
88,1997/4/30,267.89
89,1997/5/30,274.92
90,1997/6/30,279.69
91,1997/7/31,289.65
92,1997/8/29,287.72
93,1997/9/30,295.06
94,1997/10/31,282.15
95,1997/11/28,287.71
96,1997/12/31,292.42
97,1998/1/30,295.56
98,1998/2/27,299.95
99,1998/3/31,304.53
100,1998/4/30,305.6
101,1998/5/29,301.89
102,1998/6/30,298.9
103,1998/7/31,300.39
104,1998/8/31,256.28
105,1998/9/30,263.17
106,1998/10/30,265.02
107,1998/11/30,280.33
108,1998/12/31,278.32
109,1999/1/4,279.54
110,1999/1/5,280.7
111,1999/1/6,280.83
112,1999/1/7,279.73
113,1999/1/8,279.01
114,1999/1/11,278.35
115,1999/1/12,277.62
116,1999/1/13,272.28
117,1999/1/14,270.9
118,1999/1/15,275.25
119,1999/1/19,276.94
120,1999/1/20,277.6
121,1999/1/21,275.38
122,1999/1/22,274.66
123,1999/1/25,274.09
124,1999/1/26,275.49
125,1999/1/27,276.08
126,1999/1/28,277.47
127,1999/1/29,278.77
128,1999/2/1,280.26
129,1999/2/2,280.53
130,1999/2/3,280.1
131,1999/2/4,280.21
132,1999/2/5,279.89
133,1999/2/8,279.63
134,1999/2/9,280.07
135,1999/2/10,280.46
136,1999/2/11,281.47
137,1999/2/12,281.48
138,1999/2/16,282.42
139,1999/2/17,282.4
140,1999/2/18,282.11
141,1999/2/19,282.05
142,1999/2/22,281.84
143,1999/2/23,281.06
144,1999/2/24,280.48
145,1999/2/25,278.54
146,1999/2/26,279.08
147,1999/3/1,279.15
148,1999/3/2,278.02
149,1999/3/3,277.28
150,1999/3/4,277.83
151,1999/3/5,278.84
152,1999/3/8,279.23
153,1999/3/9,280.22
154,1999/3/10,281.8
155,1999/3/11,281.86
156,1999/3/12,282.14
157,1999/3/15,283.19
158,1999/3/16,283.27
159,1999/3/17,283.39
160,1999/3/18,284.04
161,1999/3/19,284.86
162,1999/3/22,284.96
163,1999/3/23,284.64
164,1999/3/24,284.36
165,1999/3/25,285.23
166,1999/3/26,285.05
167,1999/3/29,285.58
168,1999/3/30,286.41
169,1999/3/31,286.9
170,1999/4/1,287.01
171,1999/4/5,288.54
172,1999/4/6,288.95
173,1999/4/7,289.69
174,1999/4/8,290.69
175,1999/4/9,291.24
176,1999/4/12,292.01
177,1999/4/13,293.03
178,1999/4/14,293.55
179,1999/4/15,293.83
180,1999/4/16,294.95
181,1999/4/19,295.55
182,1999/4/20,295.3
183,1999/4/21,295.66
184,1999/4/22,295.56
185,1999/4/23,295.67
186,1999/4/26,295.82
187,1999/4/27,295.21
188,1999/4/28,295.45
189,1999/4/29,296.1
190,1999/4/30,297.09
191,1999/5/3,298.13
192,1999/5/4,297.94
193,1999/5/5,297.54
194,1999/5/6,297.33
195,1999/5/7,297.3
196,1999/5/10,297.46
197,1999/5/11,297.33
198,1999/5/12,296.49
199,1999/5/13,296.72
200,1999/5/14,295.44
201,1999/5/17,294.08
202,1999/5/18,293.6
203,1999/5/19,293.49
204,1999/5/20,291.88
205,1999/5/21,291.23
206,1999/5/24,289.77
207,1999/5/25,290.15
208,1999/5/26,291.66
209,1999/5/27,289.96
210,1999/5/28,290.07
211,1999/6/1,289.41
212,1999/6/2,289.4
213,1999/6/3,289.33
214,1999/6/4,289.87
215,1999/6/7,290.71
216,1999/6/8,290.71
217,1999/6/9,290.3
218,1999/6/10,289.87
219,1999/6/11,289.1
220,1999/6/14,289.55
221,1999/6/15,290.24
222,1999/6/16,291.13
223,1999/6/17,292.85
224,1999/6/18,292.73
225,1999/6/21,292.98
226,1999/6/22,293.03
227,1999/6/23,292.51
228,1999/6/24,292.17
229,1999/6/25,291.54
230,1999/6/28,291.82
231,1999/6/29,292.15
232,1999/6/30,293.43
233,1999/7/1,293.41
234,1999/7/2,293.23
235,1999/7/6,293.82
236,1999/7/7,293.68
237,1999/7/8,293.34
238,1999/7/9,293.23
239,1999/7/12,292.88
240,1999/7/13,293.5
241,1999/7/14,293.81
242,1999/7/15,294.11
243,1999/7/16,294.12
244,1999/7/19,294.72
245,1999/7/20,294.55
246,1999/7/21,294.39
247,1999/7/22,294.0
248,1999/7/23,293.38
249,1999/7/26,293.27
250,1999/7/27,293.93
251,1999/7/28,293.99
252,1999/7/29,292.99
253,1999/7/30,293.07
254,1999/8/2,292.32
255,1999/8/3,291.59
256,1999/8/4,291.4
257,1999/8/5,290.8
258,1999/8/6,290.61
259,1999/8/9,290.71
260,1999/8/10,289.05
261,1999/8/11,289.66
262,1999/8/12,289.8
263,1999/8/13,290.09
264,1999/8/16,290.4
265,1999/8/17,291.08
266,1999/8/18,291.02
267,1999/8/19,290.55
268,1999/8/20,290.54
269,1999/8/23,290.91
270,1999/8/24,291.11
271,1999/8/25,292.18
272,1999/8/26,291.95
273,1999/8/27,291.82
274,1999/8/30,291.47
275,1999/8/31,290.9
276,1999/9/1,290.84
277,1999/9/2,290.7
278,1999/9/3,291.21
279,1999/9/7,291.88
280,1999/9/8,291.61
281,1999/9/9,292.09
282,1999/9/10,292.82
283,1999/9/13,292.61
284,1999/9/14,292.32
285,1999/9/15,292.0
286,1999/9/16,291.98
287,1999/9/17,292.54
