,Date,PX_last
0,1990/1/31,98.66
1,1990/2/28,98.1434
2,1990/3/30,97.6235
3,1990/4/30,97.1139
4,1990/5/31,100.1953
5,1990/6/29,102.0496
6,1990/7/31,104.7318
7,1990/8/31,103.6773
8,1990/9/28,104.6409
9,1990/10/31,107.9561
10,1990/11/30,109.9325
11,1990/12/31,111.2186
12,1991/1/31,113.6177
13,1991/2/28,114.1656
14,1991/3/28,111.7002
15,1991/3/29,111.7002
16,1991/4/30,112.9759
17,1991/5/31,113.3341
18,1991/6/28,112.3961
19,1991/7/31,114.5245
20,1991/8/30,116.8673
21,1991/9/30,120.7083
22,1991/10/31,122.1464
23,1991/11/29,123.6464
24,1991/12/31,129.0565
25,1992/1/31,127.0646
26,1992/2/28,127.0592
27,1992/3/31,125.9713
28,1992/4/30,126.7909
29,1992/5/29,130.3797
30,1992/6/30,133.3482
31,1992/7/31,136.0934
32,1992/8/31,138.9829
33,1992/9/30,139.4692
34,1992/10/30,136.3422
35,1992/11/30,135.0507
36,1992/12/31,136.5434
37,1993/1/29,138.8869
38,1993/2/26,141.0801
39,1993/3/31,142.6107
40,1993/4/30,144.6551
41,1993/5/28,145.6397
42,1993/6/30,146.3914
43,1993/7/30,146.4398
44,1993/8/31,150.1748
45,1993/9/30,151.4741
46,1993/10/29,151.6172
47,1993/11/30,150.27
48,1993/12/31,151.6699
49,1994/1/31,153.4668
50,1994/2/28,151.5381
51,1994/3/31,149.6986
52,1994/4/29,149.3371
53,1994/5/31,148.5034
54,1994/6/30,149.5007
55,1994/7/29,151.6737
56,1994/8/31,151.49200000000002
57,1994/9/30,151.2453
58,1994/10/31,152.838
59,1994/11/30,151.3144
60,1994/12/30,152.0204
61,1995/1/31,155.2006
62,1995/2/28,159.0325
63,1995/3/31,164.3513
64,1995/4/28,166.9161
65,1995/5/31,172.0645
66,1995/6/30,173.2444
67,1995/7/31,174.0471
68,1995/8/31,171.9276
69,1995/9/29,175.1184
70,1995/10/31,177.21200000000002
71,1995/11/30,179.3212
72,1995/12/29,181.9115
73,1996/1/31,181.2118
74,1996/2/29,179.5556
75,1996/3/29,179.0067
76,1996/4/30,178.1814
77,1996/5/31,178.3454
78,1996/6/28,180.4477
79,1996/7/31,182.7958
80,1996/8/30,183.1647
81,1996/9/30,185.1579
82,1996/10/31,189.21
83,1996/11/29,192.1704
84,1996/12/31,190.835
85,1997/1/31,187.7627
86,1997/2/28,186.8796
87,1997/3/31,185.1302
88,1997/4/30,185.5453
89,1997/5/30,188.8364
90,1997/6/30,190.8849
91,1997/7/31,191.7574
92,1997/8/29,191.3229
93,1997/9/30,195.2006
94,1997/10/31,198.7485
95,1997/11/28,197.6674
96,1997/12/31,198.0609
97,1998/1/30,199.942
98,1998/2/27,201.0375
99,1998/3/31,200.5183
100,1998/4/30,203.0099
101,1998/5/29,204.4263
102,1998/6/30,204.8151
103,1998/7/31,206.0301
104,1998/8/31,210.3483
105,1998/9/30,220.3146
106,1998/10/30,223.1313
107,1998/11/30,221.7821
108,1998/12/31,225.21400000000003
109,1999/1/4,226.2967
110,1999/1/5,226.0042
111,1999/1/6,225.7163
112,1999/1/7,225.4935
113,1999/1/8,224.1161
114,1999/1/11,224.0879
115,1999/1/12,224.0733
116,1999/1/13,224.7266
117,1999/1/14,226.4974
118,1999/1/15,225.3436
119,1999/1/19,225.5982
120,1999/1/20,225.1416
121,1999/1/21,225.6914
122,1999/1/22,226.0628
123,1999/1/25,225.907
124,1999/1/26,225.9948
125,1999/1/27,225.3049
126,1999/1/28,224.5296
127,1999/1/29,224.3196
128,1999/2/1,223.4705
129,1999/2/2,223.6241
130,1999/2/3,223.2612
131,1999/2/4,222.4451
132,1999/2/5,222.2915
133,1999/2/8,221.8983
134,1999/2/9,222.6782
135,1999/2/10,222.8017
136,1999/2/11,222.8558
137,1999/2/12,221.6753
138,1999/2/16,220.3773
139,1999/2/17,220.9688
140,1999/2/18,220.6067
141,1999/2/19,219.6776
142,1999/2/22,219.5244
143,1999/2/23,218.6743
144,1999/2/24,217.7943
145,1999/2/25,217.9655
146,1999/2/26,217.6509
147,1999/3/1,216.3873
148,1999/3/2,216.5819
149,1999/3/3,216.1537
150,1999/3/4,214.9087
151,1999/3/5,216.329
152,1999/3/8,216.6306
153,1999/3/9,217.015
154,1999/3/10,218.3122
155,1999/3/11,217.0113
156,1999/3/12,218.4504
157,1999/3/15,218.7734
158,1999/3/16,219.0304
159,1999/3/17,219.7131
160,1999/3/18,219.8915
161,1999/3/19,219.2699
162,1999/3/22,218.8293
163,1999/3/23,218.6887
164,1999/3/24,219.1287
165,1999/3/25,218.5369
166,1999/3/26,216.8897
167,1999/3/29,216.7145
168,1999/3/30,217.3369
169,1999/3/31,217.9441
170,1999/4/1,217.7331
171,1999/4/5,218.2589
172,1999/4/6,218.1109
173,1999/4/7,218.5793
174,1999/4/8,219.4959
175,1999/4/9,219.2682
176,1999/4/12,220.2483
177,1999/4/13,219.4735
178,1999/4/14,219.8286
179,1999/4/15,218.9361
180,1999/4/16,218.6869
181,1999/4/19,218.2808
182,1999/4/20,219.0119
