,Date,PX_last
0,1985/1/2,301.8
1,1985/1/3,301.99
2,1985/1/4,301.95
3,1985/1/7,302.88
4,1985/1/8,303.54
5,1985/1/9,305.3
6,1985/1/10,309.17
7,1985/1/11,310.58
8,1985/1/14,315.47
9,1985/1/15,317.73
10,1985/1/16,320.26
11,1985/1/17,321.66
12,1985/1/18,323.7
13,1985/1/21,328.49
14,1985/1/22,329.91
15,1985/1/23,332.75
16,1985/1/24,333.83
17,1985/1/25,335.31
18,1985/1/28,337.32
19,1985/1/29,339.19
20,1985/1/30,341.75
21,1985/1/31,342.67
22,1985/2/1,342.24
23,1985/2/4,344.68
24,1985/2/5,347.23
25,1985/2/6,349.44
26,1985/2/7,353.14
27,1985/2/8,355.16
28,1985/2/11,353.97
29,1985/2/12,353.92
30,1985/2/13,356.76
31,1985/2/14,356.63
32,1985/2/15,355.57
33,1985/2/19,354.63
34,1985/2/20,355.43
35,1985/2/21,354.16
36,1985/2/22,352.84
37,1985/2/25,350.11
38,1985/2/26,351.49
39,1985/2/27,351.21
40,1985/2/28,351.89
41,1985/3/1,355.3
42,1985/3/4,354.69
43,1985/3/5,354.97
44,1985/3/6,353.34
45,1985/3/7,351.51
46,1985/3/8,350.46
47,1985/3/11,348.68
48,1985/3/12,348.21
49,1985/3/13,344.83
50,1985/3/14,344.51
51,1985/3/15,344.55
52,1985/3/18,342.69
53,1985/3/19,344.34
54,1985/3/20,343.82
55,1985/3/21,344.13
56,1985/3/22,343.3
57,1985/3/25,340.71
58,1985/3/26,340.79
59,1985/3/27,342.22
60,1985/3/28,343.26
61,1985/3/29,344.68
62,1985/4/1,345.2
63,1985/4/2,344.49
64,1985/4/3,342.55
65,1985/4/4,342.03
66,1985/4/8,340.92
67,1985/4/9,340.56
68,1985/4/10,342.25
69,1985/4/11,343.59
70,1985/4/12,343.87
71,1985/4/15,344.29
72,1985/4/16,345.08
73,1985/4/17,346.19
74,1985/4/18,345.71
75,1985/4/19,345.25
76,1985/4/22,344.22
77,1985/4/23,344.49
78,1985/4/24,344.5
79,1985/4/25,344.92
80,1985/4/26,344.5
81,1985/4/29,342.22
82,1985/4/30,340.39
83,1985/5/1,339.42
84,1985/5/2,338.57
85,1985/5/3,339.72
86,1985/5/6,339.69
87,1985/5/7,340.42
88,1985/5/8,340.42
89,1985/5/9,342.75
90,1985/5/10,347.04
91,1985/5/13,347.64
92,1985/5/14,346.93
93,1985/5/15,347.46
94,1985/5/16,348.4
95,1985/5/17,351.1
96,1985/5/20,354.05
97,1985/5/21,354.02
98,1985/5/22,353.11
99,1985/5/23,352.19
100,1985/5/24,352.65
101,1985/5/28,351.94
102,1985/5/29,351.87
103,1985/5/30,351.71
104,1985/5/31,352.91
105,1985/6/3,353.01
106,1985/6/4,353.59
107,1985/6/5,354.5
108,1985/6/6,354.49
109,1985/6/7,353.4
110,1985/6/10,351.97
111,1985/6/11,351.55
112,1985/6/12,350.82
113,1985/6/13,347.92
114,1985/6/14,349.11
115,1985/6/17,348.24
116,1985/6/18,348.63
117,1985/6/19,348.6
118,1985/6/20,348.19
119,1985/6/21,349.67
120,1985/6/24,350.48
121,1985/6/25,352.81
122,1985/6/26,353.44
123,1985/6/27,355.42
124,1985/6/28,356.89
125,1985/7/1,357.67
126,1985/7/2,358.34
127,1985/7/3,358.42
128,1985/7/5,360.55
129,1985/7/8,359.62
130,1985/7/9,358.96
131,1985/7/10,360.97
132,1985/7/11,363.07
133,1985/7/12,364.51
134,1985/7/15,364.96
135,1985/7/16,368.58
136,1985/7/17,371.06
137,1985/7/18,370.32
138,1985/7/19,372.82
139,1985/7/22,371.78
140,1985/7/23,371.34
141,1985/7/24,369.99
142,1985/7/25,370.61
143,1985/7/26,370.97
144,1985/7/29,366.96
145,1985/7/30,366.1
146,1985/7/31,366.87
147,1985/8/1,369.26
148,1985/8/2,369.77
149,1985/8/5,367.01
150,1985/8/6,363.42
151,1985/8/7,361.38
152,1985/8/8,362.81
153,1985/8/9,362.64
154,1985/8/12,360.98
155,1985/8/13,359.74
156,1985/8/14,360.27
157,1985/8/15,360.88
158,1985/8/16,358.97
159,1985/8/19,358.36
160,1985/8/20,359.41
161,1985/8/21,361.04
162,1985/8/22,359.7
163,1985/8/23,360.09
164,1985/8/26,359.71
165,1985/8/27,360.63
166,1985/8/28,361.5
167,1985/8/29,362.14
168,1985/8/30,363.34
169,1985/9/3,361.34
170,1985/9/4,359.68
171,1985/9/5,359.38
172,1985/9/6,360.51
173,1985/9/9,360.2
174,1985/9/10,357.89
175,1985/9/11,354.46
176,1985/9/12,351.75
177,1985/9/13,348.08
178,1985/9/16,346.43
179,1985/9/17,341.83
180,1985/9/18,341.42
181,1985/9/19,344.87
182,1985/9/20,345.6
183,1985/9/23,347.37
184,1985/9/24,345.58
185,1985/9/25,343.11
186,1985/9/26,341.22
187,1985/9/30,341.36
188,1985/10/1,343.43
189,1985/10/2,343.06
190,1985/10/3,343.15
191,1985/10/4,342.27
192,1985/10/7,340.38
193,1985/10/8,339.14
194,1985/10/9,340.24
195,1985/10/10,341.46
196,1985/10/11,343.68
197,1985/10/14,345.97
198,1985/10/15,346.57
199,1985/10/16,348.86
200,1985/10/17,350.32
201,1985/10/18,350.45
202,1985/10/21,349.61
203,1985/10/22,350.62
204,1985/10/23,351.94
205,1985/10/24,352.68
206,1985/10/25,351.65
207,1985/10/28,350.84
208,1985/10/29,352.51
209,1985/10/30,353.73
210,1985/10/31,354.32
211,1985/11/1,356.9
212,1985/11/4,356.95
213,1985/11/5,358.33
214,1985/11/6,359.69
215,1985/11/7,360.22
216,1985/11/8,363.11
217,1985/11/11,365.78
218,1985/11/12,369.08
219,1985/11/13,367.88
220,1985/11/14,370.38
221,1985/11/15,371.26
222,1985/11/18,370.76
223,1985/11/19,373.02
224,1985/11/20,372.51
225,1985/11/21,375.64
226,1985/11/22,377.66
227,1985/11/25,375.86
228,1985/11/26,376.07
229,1985/11/27,378.44
230,1985/11/29,379.82
231,1985/12/2,379.03
232,1985/12/3,380.23
