,Date,PX_last
0,1987/12/31,100.0
1,1988/1/1,100.0
2,1988/1/4,99.38
3,1988/1/5,104.89
4,1988/1/6,109.44
5,1988/1/7,109.51
6,1988/1/8,111.92
7,1988/1/11,113.11
8,1988/1/12,118.72
9,1988/1/13,116.02
10,1988/1/14,115.83
11,1988/1/15,120.2
12,1988/1/18,121.55
13,1988/1/19,125.37
14,1988/1/20,124.06
15,1988/1/21,123.83
16,1988/1/22,121.05
17,1988/1/25,121.05
18,1988/1/26,118.63
19,1988/1/27,116.98
20,1988/1/28,120.2
21,1988/1/29,123.67
22,1988/2/1,125.17
23,1988/2/2,129.57
24,1988/2/3,131.03
25,1988/2/4,128.35
26,1988/2/5,126.74
27,1988/2/8,132.98
28,1988/2/9,136.36
29,1988/2/10,135.1
30,1988/2/11,132.64
31,1988/2/12,129.86
32,1988/2/15,129.86
33,1988/2/16,129.86
34,1988/2/17,129.86
35,1988/2/18,129.18
36,1988/2/19,128.39
37,1988/2/22,127.51
38,1988/2/23,127.32
39,1988/2/24,126.95
40,1988/2/25,122.82
41,1988/2/26,117.49
42,1988/2/29,115.35
43,1988/3/1,116.21
44,1988/3/2,116.34
45,1988/3/3,115.22
46,1988/3/4,118.74
47,1988/3/7,123.55
48,1988/3/8,128.28
49,1988/3/9,130.1
50,1988/3/10,130.41
51,1988/3/11,132.72
52,1988/3/14,134.12
53,1988/3/15,136.25
54,1988/3/16,133.94
55,1988/3/17,138.68
56,1988/3/18,144.63
57,1988/3/21,143.56
58,1988/3/22,146.08
59,1988/3/23,158.98
60,1988/3/24,158.3
61,1988/3/25,157.46
62,1988/3/28,162.01
63,1988/3/29,158.96
64,1988/3/30,163.97
65,1988/3/31,165.28
66,1988/4/1,165.28
67,1988/4/4,159.33
68,1988/4/5,158.43
69,1988/4/6,160.74
70,1988/4/7,161.41
71,1988/4/8,162.71
72,1988/4/11,166.07
73,1988/4/12,169.38
74,1988/4/13,169.63
75,1988/4/14,165.75
76,1988/4/15,160.14
77,1988/4/18,160.14
78,1988/4/19,157.81
79,1988/4/20,160.9
80,1988/4/21,171.05
81,1988/4/22,180.47
82,1988/4/25,183.41
83,1988/4/26,179.65
84,1988/4/27,185.28
85,1988/4/28,186.88
86,1988/4/29,181.9
87,1988/5/2,174.79
88,1988/5/3,171.44
89,1988/5/4,165.55
90,1988/5/5,156.23
91,1988/5/6,156.81
92,1988/5/9,158.43
93,1988/5/10,160.73
94,1988/5/11,169.04
95,1988/5/12,170.56
96,1988/5/13,170.56
97,1988/5/16,170.22
98,1988/5/17,173.47
99,1988/5/18,171.66
100,1988/5/19,173.72
101,1988/5/20,180.39
102,1988/5/23,183.42
103,1988/5/24,181.56
104,1988/5/25,185.01
105,1988/5/26,185.33
106,1988/5/27,187.28
107,1988/5/30,185.62
108,1988/5/31,187.8
109,1988/6/1,192.58
110,1988/6/2,188.26
111,1988/6/3,183.15
112,1988/6/6,176.65
113,1988/6/7,181.05
114,1988/6/8,176.31
115,1988/6/9,177.99
116,1988/6/10,175.02
117,1988/6/13,172.35
118,1988/6/14,173.19
119,1988/6/15,172.57
120,1988/6/16,174.64
121,1988/6/17,176.58
122,1988/6/20,174.99
123,1988/6/21,168.66
124,1988/6/22,176.04
125,1988/6/23,174.99
126,1988/6/24,171.28
127,1988/6/27,168.11
128,1988/6/28,172.68
129,1988/6/29,175.9
130,1988/6/30,170.63
131,1988/7/1,174.83
132,1988/7/4,177.16
133,1988/7/5,176.53
134,1988/7/6,175.37
135,1988/7/7,177.83
136,1988/7/8,176.38
137,1988/7/11,171.75
138,1988/7/12,169.11
139,1988/7/13,169.47
140,1988/7/14,162.2
141,1988/7/15,157.1
142,1988/7/18,149.96
143,1988/7/19,149.1
144,1988/7/20,145.57
145,1988/7/21,145.93
146,1988/7/22,147.88
147,1988/7/25,140.9
148,1988/7/26,135.58
149,1988/7/27,136.83
150,1988/7/28,142.29
151,1988/7/29,144.76
152,1988/8/1,143.98
153,1988/8/2,139.74
154,1988/8/3,135.58
155,1988/8/4,135.07
156,1988/8/5,136.1
157,1988/8/8,135.48
158,1988/8/9,135.42
159,1988/8/10,137.71
160,1988/8/11,142.04
161,1988/8/12,145.92
162,1988/8/15,146.87
163,1988/8/16,144.79
164,1988/8/17,145.35
165,1988/8/18,147.73
166,1988/8/19,149.66
167,1988/8/22,149.92
168,1988/8/23,149.4
169,1988/8/24,152.81
170,1988/8/25,148.94
171,1988/8/26,150.17
172,1988/8/29,148.96
173,1988/8/30,149.85
174,1988/8/31,150.99
175,1988/9/1,149.61
176,1988/9/2,150.76
177,1988/9/5,152.52
178,1988/9/6,155.73
179,1988/9/7,155.73
180,1988/9/8,161.81
181,1988/9/9,161.63
182,1988/9/12,161.13
183,1988/9/13,160.31
184,1988/9/14,166.11
185,1988/9/15,166.63
186,1988/9/16,170.84
187,1988/9/19,174.8
188,1988/9/20,182.61
189,1988/9/21,181.15
190,1988/9/22,178.79
191,1988/9/23,183.05
192,1988/9/26,188.23
193,1988/9/27,190.14
194,1988/9/28,182.48
195,1988/9/29,181.92
196,1988/9/30,182.28
197,1988/10/3,186.19
198,1988/10/4,191.91
199,1988/10/5,189.35
200,1988/10/6,191.74
201,1988/10/7,191.75
202,1988/10/10,191.75
203,1988/10/11,194.02
204,1988/10/12,192.4
205,1988/10/13,184.11
206,1988/10/14,189.07
207,1988/10/17,184.65
208,1988/10/18,185.04
209,1988/10/19,185.13
210,1988/10/20,177.19
211,1988/10/21,172.88
212,1988/10/24,173.34
213,1988/10/25,172.8
214,1988/10/26,169.04
215,1988/10/27,173.46
216,1988/10/28,179.68
217,1988/10/31,179.68
218,1988/11/1,180.65
219,1988/11/2,186.24
220,1988/11/3,194.2
221,1988/11/4,198.34
222,1988/11/7,208.12
223,1988/11/8,208.36
224,1988/11/9,209.81
225,1988/11/10,203.64
226,1988/11/11,200.11
227,1988/11/14,200.78
228,1988/11/15,200.78
229,1988/11/16,192.44
230,1988/11/17,193.18
231,1988/11/18,196.67
232,1988/11/21,190.32
233,1988/11/22,183.88
234,1988/11/23,177.74
235,1988/11/24,178.82
236,1988/11/25,170.06
237,1988/11/28,163.23
238,1988/11/29,162.96
239,1988/11/30,167.99
240,1988/12/1,164.63
241,1988/12/2,162.32
242,1988/12/5,155.23
243,1988/12/6,149.19
244,1988/12/7,147.95
245,1988/12/8,150.07
246,1988/12/9,151.34
247,1988/12/12,153.07
248,1988/12/13,154.25
249,1988/12/14,154.02
250,1988/12/15,153.16
251,1988/12/16,158.28
252,1988/12/19,161.39
253,1988/12/20,169.36
254,1988/12/21,175.94
255,1988/12/22,181.36
256,1988/12/23,182.6
257,1988/12/26,200.54
258,1988/12/27,190.1
259,1988/12/28,190.93
260,1988/12/29,193.08
261,1988/12/30,193.08
262,1989/1/2,189.69
263,1989/1/3,182.96
264,1989/1/4,188.47
265,1989/1/5,190.65
266,1989/1/6,190.87
267,1989/1/9,189.24
268,1989/1/10,192.23
269,1989/1/11,197.54
270,1989/1/12,201.57
271,1989/1/13,194.73
272,1989/1/16,194.73
273,1989/1/17,194.73
