,Date,PX_last
0,1995/1/31,
1,1995/2/1,
2,1995/2/2,
3,1995/2/3,
4,1995/2/6,
5,1995/2/7,
6,1995/2/8,
7,1995/2/9,
8,1995/2/10,
9,1995/2/13,
10,1995/2/14,
11,1995/2/15,
12,1995/2/16,
13,1995/2/17,
14,1995/2/20,
15,1995/2/21,
16,1995/2/22,
17,1995/2/23,
18,1995/2/24,
19,1995/2/27,
20,1995/2/28,
21,1995/3/1,
22,1995/3/2,
23,1995/3/3,
24,1995/3/6,
25,1995/3/7,
26,1995/3/8,
27,1995/3/9,
28,1995/3/10,
29,1995/3/13,
30,1995/3/14,
31,1995/3/15,
32,1995/3/16,
33,1995/3/17,
34,1995/3/20,
35,1995/3/21,
36,1995/3/22,
37,1995/3/23,
38,1995/3/24,
39,1995/3/27,
40,1995/3/28,
41,1995/3/29,
42,1995/3/30,
43,1995/3/31,
44,1995/4/3,
45,1995/4/4,
46,1995/4/5,
47,1995/4/6,
48,1995/4/7,
49,1995/4/10,
50,1995/4/11,
51,1995/4/12,
52,1995/4/13,
53,1995/4/18,
54,1995/4/19,
55,1995/4/20,
56,1995/4/21,
57,1995/4/24,
58,1995/4/26,
59,1995/4/27,
60,1995/4/28,
61,1995/5/1,
62,1995/5/2,
63,1995/5/3,
64,1995/5/4,
65,1995/5/5,
66,1995/5/8,
67,1995/5/9,
68,1995/5/10,
69,1995/5/11,
70,1995/5/12,
71,1995/5/15,
72,1995/5/16,
73,1995/5/17,
74,1995/5/18,
75,1995/5/19,
76,1995/5/22,
77,1995/5/23,
78,1995/5/24,
79,1995/5/25,
80,1995/5/26,
81,1995/5/29,
82,1995/5/30,
83,1995/5/31,
84,1995/6/1,
85,1995/6/2,
86,1995/6/5,
87,1995/6/6,
88,1995/6/7,
89,1995/6/8,
90,1995/6/9,
91,1995/6/13,
92,1995/6/14,
93,1995/6/15,
94,1995/6/16,
95,1995/6/19,
96,1995/6/20,
97,1995/6/21,
98,1995/6/22,
99,1995/6/23,
100,1995/6/26,
101,1995/6/27,
102,1995/6/28,
103,1995/6/29,
104,1995/6/30,
105,1995/7/3,
106,1995/7/4,
107,1995/7/5,
108,1995/7/6,
109,1995/7/7,
110,1995/7/10,
111,1995/7/11,
112,1995/7/12,
113,1995/7/13,
114,1995/7/14,
115,1995/7/17,
116,1995/7/18,
117,1995/7/19,
118,1995/7/20,
119,1995/7/21,
120,1995/7/24,
121,1995/7/25,
122,1995/7/26,
123,1995/7/27,
124,1995/7/28,
125,1995/7/31,
126,1995/8/1,
127,1995/8/2,
128,1995/8/3,
129,1995/8/4,
130,1995/8/7,
131,1995/8/8,
132,1995/8/9,
133,1995/8/10,
134,1995/8/11,
135,1995/8/14,
136,1995/8/15,
137,1995/8/16,
138,1995/8/17,
139,1995/8/18,
140,1995/8/21,
141,1995/8/22,
142,1995/8/23,
143,1995/8/24,
144,1995/8/25,
145,1995/8/28,
146,1995/8/29,
147,1995/8/30,
148,1995/8/31,
149,1995/9/1,
150,1995/9/4,
151,1995/9/5,
152,1995/9/6,
153,1995/9/7,
154,1995/9/8,
155,1995/9/11,
156,1995/9/12,
157,1995/9/13,
158,1995/9/14,
159,1995/9/15,
160,1995/9/18,
161,1995/9/19,
162,1995/9/20,
163,1995/9/21,
164,1995/9/22,
165,1995/9/25,
166,1995/9/26,
167,1995/9/27,
168,1995/9/28,
169,1995/9/29,
170,1995/10/2,
171,1995/10/3,
172,1995/10/4,
173,1995/10/5,
174,1995/10/6,
175,1995/10/9,
176,1995/10/10,
177,1995/10/11,
178,1995/10/12,
179,1995/10/13,
180,1995/10/16,
181,1995/10/17,
182,1995/10/18,
183,1995/10/19,
184,1995/10/20,
185,1995/10/23,
186,1995/10/24,
187,1995/10/25,
188,1995/10/26,
189,1995/10/27,
190,1995/10/30,
191,1995/10/31,
192,1995/11/1,
193,1995/11/2,
194,1995/11/3,
195,1995/11/6,
196,1995/11/7,
197,1995/11/8,
198,1995/11/9,
199,1995/11/10,
200,1995/11/13,
201,1995/11/14,
202,1995/11/15,
203,1995/11/16,
204,1995/11/17,
205,1995/11/20,
206,1995/11/21,
207,1995/11/22,
208,1995/11/23,
209,1995/11/24,
210,1995/11/27,
211,1995/11/28,
212,1995/11/29,
213,1995/11/30,
214,1995/12/1,
215,1995/12/4,
216,1995/12/5,
217,1995/12/6,
218,1995/12/7,
219,1995/12/8,
220,1995/12/11,
221,1995/12/12,
222,1995/12/13,
223,1995/12/14,
224,1995/12/15,
225,1995/12/18,
226,1995/12/19,
227,1995/12/20,
228,1995/12/21,
229,1995/12/22,
230,1995/12/27,
231,1995/12/28,
232,1995/12/29,
233,1996/1/2,
234,1996/1/3,
235,1996/1/4,
236,1996/1/5,
237,1996/1/8,
238,1996/1/9,
239,1996/1/10,
240,1996/1/11,
241,1996/1/12,
242,1996/1/15,
243,1996/1/16,
244,1996/1/17,
245,1996/1/18,
246,1996/1/19,
247,1996/1/22,
248,1996/1/23,
249,1996/1/24,
250,1996/1/25,
251,1996/1/29,
252,1996/1/30,
253,1996/1/31,
254,1996/2/1,
255,1996/2/2,
256,1996/2/5,
257,1996/2/6,
258,1996/2/7,
259,1996/2/8,
260,1996/2/9,
261,1996/2/12,
262,1996/2/13,
263,1996/2/14,
264,1996/2/15,
265,1996/2/16,
266,1996/2/19,
267,1996/2/20,
268,1996/2/21,
269,1996/2/22,
270,1996/2/23,
271,1996/2/26,
272,1996/2/27,
273,1996/2/28,
274,1996/2/29,
275,1996/3/1,
276,1996/3/4,
277,1996/3/5,
278,1996/3/6,
279,1996/3/7,
280,1996/3/8,
281,1996/3/11,
282,1996/3/12,
283,1996/3/13,
284,1996/3/14,
285,1996/3/15,
286,1996/3/18,
287,1996/3/19,
288,1996/3/20,
289,1996/3/21,
290,1996/3/22,
291,1996/3/25,
292,1996/3/26,
293,1996/3/27,
294,1996/3/28,
295,1996/3/29,
296,1996/4/1,
297,1996/4/2,
298,1996/4/3,
299,1996/4/4,
300,1996/4/9,
301,1996/4/10,
302,1996/4/11,
303,1996/4/12,
304,1996/4/15,
305,1996/4/16,
306,1996/4/17,
307,1996/4/18,
308,1996/4/19,
309,1996/4/22,
310,1996/4/23,
311,1996/4/24,
312,1996/4/26,
313,1996/4/29,
314,1996/4/30,
315,1996/5/1,
316,1996/5/2,
317,1996/5/3,
318,1996/5/6,
319,1996/5/7,
320,1996/5/8,
321,1996/5/9,
322,1996/5/10,
323,1996/5/13,
324,1996/5/14,
325,1996/5/15,
326,1996/5/16,
327,1996/5/17,
328,1996/5/20,
329,1996/5/21,
330,1996/5/22,
331,1996/5/23,
332,1996/5/24,
333,1996/5/27,
334,1996/5/28,
335,1996/5/29,
336,1996/5/30,
337,1996/5/31,
338,1996/6/3,
339,1996/6/4,
340,1996/6/5,
341,1996/6/6,
342,1996/6/7,
343,1996/6/11,
344,1996/6/12,
345,1996/6/13,
346,1996/6/14,
347,1996/6/17,
348,1996/6/18,
349,1996/6/19,
350,1996/6/20,
351,1996/6/21,
352,1996/6/24,
353,1996/6/25,
354,1996/6/26,
355,1996/6/27,
356,1996/6/28,
357,1996/7/1,
358,1996/7/2,
359,1996/7/3,
360,1996/7/4,
361,1996/7/5,
362,1996/7/8,
363,1996/7/9,
364,1996/7/10,
365,1996/7/11,
366,1996/7/12,
367,1996/7/15,
368,1996/7/16,
369,1996/7/17,
370,1996/7/18,
371,1996/7/19,
372,1996/7/22,
373,1996/7/23,
374,1996/7/24,
375,1996/7/25,
376,1996/7/26,
377,1996/7/29,
378,1996/7/30,
379,1996/7/31,
380,1996/8/1,
381,1996/8/2,
382,1996/8/5,
383,1996/8/6,
384,1996/8/7,
385,1996/8/8,
386,1996/8/9,
387,1996/8/12,
388,1996/8/13,
389,1996/8/14,
390,1996/8/15,
391,1996/8/16,
392,1996/8/19,
393,1996/8/20,
394,1996/8/21,
395,1996/8/22,
396,1996/8/23,
397,1996/8/26,
398,1996/8/27,
399,1996/8/28,
400,1996/8/29,
401,1996/8/30,
402,1996/9/2,
403,1996/9/3,
404,1996/9/4,
405,1996/9/5,
406,1996/9/6,
407,1996/9/9,
408,1996/9/10,
409,1996/9/11,
410,1996/9/12,
411,1996/9/13,
412,1996/9/16,
413,1996/9/17,
414,1996/9/18,
415,1996/9/19,
416,1996/9/20,
417,1996/9/23,
418,1996/9/24,
419,1996/9/25,
420,1996/9/26,
421,1996/9/27,
422,1996/9/30,
423,1996/10/1,
424,1996/10/2,
425,1996/10/3,
