,Date,PX_last
0,1993/2/3,"1,038.53 "
1,1993/2/4,1034.7
2,1993/2/8,1054.95
3,1993/2/9,1060.94
4,1993/2/10,1095.05
5,1993/2/15,1127.01
6,1993/2/16,1121.93
7,1993/2/17,1148.63
8,1993/2/18,1153.79
9,1993/2/22,1153.89
10,1993/2/23,1153.57
11,1993/2/24,1180.88
12,1993/2/25,1175.73
13,1993/3/1,1133.18
14,1993/3/2,1129.27
15,1993/3/3,1140.53
16,1993/3/4,1140.6
17,1993/3/8,1168.82
18,1993/3/9,1156.05
19,1993/3/10,1163.82
20,1993/3/11,1151.68
21,1993/3/15,1173.34
22,1993/3/16,1185.57
23,1993/3/17,1191.68
24,1993/3/18,1187.66
25,1993/3/22,1258.15
26,1993/3/23,1280.72
27,1993/3/24,1265.84
28,1993/3/25,1266.15
29,1993/3/26,1280.35
30,1993/3/29,1271.67
31,1993/4/2,1248.72
32,1993/4/5,1353.06
33,1993/4/6,1363.84
34,1993/4/7,1347.89
35,1993/4/8,1329.82
36,1993/4/12,1310.75
37,1993/4/13,1302.77
38,1993/4/14,1280.3
39,1993/4/15,1289.84
40,1993/4/19,1281.05
41,1993/4/20,1300.61
42,1993/4/21,1343.18
43,1993/4/22,1328.65
44,1993/4/23,1349.94
45,1993/4/26,1552.15
46,1993/4/27,1503.33
47,1993/4/28,1479
48,1993/4/29,1496.45
49,1993/5/3,1552.15
50,1993/5/4,1517.44
51,1993/5/5,1514.92
52,1993/5/6,1513.54
53,1993/5/10,1540.75
54,1993/5/11,1539.87
55,1993/5/12,1542.3
56,1993/5/13,1595.82
57,1993/5/14,1689.54
58,1993/5/17,1700.9
59,1993/5/18,1682.1
60,1993/5/19,1741.12
61,1993/5/20,1736.31
62,1993/5/21,1775.22
63,1993/5/24,1774.84
64,1993/5/25,1799.79
65,1993/5/26,1795.55
66,1993/5/27,1787.54
67,1993/5/31,1842.19
68,1993/6/1,1838.26
69,1993/6/2,1776.32
70,1993/6/3,1729.01
71,1993/6/4,1764.05
72,1993/6/7,1782.55
73,1993/6/8,1782.55
74,1993/6/9,1708.44
75,1993/6/10,1657.14
76,1993/6/11,1662.2
77,1993/6/14,1638.63
78,1993/6/15,1619.55
79,1993/6/16,1670.73
80,1993/6/17,1704.05
81,1993/6/18,1718.45
82,1993/6/21,1730.32
83,1993/6/22,1737.72
84,1993/6/23,1737.72
85,1993/6/24,1744.42
86,1993/6/28,1844.8
87,1993/6/29,1860.6
88,1993/6/30,1904.13
89,1993/7/1,1908.98
90,1993/7/2,1944.01
91,1993/7/5,2014.25
92,1993/7/6,2027.22
93,1993/7/7,2084.07
94,1993/7/8,2079.23
95,1993/7/12,1971.85
96,1993/7/13,2012.02
97,1993/7/14,1986.87
98,1993/7/15,1971
99,1993/7/19,1949.31
100,1993/7/20,1942.29
101,1993/7/21,1928.72
102,1993/7/22,1910.45
103,1993/7/23,1879.9
104,1993/7/26,1896.25
105,1993/7/27,1936.55
106,1993/7/28,1994.57
107,1993/7/29,2024.35
108,1993/8/2,2159.27
109,1993/8/3,2159.44
110,1993/8/4,2111.4
111,1993/8/6,2064.15
112,1993/8/9,1865.88
113,1993/8/10,1922.02
114,1993/8/11,1940.54
115,1993/8/12,1883.73
116,1993/8/13,1826.09
117,1993/8/16,1788.92
118,1993/8/17,1837.64
119,1993/8/18,1836.98
120,1993/8/19,1864.32
121,1993/8/20,1864.32
122,1993/8/23,1879.96
123,1993/8/24,1888.68
124,1993/8/25,1910.97
125,1993/8/26,1915.85
126,1993/8/27,1915.85
127,1993/8/31,1880.17
128,1993/9/1,1886.82
129,1993/9/2,1876.1
130,1993/9/3,1819.7
131,1993/9/6,1759.35
132,1993/9/7,1762.26
133,1993/9/8,1633.61
134,1993/9/9,1575.62
135,1993/9/13,1600.91
136,1993/9/14,1522.66
137,1993/9/15,1540.3
138,1993/9/16,1598.46
139,1993/9/17,1664.8
140,1993/9/20,1664.92
141,1993/9/21,1668.06
142,1993/9/22,1720.13
143,1993/9/23,1694.07
144,1993/9/27,1703.72
145,1993/9/28,1692.65
146,1993/9/29,1695.46
147,1993/9/30,1677.43
148,1993/10/1,1688.03
149,1993/10/4,1673.93
150,1993/10/5,1701.32
151,1993/10/6,1705.71
152,1993/10/7,1700.26
153,1993/10/8,1819.38
154,1993/10/11,1853.38
155,1993/10/12,1870.91
156,1993/10/13,1895.68
157,1993/10/14,1919.09
158,1993/10/15,1913.53
159,1993/10/18,1885.41
160,1993/10/19,1918.19
161,1993/10/20,1960.77
162,1993/10/21,1997.48
163,1993/10/22,1963.77
164,1993/10/25,1961.31
165,1993/10/26,1960.98
166,1993/10/27,1986.79
167,1993/10/28,1973
168,1993/11/3,1919.56
169,1993/11/4,1949.06
170,1993/11/5,1996.41
171,1993/11/8,2023.58
172,1993/11/9,1989.18
173,1993/11/10,2032.88
174,1993/11/12,2055.81
175,1993/11/15,2118.18
176,1993/11/16,2088.7
177,1993/11/17,2079.12
178,1993/11/18,2061.23
179,1993/11/19,2045.5
180,1993/11/22,2063.72
181,1993/11/23,2076.68
182,1993/11/24,2046.83
183,1993/11/25,2020.85
184,1993/11/26,2029.55
185,1993/11/29,1986.23
186,1993/11/30,1929.64
187,1993/12/1,1932.33
188,1993/12/2,1967.42
189,1993/12/3,2011.72
190,1993/12/6,2004.79
191,1993/12/7,2021.83
192,1993/12/8,2107.87
193,1993/12/10,2131.66
194,1993/12/13,2190.3
195,1993/12/14,2175.25
196,1993/12/15,2178.73
197,1993/12/16,2173.19
198,1993/12/17,2161.91
199,1993/12/20,2188.37
200,1993/12/21,2157.69
