,Date,PX_last
0,2007/12/31,100.0
1,2008/1/1,100.0
2,2008/1/2,100.39
3,2008/1/3,100.63
4,2008/1/4,100.79
5,2008/1/7,100.6
6,2008/1/8,101.18
7,2008/1/9,100.99
8,2008/1/10,101.45
9,2008/1/11,102.16
10,2008/1/14,102.86
11,2008/1/15,102.55
12,2008/1/16,101.13
13,2008/1/17,101.02
14,2008/1/18,100.63
15,2008/1/21,99.18
16,2008/1/22,100.4
17,2008/1/23,100.34
18,2008/1/24,101.7
19,2008/1/25,101.47
20,2008/1/28,101.66
21,2008/1/29,101.73
22,2008/1/30,101.57
23,2008/1/31,101.27
24,2008/2/1,101.8
25,2008/2/4,102.01
26,2008/2/5,100.98
27,2008/2/6,100.47
28,2008/2/7,99.74
29,2008/2/8,99.54
30,2008/2/11,99.46
31,2008/2/12,100.33
32,2008/2/13,100.32
33,2008/2/14,100.84
34,2008/2/15,101.04
35,2008/2/18,100.92
36,2008/2/19,100.98
37,2008/2/20,99.92
38,2008/2/21,100.77
39,2008/2/22,100.94
40,2008/2/25,101.66
41,2008/2/26,102.23
42,2008/2/27,103.48
43,2008/2/28,103.61
44,2008/2/29,102.64
45,2008/3/3,102.61
46,2008/3/4,102.77
47,2008/3/5,103.16
48,2008/3/6,102.61
49,2008/3/7,102.04
50,2008/3/10,101.71
51,2008/3/11,102.42
52,2008/3/12,103.55
53,2008/3/13,103.78
54,2008/3/14,104.2
55,2008/3/17,103.84
56,2008/3/18,104.56
57,2008/3/19,104.27
58,2008/3/20,102.9
59,2008/3/21,102.91
60,2008/3/24,102.97
61,2008/3/25,103.87
62,2008/3/26,104.36
63,2008/3/27,104.74
64,2008/3/28,104.31
65,2008/3/31,104.38
66,2008/4/1,104.25
67,2008/4/2,105.06
68,2008/4/3,105.37
69,2008/4/4,105.83
70,2008/4/7,106.35
71,2008/4/8,106.21
72,2008/4/9,106.48
73,2008/4/10,106.91
74,2008/4/11,107.05
75,2008/4/14,107.19
76,2008/4/15,106.93
77,2008/4/16,107.38
78,2008/4/17,107.26
79,2008/4/18,106.83
80,2008/4/21,107.39
81,2008/4/22,107.91
82,2008/4/23,107.62
83,2008/4/24,106.62
84,2008/4/25,106.21
85,2008/4/28,106.48
86,2008/4/29,105.95
87,2008/4/30,106.03
88,2008/5/1,105.35
89,2008/5/2,105.6
90,2008/5/5,105.87
91,2008/5/6,106.12
92,2008/5/7,105.79
93,2008/5/8,105.29
94,2008/5/9,105.41
95,2008/5/12,105.74
96,2008/5/13,105.84
97,2008/5/14,105.12
98,2008/5/15,105.14
99,2008/5/16,106.22
100,2008/5/19,106.16
101,2008/5/20,106.37
