,Date,PX_last
0,1985/1/4,"11,558.06"
1,1985/1/7,11575.52
2,1985/1/8,11679.79
3,1985/1/9,11763.57
4,1985/1/10,11824.38
5,1985/1/11,11812.24
6,1985/1/14,11823.91
7,1985/1/16,11933.02
8,1985/1/17,11887.19
9,1985/1/18,11910.06
10,1985/1/21,11964.52
11,1985/1/22,11868.12
12,1985/1/23,11859.01
13,1985/1/24,11856.36
14,1985/1/25,11785.1
15,1985/1/28,11798.86
16,1985/1/29,11843.07
17,1985/1/30,11960.63
18,1985/1/31,11992.31
19,1985/2/1,11946.96
20,1985/2/4,11891.08
21,1985/2/5,11823.43
22,1985/2/6,11867.17
23,1985/2/7,11940.8
24,1985/2/8,12009.01
25,1985/2/12,12027.89
26,1985/2/13,12025.71
27,1985/2/14,12081.69
28,1985/2/15,12148.29
29,1985/2/18,12149.15
30,1985/2/19,12156.64
31,1985/2/20,12152.37
32,1985/2/21,12128.46
33,1985/2/22,12147.06
34,1985/2/25,12201.04
35,1985/2/26,12194.97
36,1985/2/27,12287.38
37,1985/2/28,12321.92
38,1985/3/1,12412.14
39,1985/3/4,12509.01
40,1985/3/5,12476.38
41,1985/3/6,12498.67
42,1985/3/7,12414.8
43,1985/3/8,12347.53
44,1985/3/11,12263.85
45,1985/3/12,12296.87
46,1985/3/13,12419.26
47,1985/3/14,12405.03
48,1985/3/15,12468.03
49,1985/3/18,12506.64
50,1985/3/19,12477.99
51,1985/3/20,12541.37
52,1985/3/22,12542.6
53,1985/3/25,12493.26
54,1985/3/26,12486.15
55,1985/3/27,12550.82
56,1985/3/28,12604.02
57,1985/3/29,12580.76
58,1985/4/1,12677.15
59,1985/4/2,12629.86
60,1985/4/3,12683.26
61,1985/4/4,12627.1
62,1985/4/5,12544.24
63,1985/4/8,12635.96
64,1985/4/9,12630.43
65,1985/4/10,12601.93
66,1985/4/11,12573.8
67,1985/4/12,12588.01
68,1985/4/15,12552.73
69,1985/4/16,12207.28
70,1985/4/17,12302.06
71,1985/4/18,12052.82
72,1985/4/19,12114.8
73,1985/4/22,12179.92
74,1985/4/23,12124.14
75,1985/4/24,12217.77
76,1985/4/25,12333.87
77,1985/4/26,12405.1
78,1985/4/30,12426.29
79,1985/5/1,12456.65
80,1985/5/2,12451.79
81,1985/5/7,12506.3
82,1985/5/8,12521.2
83,1985/5/9,12474.51
84,1985/5/10,12527.31
85,1985/5/13,12541.53
86,1985/5/14,12504.2
87,1985/5/15,12358.03
88,1985/5/16,12369.3
89,1985/5/17,12419.99
90,1985/5/20,12559.1
91,1985/5/21,12650.37
92,1985/5/22,12673.57
93,1985/5/23,12649.13
94,1985/5/24,12593.85
95,1985/5/27,12642.73
96,1985/5/28,12694.93
97,1985/5/29,12767.17
98,1985/5/30,12790.27
99,1985/5/31,12758.46
100,1985/6/3,12473.41
101,1985/6/4,12583.31
102,1985/6/5,12693.21
103,1985/6/6,12716.11
104,1985/6/7,12716.59
105,1985/6/10,12683.34
106,1985/6/11,12758.93
107,1985/6/12,12748.01
108,1985/6/13,12717.16
109,1985/6/14,12685.25
110,1985/6/17,12769.28
111,1985/6/18,12741.11
112,1985/6/19,12773.59
113,1985/6/20,12677.97
114,1985/6/21,12634.76
115,1985/6/24,12765.93
116,1985/6/25,12837.02
117,1985/6/26,12910.29
118,1985/6/27,12841.6
119,1985/6/28,12882.09
120,1985/7/1,12919.03
121,1985/7/2,12913.75
122,1985/7/3,12924.3
123,1985/7/4,12969.59
124,1985/7/5,12963.35
125,1985/7/8,13029.65
126,1985/7/9,13021.01
127,1985/7/10,13012.09
128,1985/7/11,12858.1
129,1985/7/12,12839.49
130,1985/7/15,12598.77
131,1985/7/16,12698.26
132,1985/7/17,12846.49
133,1985/7/18,12852.54
134,1985/7/19,12788.54
135,1985/7/22,12771.66
136,1985/7/23,12762.83
137,1985/7/24,12777.03
138,1985/7/25,12647.03
139,1985/7/26,12648.09
140,1985/7/29,12591.42
141,1985/7/30,12269.89
142,1985/7/31,12232.27
143,1985/8/1,12538.34
144,1985/8/2,12525.96
145,1985/8/5,12450.62
146,1985/8/6,12437.28
147,1985/8/7,12421.15
148,1985/8/8,12386.03
149,1985/8/9,12401.19
150,1985/8/12,12372.88
151,1985/8/13,12326.71
152,1985/8/14,12419.64
153,1985/8/15,12484.02
154,1985/8/16,12583.08
155,1985/8/19,12640.05
156,1985/8/20,12634.05
157,1985/8/21,12704.81
158,1985/8/22,12734.05
159,1985/8/23,12691.41
160,1985/8/26,12651.77
161,1985/8/27,12691.41
162,1985/8/28,12685.5
163,1985/8/29,12728.8
164,1985/8/30,12713.15
165,1985/9/2,12726.64
166,1985/9/3,12630.96
167,1985/9/4,12529.47
168,1985/9/5,12491.8
169,1985/9/6,12453.85
170,1985/9/9,12455.72
171,1985/9/10,12519.54
172,1985/9/11,12625.25
173,1985/9/12,12603.04
174,1985/9/13,12585.7
175,1985/9/17,12591.51
176,1985/9/18,12529.66
177,1985/9/19,12564.99
178,1985/9/20,12666.95
179,1985/9/24,12755.6
180,1985/9/25,12704.81
181,1985/9/26,12689.5
182,1985/9/27,12538.71
183,1985/9/30,12700.11
184,1985/10/1,12685.36
185,1985/10/2,12720.5
186,1985/10/3,12700.86
187,1985/10/4,12713.83
188,1985/10/7,12792
189,1985/10/8,12835.21
190,1985/10/9,12857.2
191,1985/10/11,12949.92
192,1985/10/14,13017.29
193,1985/10/15,13055.52
194,1985/10/16,13036.56
195,1985/10/17,13021.14
196,1985/10/18,12973.22
197,1985/10/21,13023.21
198,1985/10/22,13001.69
199,1985/10/23,12946.53
200,1985/10/24,12969.08
201,1985/10/25,12854.99
202,1985/10/28,12937.04
203,1985/10/29,12913.92
204,1985/10/30,12908.66
205,1985/10/31,12936.47
206,1985/11/1,12808.1
207,1985/11/5,12820.69
208,1985/11/6,12892.4
209,1985/11/7,12851.24
210,1985/11/8,12851.05
211,1985/11/11,12821.26
212,1985/11/12,12735.08
213,1985/11/13,12716.29
214,1985/11/14,12589.51
215,1985/11/15,12637.44
216,1985/11/18,12700.31
217,1985/11/19,12607.27
218,1985/11/20,12642.89
219,1985/11/21,12697.02
220,1985/11/22,12759.33
221,1985/11/25,12783.39
222,1985/11/26,12783.1
223,1985/11/27,12777.84
224,1985/11/28,12741.19
225,1985/11/29,12763.27
226,1985/12/2,12796.92
227,1985/12/3,12774.55
228,1985/12/4,12811.2
229,1985/12/5,12864.11
230,1985/12/6,12793.53
231,1985/12/9,12798.23
232,1985/12/10,12850.95
233,1985/12/11,12972
234,1985/12/12,13050.28
235,1985/12/13,13107.98
236,1985/12/16,13117.85
237,1985/12/17,13128.94
238,1985/12/18,13102.34
239,1985/12/19,13115.03
240,1985/12/20,13011.09
241,1985/12/23,13043.04
242,1985/12/24,13010.71
243,1985/12/25,13097.83
244,1985/12/26,13084.59
245,1985/12/27,13083.18
246,1986/1/6,13053.79
247,1986/1/7,12991.24
248,1986/1/8,13056.42
249,1986/1/9,13034.19
250,1986/1/10,12998.21
251,1986/1/13,12977.02
252,1986/1/14,12928.6
253,1986/1/16,13027.13
254,1986/1/17,13009.7
255,1986/1/20,12952.05
256,1986/1/21,12881.5
257,1986/1/22,12923.32
258,1986/1/23,12888.94
259,1986/1/24,12904.2
260,1986/1/27,12983.14
261,1986/1/28,12993.69
262,1986/1/29,12957.14
263,1986/1/30,12949.04
264,1986/1/31,13024.3
265,1986/2/3,13086.47
266,1986/2/4,13138.09
267,1986/2/5,13185.66
268,1986/2/6,13186.61
269,1986/2/7,13212.13
270,1986/2/10,13226.07
271,1986/2/12,13300.58
272,1986/2/13,13293.8
273,1986/2/14,13342.78
274,1986/2/17,13447.91
275,1986/2/18,13436.23
276,1986/2/19,13466.65
277,1986/2/20,13355.41
278,1986/2/21,13394.31
279,1986/2/24,13503.49
280,1986/2/25,13576.3
281,1986/2/26,13621.7
282,1986/2/27,13642.14
283,1986/2/28,13640.83
284,1986/3/3,13757.63
285,1986/3/4,13784.29
286,1986/3/5,13807.46
287,1986/3/6,13901.56
288,1986/3/7,13994.63
289,1986/3/10,14056.52
290,1986/3/11,14066.22
291,1986/3/12,14238.13
292,1986/3/13,14414.66
293,1986/3/14,14516.77
294,1986/3/17,14655.52
295,1986/3/18,14639.32
296,1986/3/19,14476.54
297,1986/3/20,14753.3
298,1986/3/24,14975.23
299,1986/3/25,14826.87
300,1986/3/26,15059.72
301,1986/3/27,15337.18
302,1986/3/28,15364.34
303,1986/3/31,15859.75
304,1986/4/1,15745.87
305,1986/4/2,15555.51
306,1986/4/3,15272.24
307,1986/4/4,15019.81
308,1986/4/7,15061.98
309,1986/4/8,15014.06
310,1986/4/9,15110.18
311,1986/4/10,15203.57
312,1986/4/11,15326.38
313,1986/4/14,15396.76
314,1986/4/15,15352.33
315,1986/4/16,15358.36
316,1986/4/17,15486.84
317,1986/4/18,15758.61
318,1986/4/21,15827.28
319,1986/4/22,15712.91
320,1986/4/23,15748.02
321,1986/4/24,15682.05
322,1986/4/25,15689.88
323,1986/4/28,15757.93
324,1986/4/30,15825.5
325,1986/5/1,15782.65
326,1986/5/2,15868.44
327,1986/5/6,15900.15
328,1986/5/7,15953.85
329,1986/5/8,16078.24
330,1986/5/9,16194.98
