,Date,PX_last
0,1993/1/4,
1,1993/1/6,
2,1993/1/7,
3,1993/1/8,
4,1993/1/11,
5,1993/1/12,
6,1993/1/13,
7,1993/1/14,
8,1993/1/18,
9,1993/1/19,
10,1993/1/20,
11,1993/1/21,
12,1993/1/22,
13,1993/1/25,
14,1993/1/26,
15,1993/1/27,
16,1993/1/28,
17,1993/1/29,
18,1993/2/1,
19,1993/2/2,
20,1993/2/3,
21,1993/2/4,
22,1993/2/5,
23,1993/2/8,
24,1993/2/9,
25,1993/2/10,
26,1993/2/12,
27,1993/2/15,
28,1993/2/16,
29,1993/2/17,
30,1993/2/18,
31,1993/2/19,
32,1993/2/22,
33,1993/2/23,
34,1993/2/24,
35,1993/2/25,
36,1993/2/26,
37,1993/3/1,
38,1993/3/2,
39,1993/3/3,
40,1993/3/4,
41,1993/3/5,
42,1993/3/8,
43,1993/3/9,
44,1993/3/10,
45,1993/3/11,
46,1993/3/12,
47,1993/3/15,
48,1993/3/17,
49,1993/3/18,
50,1993/3/19,
51,1993/3/22,
52,1993/3/23,
53,1993/3/24,
54,1993/3/25,
55,1993/3/26,
56,1993/3/29,
57,1993/3/30,
58,1993/3/31,
59,1993/4/1,
60,1993/4/2,
61,1993/4/5,
62,1993/4/6,
63,1993/4/7,
64,1993/4/8,
65,1993/4/9,
66,1993/4/12,
67,1993/4/13,
68,1993/4/14,
69,1993/4/15,
70,1993/4/16,
71,1993/4/19,
72,1993/4/20,
73,1993/4/21,
74,1993/4/22,
75,1993/4/23,
76,1993/4/26,
77,1993/4/27,
78,1993/4/28,
79,1993/4/30,
80,1993/5/6,
81,1993/5/7,
82,1993/5/10,
83,1993/5/11,
84,1993/5/12,
85,1993/5/13,
86,1993/5/14,
87,1993/5/17,
88,1993/5/18,
89,1993/5/19,
90,1993/5/20,
91,1993/5/21,
92,1993/5/24,
93,1993/5/25,
94,1993/5/26,
95,1993/5/27,
96,1993/5/28,
97,1993/5/31,
98,1993/6/1,
99,1993/6/2,
100,1993/6/3,
101,1993/6/4,
102,1993/6/7,
103,1993/6/8,
104,1993/6/10,
105,1993/6/11,
106,1993/6/14,
107,1993/6/15,
108,1993/6/16,
109,1993/6/17,
110,1993/6/18,
111,1993/6/21,
112,1993/6/22,
113,1993/6/23,
114,1993/6/24,
115,1993/6/25,
116,1993/6/28,
117,1993/6/29,
118,1993/6/30,
119,1993/7/1,
120,1993/7/2,
121,1993/7/5,
122,1993/7/6,
123,1993/7/7,
124,1993/7/8,
125,1993/7/9,
126,1993/7/12,
127,1993/7/13,
128,1993/7/14,
129,1993/7/15,
130,1993/7/16,
131,1993/7/19,
132,1993/7/20,
133,1993/7/21,
134,1993/7/22,
135,1993/7/23,
136,1993/7/26,
137,1993/7/27,
138,1993/7/28,
139,1993/7/29,
140,1993/7/30,
141,1993/8/2,
142,1993/8/3,
143,1993/8/4,
144,1993/8/5,
145,1993/8/6,
146,1993/8/9,
147,1993/8/10,
148,1993/8/11,
149,1993/8/12,
150,1993/8/13,
151,1993/8/16,
152,1993/8/17,
153,1993/8/18,
154,1993/8/19,
155,1993/8/20,
156,1993/8/23,
157,1993/8/24,
158,1993/8/25,
159,1993/8/26,
160,1993/8/27,
161,1993/8/30,
162,1993/8/31,
163,1993/9/1,
164,1993/9/2,
165,1993/9/3,
166,1993/9/6,
167,1993/9/7,
168,1993/9/8,
169,1993/9/9,
170,1993/9/10,
171,1993/9/13,
172,1993/9/14,
173,1993/9/16,
174,1993/9/17,
175,1993/9/20,
176,1993/9/21,
177,1993/9/22,
178,1993/9/24,
179,1993/9/27,
180,1993/9/28,
181,1993/9/29,
182,1993/9/30,
183,1993/10/1,
184,1993/10/4,
185,1993/10/5,
186,1993/10/6,
187,1993/10/7,
188,1993/10/8,
189,1993/10/12,
190,1993/10/13,
191,1993/10/14,
192,1993/10/15,
193,1993/10/18,
194,1993/10/19,
195,1993/10/20,
196,1993/10/21,
197,1993/10/22,
198,1993/10/25,
199,1993/10/26,
200,1993/10/27,
201,1993/10/28,
202,1993/10/29,
203,1993/11/1,
204,1993/11/2,
205,1993/11/4,
206,1993/11/5,
207,1993/11/8,
208,1993/11/9,
209,1993/11/10,
210,1993/11/11,
211,1993/11/12,
212,1993/11/15,
213,1993/11/16,
214,1993/11/17,
215,1993/11/18,
