,Date,PX_last
0,1985/1/2,273.41
1,1985/1/3,273.48
2,1985/1/4,273.73
3,1985/1/8,278.84
4,1985/1/9,279.07
5,1985/1/10,276.62
6,1985/1/11,274.93
7,1985/1/14,276.0
8,1985/1/15,274.51
9,1985/1/16,276.27
10,1985/1/17,276.67
11,1985/1/18,281.36
12,1985/1/22,286.46
13,1985/1/23,286.27
14,1985/1/24,285.67
15,1985/1/25,283.85
16,1985/1/28,282.36
17,1985/1/29,284.51
18,1985/1/30,287.45
19,1985/1/31,287.62
20,1985/2/1,295.01
21,1985/2/5,298.52
22,1985/2/6,297.67
23,1985/2/7,297.26
24,1985/2/8,298.08
25,1985/2/11,297.43
26,1985/2/12,296.68
27,1985/2/13,295.19
28,1985/2/14,297.02
29,1985/2/15,300.92
30,1985/2/19,302.64
31,1985/2/20,302.57
32,1985/2/21,307.32
33,1985/2/22,306.57
34,1985/2/25,305.16
35,1985/2/26,303.07
36,1985/2/27,303.22
37,1985/2/28,303.63
38,1985/3/1,305.59
39,1985/3/5,305.71
40,1985/3/6,306.59
41,1985/3/8,309.32
42,1985/3/11,311.26
43,1985/3/12,313.73
44,1985/3/13,316.62
45,1985/3/14,314.17
46,1985/3/15,310.55
47,1985/3/16,314.29
48,1985/3/18,320.73
49,1985/3/19,322.17
50,1985/3/20,324.12
51,1985/3/21,340.76
52,1985/3/22,340.76
53,1985/3/26,347.56
54,1985/3/27,352.51
55,1985/3/28,353.86
56,1985/4/1,351.4
57,1985/4/2,353.03
58,1985/4/4,353.01
59,1985/4/8,347.0
60,1985/4/9,348.37
61,1985/4/11,346.53
62,1985/4/12,350.7
63,1985/4/15,355.9
64,1985/4/16,361.31
65,1985/4/17,360.53
66,1985/4/18,353.19
67,1985/4/19,356.92
68,1985/4/23,363.4
69,1985/4/24,363.05
70,1985/4/26,376.96
71,1985/4/30,386.95
72,1985/5/2,384.14
73,1985/5/3,369.78
74,1985/5/6,363.05
75,1985/5/7,364.0
76,1985/5/8,365.77
77,1985/5/9,377.49
78,1985/5/10,381.48
79,1985/5/14,374.97
80,1985/5/15,373.79
81,1985/5/16,374.47
82,1985/5/17,380.77
83,1985/5/20,385.24
84,1985/5/21,382.2
85,1985/5/22,377.63
86,1985/5/23,377.14
87,1985/5/28,393.39
88,1985/5/29,395.63
89,1985/5/30,396.06
90,1985/5/31,399.42
91,1985/6/3,403.49
92,1985/6/4,399.97
93,1985/6/5,401.28
94,1985/6/6,415.34
95,1985/6/7,427.88
96,1985/6/11,446.23
97,1985/6/12,448.75
98,1985/6/13,445.11
99,1985/6/14,439.21
100,1985/6/18,444.07
101,1985/6/19,445.07
102,1985/6/21,459.34
103,1985/6/27,471.27
104,1985/6/28,477.96
105,1985/7/2,454.34
106,1985/7/3,451.79
107,1985/7/5,460.77
108,1985/7/8,463.0
109,1985/7/9,462.26
110,1985/7/10,458.87
111,1985/7/11,457.56
112,1985/7/12,452.9
113,1985/7/16,466.88
114,1985/7/17,480.29
115,1985/7/18,499.16
116,1985/7/19,505.9
117,1985/7/22,539.7
118,1985/7/23,520.43
119,1985/7/24,523.09
120,1985/7/25,512.71
121,1985/7/26,504.09
122,1985/7/29,497.72
123,1985/7/30,514.85
124,1985/8/2,515.67
125,1985/8/7,530.58
126,1985/8/8,532.66
127,1985/8/9,533.2
128,1985/8/12,522.79
129,1985/8/13,522.29
130,1985/8/14,505.4
131,1985/8/16,476.57
132,1985/8/21,475.28
133,1985/8/23,484.88
134,1985/8/26,470.46
135,1985/8/28,468.39
136,1985/8/29,468.14
137,1985/9/2,467.39
138,1985/9/3,447.77
139,1985/9/4,449.49
140,1985/9/5,461.24
141,1985/9/6,476.42
142,1985/9/10,488.71
143,1985/9/11,489.71
144,1985/9/12,487.78
145,1985/9/13,487.38
146,1985/9/16,483.04
147,1985/9/17,483.44
148,1985/9/19,479.14
149,1985/9/20,482.78
150,1985/9/24,480.92
151,1985/9/25,464.3
