,Date,PX_last
0,1987/7/2,299.0
1,1987/7/3,314.22
2,1987/7/6,317.59
3,1987/7/7,321.89
4,1987/7/8,323.89
5,1987/7/9,327.8
6,1987/7/10,324.85
7,1987/7/14,343.02
8,1987/7/15,346.36
9,1987/7/16,343.6
10,1987/7/17,348.59
11,1987/7/20,352.9
12,1987/7/21,349.07
13,1987/7/22,350.74
14,1987/7/23,340.94
15,1987/7/24,341.15
16,1987/7/27,332.34
17,1987/7/28,333.3
18,1987/7/29,333.06
19,1987/7/30,327.41
20,1987/7/31,313.93
21,1987/8/3,325.26
22,1987/8/4,328.48
23,1987/8/5,327.51
24,1987/8/6,325.35
25,1987/8/7,323.65
26,1987/8/10,319.77
27,1987/8/11,318.87
28,1987/8/13,323.77
29,1987/8/14,325.58
30,1987/8/17,326.09
31,1987/8/18,326.74
32,1987/8/19,329.63
33,1987/8/20,333.69
34,1987/8/21,334.91
35,1987/8/24,338.31
36,1987/8/25,338.86
37,1987/8/26,339.03
38,1987/8/27,341.91
39,1987/8/28,346.09
40,1987/8/31,353.15
41,1987/9/1,356.41
42,1987/9/2,366.7
43,1987/9/3,366.31
44,1987/9/4,371.78
45,1987/9/7,369.79
46,1987/9/8,369.23
47,1987/9/9,373.15
48,1987/9/10,378.41
49,1987/9/11,382.01
50,1987/9/14,387.22
51,1987/9/15,391.62
52,1987/9/16,395.31
53,1987/9/17,397.66
54,1987/9/18,401.5
55,1987/9/21,406.72
56,1987/9/22,414.04
57,1987/9/23,411.6
58,1987/9/24,413.25
59,1987/9/25,416.42
60,1987/9/28,424.85
61,1987/9/29,425.05
62,1987/9/30,428.19
63,1987/10/1,436.92
64,1987/10/2,444.1
65,1987/10/5,460.12
66,1987/10/6,457.91
67,1987/10/7,453.17
68,1987/10/8,442.55
69,1987/10/9,451.09
70,1987/10/12,459.72
71,1987/10/13,465.21
72,1987/10/14,465.27
73,1987/10/15,469.73
74,1987/10/16,472.86
75,1987/10/19,459.01
76,1987/10/20,422.37
77,1987/10/21,391.44
78,1987/10/22,399.49
79,1987/10/26,368.18
80,1987/10/27,336.68
81,1987/10/28,330.8
82,1987/10/29,307.63
83,1987/10/30,299.83
84,1987/11/2,303.51
85,1987/11/3,314.4
86,1987/11/4,326.31
87,1987/11/5,324.81
88,1987/11/6,330.37
89,1987/11/9,335.48
90,1987/11/10,326.25
91,1987/11/11,313.91
92,1987/11/12,310.34
93,1987/11/13,313.81
94,1987/11/16,304.01
95,1987/11/17,294.23
96,1987/11/18,291.43
97,1987/11/19,285.92
98,1987/11/20,280.34
99,1987/11/23,290.62
100,1987/11/24,295.97
101,1987/11/25,304.21
102,1987/11/26,302.77
103,1987/11/27,299.39
104,1987/11/30,290.42
105,1987/12/1,277.92
106,1987/12/2,274.01
107,1987/12/3,261.7
108,1987/12/4,260.91
