,Date,PX_last
0,1988/1/4,256.01
1,1988/1/5,258.77
2,1988/1/6,259.03
3,1988/1/7,261.21
4,1988/1/8,243.54
5,1988/1/11,247.67
6,1988/1/12,245.6
7,1988/1/13,246.02
8,1988/1/14,246.09
9,1988/1/15,252.29
10,1988/1/18,252.12
11,1988/1/19,249.57
12,1988/1/20,242.87
13,1988/1/21,243.38
14,1988/1/22,246.75
15,1988/1/25,252.5
16,1988/1/26,249.95
17,1988/1/27,249.76
18,1988/1/28,253.67
19,1988/1/29,257.47
20,1988/2/1,255.51
21,1988/2/2,256.14
22,1988/2/3,252.79
23,1988/2/4,252.96
24,1988/2/5,251.91
25,1988/2/8,250.1
26,1988/2/9,252.77
27,1988/2/10,257.76
28,1988/2/11,257.06
29,1988/2/12,258.87
30,1988/2/16,261.14
31,1988/2/17,260.53
32,1988/2/18,259.23
33,1988/2/19,262.96
34,1988/2/22,267.08
35,1988/2/23,266.48
36,1988/2/24,265.96
37,1988/2/25,263.1
38,1988/2/26,263.99
39,1988/2/29,269.47
40,1988/3/1,269.44
41,1988/3/2,269.75
42,1988/3/3,269.65
43,1988/3/4,269.1
44,1988/3/7,269.22
45,1988/3/8,271.34
46,1988/3/9,271.03
47,1988/3/10,265.78
48,1988/3/11,266.9
49,1988/3/14,268.36
50,1988/3/15,268.13
51,1988/3/16,270.87
52,1988/3/17,273.27
53,1988/3/18,273.18
54,1988/3/21,270.79
55,1988/3/22,270.9
56,1988/3/23,270.98
57,1988/3/24,265.37
58,1988/3/25,260.72
59,1988/3/28,260.28
60,1988/3/29,262.33
61,1988/3/30,260.32
62,1988/3/31,261.15
63,1988/4/4,258.41
64,1988/4/5,260.89
65,1988/4/6,267.94
66,1988/4/7,268.61
67,1988/4/8,271.92
68,1988/4/11,272.68
69,1988/4/12,273.9
70,1988/4/13,274.11
71,1988/4/14,262.21
72,1988/4/15,262.23
73,1988/4/18,261.68
74,1988/4/19,260.39
75,1988/4/20,258.58
76,1988/4/21,258.88
77,1988/4/22,262.64
78,1988/4/25,265.04
79,1988/4/26,266.61
80,1988/4/27,266.51
81,1988/4/28,265.32
82,1988/4/29,264.04
83,1988/5/2,264.33
84,1988/5/3,265.89
85,1988/5/4,263.23
86,1988/5/5,261.84
87,1988/5/6,260.59
88,1988/5/9,259.88
89,1988/5/10,261.01
90,1988/5/11,256.65
91,1988/5/12,257.21
92,1988/5/13,260.2
93,1988/5/16,262.29
94,1988/5/17,259.05
95,1988/5/18,255.02
96,1988/5/19,256.3
97,1988/5/20,256.76
98,1988/5/23,254.58
99,1988/5/24,257.33
100,1988/5/25,257.64
101,1988/5/26,258.53
102,1988/5/27,257.4
103,1988/5/31,266.32
104,1988/6/1,270.95
105,1988/6/2,269.58
106,1988/6/3,270.74
107,1988/6/6,271.41
108,1988/6/7,269.56
109,1988/6/8,276.02
