,Date,PX_last
0,1999/8/31,2185.45
1,1999/9/1,2184.44
2,1999/9/2,2185.97
3,1999/9/3,2160.39
4,1999/9/6,2163.86
5,1999/9/7,2175.52
6,1999/9/8,2167.47
7,1999/9/9,2215.27
8,1999/9/10,2219.54
9,1999/9/13,2224.02
10,1999/9/14,2217.07
11,1999/9/15,2183.66
12,1999/9/16,2148.04
13,1999/9/17,2184.31
14,1999/9/20,2162.66
15,1999/9/21,2139.73
16,1999/9/22,2098.78
17,1999/9/23,2104.48
18,1999/9/24,2057.43
19,1999/9/27,2027.9
20,1999/9/28,2080.61
21,1999/9/29,2069.89
22,1999/9/30,2074.68
23,1999/10/1,2111.9
24,1999/10/4,2103.85
25,1999/10/5,2124.04
26,1999/10/6,2170.98
27,1999/10/7,2183.08
28,1999/10/8,2176.81
29,1999/10/11,2197.65
30,1999/10/12,2184.83
31,1999/10/13,2162.21
32,1999/10/14,2177.13
33,1999/10/15,2122.2
34,1999/10/18,2045.03
35,1999/10/19,2020.77
36,1999/10/20,2065.78
37,1999/10/21,2052.89
38,1999/10/22,2053.13
39,1999/10/25,2055.67
40,1999/10/26,2060.98
41,1999/10/27,2053.15
42,1999/10/28,2057.91
43,1999/10/29,2107.83
44,1999/11/1,2127.38
45,1999/11/2,2110.25
46,1999/11/3,2155.25
47,1999/11/4,2170.76
48,1999/11/5,2175.52
49,1999/11/9,2199.31
50,1999/11/10,2211.28
51,1999/11/11,2232.92
52,1999/11/12,2243.19
53,1999/11/15,2263.92
54,1999/11/16,2273.93
55,1999/11/17,2285.68
56,1999/11/18,2278.05
57,1999/11/19,2282.88
58,1999/11/22,2271.47
59,1999/11/23,2269.66
60,1999/11/24,2250.85
61,1999/11/25,2262.67
62,1999/11/26,2279.72
63,1999/11/29,2259.49
64,1999/11/30,2273.57
65,1999/12/1,2265.79
66,1999/12/2,2293.17
67,1999/12/3,2287.11
68,1999/12/6,2318.38
69,1999/12/7,2372.25
70,1999/12/8,2411.49
71,1999/12/9,2408.84
72,1999/12/10,2445.93
73,1999/12/13,2451.42
74,1999/12/14,2459.2
75,1999/12/15,2418.61
76,1999/12/16,2410.75
77,1999/12/17,2476.47
78,1999/12/20,2478.63
79,1999/12/21,2448.68
80,1999/12/22,2450.54
81,1999/12/23,2485.14
82,1999/12/24,2515.38
83,1999/12/27,2523.54
84,1999/12/28,2514.11
85,1999/12/29,2528.32
86,1999/12/30,2526.67
87,2000/1/3,2608.48
88,2000/1/4,2549.01
89,2000/1/5,2425.9
90,2000/1/6,2409
91,2000/1/7,2449.96
92,2000/1/10,2457.59
93,2000/1/11,2449.74
94,2000/1/12,2452.61
95,2000/1/13,2412.51
96,2000/1/14,2418.57
97,2000/1/17,2367.16
98,2000/1/18,2343.04
99,2000/1/19,2286.65
100,2000/1/20,2347.34
101,2000/1/21,2285.61
102,2000/1/24,2256.84
103,2000/1/25,2255.12
104,2000/1/26,2266.75
105,2000/1/27,2303.69
106,2000/1/28,2275.89
107,2000/1/31,2231.82
108,2000/2/1,2240.63
109,2000/2/2,2277.48
110,2000/2/3,2260.2
111,2000/2/4,2270.98
112,2000/2/8,2261.31
113,2000/2/9,2249.69
114,2000/2/10,2236.72
115,2000/2/11,2239.15
116,2000/2/14,2237.87
117,2000/2/15,2209.94
118,2000/2/16,2218.66
119,2000/2/17,2241.87
120,2000/2/18,2179.75
121,2000/2/21,2120.39
122,2000/2/22,2114.11
123,2000/2/23,2142.69
124,2000/2/24,2127.71
125,2000/2/25,2143.04
126,2000/2/28,2130.99
127,2000/2/29,2163.75
128,2000/3/1,2163.07
129,2000/3/2,2147.78
130,2000/3/3,2138.95
131,2000/3/6,2164.45
132,2000/3/7,2158.41
133,2000/3/8,2151.39
134,2000/3/9,2150.68
135,2000/3/10,2179.9
136,2000/3/13,2126.82
137,2000/3/14,2134.63
138,2000/3/15,2103.15
139,2000/3/17,2162.86
140,2000/3/20,2157.2
141,2000/3/21,2182.56
142,2000/3/22,2194.54
143,2000/3/23,2190.31
144,2000/3/24,2199.6
145,2000/3/27,2262.52
146,2000/3/28,2243.78
147,2000/3/29,2225.02
148,2000/3/30,2152.53
149,2000/3/31,2150.24
150,2000/4/3,2086.22
151,2000/4/4,2066.09
152,2000/4/5,2058.89
153,2000/4/6,2104.28
154,2000/4/7,2146.88
155,2000/4/10,2126.76
156,2000/4/11,2128.94
157,2000/4/12,2126.38
158,2000/4/13,2156.03
159,2000/4/14,2159.61
160,2000/4/17,1982.66
161,2000/4/18,2005.19
162,2000/4/19,2067.5
163,2000/4/20,2090.51
164,2000/4/24,2066.74
165,2000/4/25,2080.43
166,2000/4/26,2128.6
167,2000/4/27,2173.73
168,2000/4/28,2176.63
169,2000/5/2,2165.03
170,2000/5/3,2140.41
171,2000/5/4,2108.53
172,2000/5/5,2096.4
173,2000/5/8,2052.31
174,2000/5/9,2063.93
175,2000/5/10,2024.96
176,2000/5/11,1972.97
177,2000/5/12,1992.84
178,2000/5/15,1989.42
179,2000/5/16,2032.26
180,2000/5/17,2006.56
181,2000/5/19,2004.65
182,2000/5/22,1933.98
183,2000/5/23,1909.47
184,2000/5/24,1880.96
185,2000/5/25,1856.03
186,2000/5/26,1842.28
