,Date,PX_last
0,2015/5/6,6.53
1,2015/5/7,6.16
2,2015/5/8,5.62
3,2015/5/11,6.38
4,2015/5/12,6.5
5,2015/5/13,6.43
6,2015/5/14,5.99
7,2015/5/15,6
8,2015/5/18,6.13
9,2015/5/19,6.36
10,2015/5/20,6.22
11,2015/5/21,6.18
12,2015/5/22,6
13,2015/5/26,6.15
14,2015/5/27,5.88
15,2015/5/28,6.01
16,2015/5/29,5.99
17,2015/6/1,6.1
18,2015/6/2,6.22
19,2015/6/3,6.74
20,2015/6/4,6.56
21,2015/6/5,6.28
22,2015/6/8,6.29
23,2015/6/9,6.36
24,2015/6/10,6.74
25,2015/6/11,6.18
26,2015/6/12,6.39
27,2015/6/15,6.25
28,2015/6/16,6.21
29,2015/6/17,5.85
30,2015/6/18,5.99
31,2015/6/19,6.2
32,2015/6/22,6.17
33,2015/6/23,6.23
34,2015/6/24,6.18
35,2015/6/25,6.28
36,2015/6/26,6.37
37,2015/6/29,7.27
38,2015/6/30,6.9
39,2015/7/1,6.56
40,2015/7/2,6.58
41,2015/7/6,6.61
42,2015/7/7,6.63
43,2015/7/8,6.76
44,2015/7/9,6.81
45,2015/7/10,6.69
46,2015/7/13,6.32
47,2015/7/14,6.05
48,2015/7/15,5.97
49,2015/7/16,5.66
50,2015/7/17,5.47
51,2015/7/20,5.38
52,2015/7/21,5.33
53,2015/7/22,5.33
54,2015/7/23,5.37
55,2015/7/24,5.4
56,2015/7/27,5.55
57,2015/7/28,5.46
58,2015/7/29,5.24
59,2015/7/30,5.37
60,2015/7/31,5.58
61,2015/8/3,5.68
62,2015/8/4,5.69
63,2015/8/5,5.43
64,2015/8/6,5.59
65,2015/8/7,5.32
66,2015/8/10,5.35
67,2015/8/11,5.6
68,2015/8/12,5.95
69,2015/8/13,5.69
70,2015/8/14,5.65
71,2015/8/17,5.74
72,2015/8/18,5.68
73,2015/8/19,5.59
74,2015/8/20,5.79
75,2015/8/21,6.02
76,2015/8/24,6.47
77,2015/8/25,6.43
78,2015/8/26,6.41
79,2015/8/27,6.2
80,2015/8/28,6.02
81,2015/8/31,6.01
82,2015/9/1,6.27
83,2015/9/2,6.01
84,2015/9/3,5.79
85,2015/9/4,5.66
86,2015/9/8,5.84
87,2015/9/9,5.79
