,Date,PX_last
0,1985/1/2,"1,220.00"
1,1985/1/3,1206.1
2,1985/1/4,1214.6
3,1985/1/7,1229
4,1985/1/8,1243.5
5,1985/1/9,1259.2
6,1985/1/10,1261
7,1985/1/11,1248.6
8,1985/1/14,1220.5
9,1985/1/15,1233.2
10,1985/1/16,1254.1
11,1985/1/17,1260.4
12,1985/1/18,1277.9
13,1985/1/21,1279
14,1985/1/22,1305.7
15,1985/1/23,1283.7
16,1985/1/24,1274.7
17,1985/1/25,1288
18,1985/1/28,1265.8
19,1985/1/29,1249.3
20,1985/1/30,1277.3
21,1985/1/31,1280.8
22,1985/2/1,1272.6
23,1985/2/4,1268.2
24,1985/2/5,1289.1
25,1985/2/6,1289.5
26,1985/2/7,1296.3
27,1985/2/8,1295.3
28,1985/2/11,1297.5
29,1985/2/12,1273
30,1985/2/13,1282
31,1985/2/14,1289.8
32,1985/2/15,1281.5
33,1985/2/18,1268.7
34,1985/2/19,1275.9
35,1985/2/20,1275.8
36,1985/2/21,1279.1
37,1985/2/22,1268.9
38,1985/2/25,1259.4
39,1985/2/26,1259.5
40,1985/2/27,1258.8
41,1985/2/28,1259.7
42,1985/3/1,1250.8
43,1985/3/4,1265.7
44,1985/3/5,1274.9
45,1985/3/6,1285.4
46,1985/3/7,1285.8
47,1985/3/8,1288.6
48,1985/3/11,1290.8
49,1985/3/12,1300
50,1985/3/13,1295.2
51,1985/3/14,1299.7
52,1985/3/15,1309.9
53,1985/3/18,1300.3
54,1985/3/19,1304.5
55,1985/3/20,1307.2
56,1985/3/21,1300.7
57,1985/3/22,1302.9
58,1985/3/25,1297.8
59,1985/3/26,1290.4
60,1985/3/27,1288
61,1985/3/28,1287.1
62,1985/3/29,1277
63,1985/4/1,1278.3
64,1985/4/2,1286.8
65,1985/4/3,1274.8
66,1985/4/4,1278.5
67,1985/4/9,1270.2
68,1985/4/10,1273.1
69,1985/4/11,1269.3
70,1985/4/12,1275.8
71,1985/4/15,1288.5
72,1985/4/16,1290.8
73,1985/4/17,1304
74,1985/4/18,1305.5
75,1985/4/19,1299.7
76,1985/4/22,1294.9
77,1985/4/23,1284.9
78,1985/4/24,1285.7
79,1985/4/25,1287.1
80,1985/4/26,1295.3
81,1985/4/29,1292.9
82,1985/4/30,1291
83,1985/5/1,1301.5
84,1985/5/2,1309.1
85,1985/5/3,1310.9
86,1985/5/7,1305.5
87,1985/5/8,1307.9
88,1985/5/9,1306.3
89,1985/5/10,1315.8
90,1985/5/13,1333
91,1985/5/14,1326.5
92,1985/5/15,1342.4
93,1985/5/16,1336.1
94,1985/5/17,1327.4
95,1985/5/20,1330.8
96,1985/5/21,1334.1
97,1985/5/22,1333.8
98,1985/5/23,1325.3
99,1985/5/24,1313.8
100,1985/5/28,1317.4
101,1985/5/29,1312
102,1985/5/30,1314.7
103,1985/5/31,1313
104,1985/6/3,1324.6
105,1985/6/4,1336.6
106,1985/6/5,1335.9
107,1985/6/6,1322
108,1985/6/7,1310.6
109,1985/6/10,1299.6
110,1985/6/11,1308.1
111,1985/6/12,1291.4
112,1985/6/13,1278.9
113,1985/6/14,1275.5
114,1985/6/17,1284.4
115,1985/6/18,1284
116,1985/6/19,1284.1
117,1985/6/20,1276.3
118,1985/6/21,1262
119,1985/6/24,1266.6
120,1985/6/25,1248.3
121,1985/6/26,1236.5
122,1985/6/27,1234.3
123,1985/6/28,1234.9
124,1985/7/1,1246.8
125,1985/7/2,1250.8
126,1985/7/3,1239.3
127,1985/7/4,1249.1
128,1985/7/5,1260
129,1985/7/8,1258.2
130,1985/7/9,1239.6
131,1985/7/10,1230.4
132,1985/7/11,1238.4
133,1985/7/12,1230.8
134,1985/7/15,1243.6
135,1985/7/16,1239.5
136,1985/7/17,1247.3
137,1985/7/18,1248.6
138,1985/7/19,1252.5
139,1985/7/22,1241.1
140,1985/7/23,1233.1
141,1985/7/24,1236.2
142,1985/7/25,1221.7
143,1985/7/26,1239.7
144,1985/7/29,1248.9
145,1985/7/30,1252.3
146,1985/7/31,1261.7
147,1985/8/1,1287.2
148,1985/8/2,1280.4
149,1985/8/5,1271.8
150,1985/8/6,1287.5
151,1985/8/7,1286.6
152,1985/8/8,1286
153,1985/8/9,1286.3
154,1985/8/12,1288.1
155,1985/8/13,1285.1
156,1985/8/14,1293.1
157,1985/8/15,1302.2
158,1985/8/16,1299.1
159,1985/8/19,1294.9
160,1985/8/20,1307.1
161,1985/8/21,1313.9
162,1985/8/22,1309.7
163,1985/8/23,1313.5
164,1985/8/27,1310.8
165,1985/8/28,1308.2
166,1985/8/29,1323.9
167,1985/8/30,1341.1
168,1985/9/2,1340.3
169,1985/9/3,1335.5
170,1985/9/4,1326.7
171,1985/9/5,1322
172,1985/9/6,1332.2
173,1985/9/9,1329.3
174,1985/9/10,1311.4
175,1985/9/11,1302.2
176,1985/9/12,1313.3
177,1985/9/13,1308.8
178,1985/9/16,1300.2
179,1985/9/17,1296
180,1985/9/18,1294.8
181,1985/9/19,1306.8
182,1985/9/20,1298.7
183,1985/9/23,1292.1
184,1985/9/24,1280.1
185,1985/9/25,1275.2
186,1985/9/26,1270.8
187,1985/9/27,1280.7
188,1985/9/30,1290
189,1985/10/1,1296
190,1985/10/2,1305.4
191,1985/10/3,1305.3
192,1985/10/4,1313
193,1985/10/7,1306.9
194,1985/10/8,1303.3
195,1985/10/9,1308.1
196,1985/10/10,1314.1
197,1985/10/11,1322.3
198,1985/10/14,1321.2
199,1985/10/15,1320.9
200,1985/10/16,1326.2
201,1985/10/17,1335.7
202,1985/10/18,1341.2
203,1985/10/21,1340.3
204,1985/10/22,1331.5
205,1985/10/23,1346.4
206,1985/10/24,1349.6
207,1985/10/25,1347.6
208,1985/10/28,1347.8
209,1985/10/29,1364.4
210,1985/10/30,1373.8
211,1985/10/31,1377.2
212,1985/11/1,1379
213,1985/11/4,1380.9
214,1985/11/5,1383.7
215,1985/11/6,1395
216,1985/11/7,1384.8
217,1985/11/8,1390.1
218,1985/11/11,1375.5
219,1985/11/12,1381.6
220,1985/11/13,1396.9
221,1985/11/14,1391.7
222,1985/11/15,1403.9
223,1985/11/18,1405.1
224,1985/11/19,1412.1
225,1985/11/20,1424.3
226,1985/11/21,1443.1
227,1985/11/22,1451
228,1985/11/25,1455.5
229,1985/11/26,1431.9
230,1985/11/27,1438
231,1985/11/28,1429.3
232,1985/11/29,1439.1
233,1985/12/2,1418.5
234,1985/12/3,1415.6
235,1985/12/4,1399.6
236,1985/12/5,1395.3
237,1985/12/6,1401.9
238,1985/12/9,1392.2
239,1985/12/10,1389.5
240,1985/12/11,1377.4
241,1985/12/12,1378.5
242,1985/12/13,1381.4
243,1985/12/16,1376.5
244,1985/12/17,1365.4
245,1985/12/18,1378.8
246,1985/12/19,1390.7
247,1985/12/20,1386.5
248,1985/12/23,1388.6
249,1985/12/24,1391.5
250,1985/12/27,1398.9
251,1985/12/30,1413.6
252,1985/12/31,1412.6
253,1986/1/1,1412.6
254,1986/1/2,1420.5
255,1986/1/3,1429.8
256,1986/1/6,1424.1
257,1986/1/7,1415.2
258,1986/1/8,1404.2
259,1986/1/9,1379.6
260,1986/1/10,1394.5
261,1986/1/13,1384.6
262,1986/1/14,1370.1
263,1986/1/15,1390.5
264,1986/1/16,1394.5
265,1986/1/17,1396
266,1986/1/20,1378.3
267,1986/1/21,1378.1
268,1986/1/22,1390.9
269,1986/1/23,1382.8
270,1986/1/24,1392
271,1986/1/27,1405
272,1986/1/28,1426.3
273,1986/1/29,1421
274,1986/1/30,1429.1
275,1986/1/31,1435
276,1986/2/3,1425.1
277,1986/2/4,1431.6
278,1986/2/5,1424.1
279,1986/2/6,1426.9
280,1986/2/7,1445
281,1986/2/10,1461.5
282,1986/2/11,1453.9
283,1986/2/12,1470
284,1986/2/13,1473.5
285,1986/2/14,1477.9
286,1986/2/17,1475.3
287,1986/2/18,1491.9
288,1986/2/19,1491.4
289,1986/2/20,1492.1
290,1986/2/21,1518
291,1986/2/24,1533
292,1986/2/25,1527.7
293,1986/2/26,1534.6
294,1986/2/27,1549.5
295,1986/2/28,1543.9
296,1986/3/3,1534.9
297,1986/3/4,1548.9
298,1986/3/5,1569.1
299,1986/3/6,1566.1
300,1986/3/7,1573.8
301,1986/3/10,1572.2
302,1986/3/11,1597.1
303,1986/3/12,1624.5
304,1986/3/13,1616.7
305,1986/3/14,1624.4
306,1986/3/17,1622.6
307,1986/3/18,1644.4
308,1986/3/19,1659.8
309,1986/3/20,1690.1
310,1986/3/21,1688.3
311,1986/3/24,1663.9
312,1986/3/25,1633.8
313,1986/3/26,1653.9
314,1986/3/27,1668.8
315,1986/3/28,1668.8
316,1986/3/31,1668.8
317,1986/4/1,1684
318,1986/4/2,1702.9
319,1986/4/3,1717.6
320,1986/4/4,1709.7
321,1986/4/7,1688.5
322,1986/4/8,1675.7
323,1986/4/9,1659
324,1986/4/10,1690.3
325,1986/4/11,1694.1
326,1986/4/14,1683.1
327,1986/4/15,1654.8
328,1986/4/16,1662
329,1986/4/17,1680.9
330,1986/4/18,1680.2
331,1986/4/21,1668
332,1986/4/22,1665.2
333,1986/4/23,1632.7
334,1986/4/24,1615.5
335,1986/4/25,1622.6
336,1986/4/28,1628.8
337,1986/4/29,1656.3
338,1986/4/30,1660.5
339,1986/5/1,1640.1
340,1986/5/2,1652.5
341,1986/5/5,1652.5
342,1986/5/6,1636.2
343,1986/5/7,1610.1
344,1986/5/8,1602.6
345,1986/5/9,1601.6
346,1986/5/12,1603.8
347,1986/5/13,1623.3
348,1986/5/14,1594.3
349,1986/5/15,1575.7
350,1986/5/16,1564.9
351,1986/5/19,1573.1
352,1986/5/20,1585.8
353,1986/5/21,1591.9
354,1986/5/22,1598.8
355,1986/5/23,1617.4
356,1986/5/26,1617.4
357,1986/5/27,1612.1
358,1986/5/28,1624.8
359,1986/5/29,1609
360,1986/5/30,1602.8
361,1986/6/2,1596.5
362,1986/6/3,1602.2
363,1986/6/4,1601.4
364,1986/6/5,1612.6
365,1986/6/6,1611.9
366,1986/6/9,1604.6
367,1986/6/10,1586.4
368,1986/6/11,1571.4
369,1986/6/12,1571.8
