,Date,PX_last
0,1990/1/2,17.24
1,1990/1/3,18.19
2,1990/1/4,19.22
3,1990/1/5,20.11
4,1990/1/8,20.26
5,1990/1/9,22.2
6,1990/1/10,22.44
7,1990/1/11,20.05
8,1990/1/12,24.64
9,1990/1/15,26.34
10,1990/1/16,24.18
11,1990/1/17,24.16
12,1990/1/18,24.34
13,1990/1/19,22.5
14,1990/1/22,26.7
15,1990/1/23,24.72
16,1990/1/24,25.39
17,1990/1/25,25.63
18,1990/1/26,26.28
19,1990/1/29,26.44
20,1990/1/30,27.25
21,1990/1/31,25.36
22,1990/2/1,24.87
23,1990/2/2,24.32
24,1990/2/5,24.54
25,1990/2/6,24.69
26,1990/2/7,24.29
27,1990/2/8,23.77
28,1990/2/9,23.69
29,1990/2/12,24.38
30,1990/2/13,23.76
31,1990/2/14,22.05
32,1990/2/15,19.71
33,1990/2/16,20.78
34,1990/2/20,22.78
35,1990/2/21,23.89
36,1990/2/22,22.54
37,1990/2/23,23.69
38,1990/2/26,23.56
39,1990/2/27,22.69
40,1990/2/28,21.99
41,1990/3/1,21.9
42,1990/3/2,21.34
43,1990/3/5,22.03
44,1990/3/6,20.55
45,1990/3/7,19.1
46,1990/3/8,19.74
47,1990/3/9,20.3
48,1990/3/12,20.07
49,1990/3/13,21.05
50,1990/3/14,19.65
51,1990/3/15,18.81
52,1990/3/16,17.62
53,1990/3/19,18.29
54,1990/3/20,19.06
55,1990/3/21,20.1
56,1990/3/22,22.74
57,1990/3/23,20.46
58,1990/3/26,19.59
59,1990/3/27,21.01
60,1990/3/28,19.77
61,1990/3/29,18.46
62,1990/3/30,19.73
63,1990/4/2,22.84
64,1990/4/3,20.44
65,1990/4/4,22.03
66,1990/4/5,21.21
67,1990/4/6,21.76
68,1990/4/9,22.3
69,1990/4/10,21.69
70,1990/4/11,17.73
71,1990/4/12,19.8
72,1990/4/16,20.75
73,1990/4/17,20.38
74,1990/4/18,22.67
75,1990/4/19,22.46
76,1990/4/20,23.33
77,1990/4/23,24.16
78,1990/4/24,21.7
79,1990/4/25,20.86
80,1990/4/26,20.25
81,1990/4/27,22.19
82,1990/4/30,19.52
83,1990/5/1,18.43
84,1990/5/2,19.32
85,1990/5/3,17.81
86,1990/5/4,17.28
87,1990/5/7,17.65
88,1990/5/8,18.49
89,1990/5/9,18.64
90,1990/5/10,18.59
91,1990/5/11,19.81
92,1990/5/14,20.14
93,1990/5/15,19.49
94,1990/5/16,17.71
95,1990/5/17,17.27
96,1990/5/18,17.2
97,1990/5/21,16.72
98,1990/5/22,17.84
99,1990/5/23,17.18
100,1990/5/24,17.7
101,1990/5/25,17.32
102,1990/5/29,18.75
103,1990/5/30,17.44
104,1990/5/31,17.37
105,1990/6/1,17.09
106,1990/6/4,18.39
107,1990/6/5,18.97
108,1990/6/6,17.42
109,1990/6/7,16.88
110,1990/6/8,17.58
111,1990/6/11,16.34
112,1990/6/12,16.6
113,1990/6/13,17.38
114,1990/6/14,17.4
115,1990/6/15,15.9
116,1990/6/18,17.71
117,1990/6/19,15.23
118,1990/6/20,15.27
119,1990/6/21,14.72
120,1990/6/22,19.36
121,1990/6/25,17.06
122,1990/6/26,16.29
123,1990/6/27,16
124,1990/6/28,16.18
125,1990/6/29,15.5
126,1990/7/2,16.26
127,1990/7/3,16.11
128,1990/7/5,17.25
129,1990/7/6,16.41
130,1990/7/9,16.66
131,1990/7/10,16.92
132,1990/7/11,16.68
133,1990/7/12,17.06
134,1990/7/13,17.09
135,1990/7/16,16.75
136,1990/7/17,16.66
137,1990/7/18,18.9
138,1990/7/19,18.56
139,1990/7/20,15.63
140,1990/7/23,23.68
141,1990/7/24,21.79
142,1990/7/25,20.19
143,1990/7/26,20.26
144,1990/7/27,21.12
145,1990/7/30,21.16
146,1990/7/31,21.11
147,1990/8/1,21.64
148,1990/8/2,20.43
149,1990/8/3,28.74
150,1990/8/6,35.91
151,1990/8/7,32.75
152,1990/8/8,28.27
153,1990/8/9,24.39
154,1990/8/10,25.75
155,1990/8/13,25.74
156,1990/8/14,24.18
157,1990/8/15,23.31
158,1990/8/16,27.16
159,1990/8/17,27.53
160,1990/8/20,26.46
161,1990/8/21,28.9
162,1990/8/22,30.55
163,1990/8/23,36.47
164,1990/8/24,33.93
165,1990/8/27,29.63
166,1990/8/28,29.12
167,1990/8/29,27.38
168,1990/8/30,29.89
169,1990/8/31,29.9
170,1990/9/4,29.58
171,1990/9/5,28.52
172,1990/9/6,30.19
173,1990/9/7,28.73
174,1990/9/10,29.34
175,1990/9/11,28.38
176,1990/9/12,28.12
177,1990/9/13,29.33
178,1990/9/14,30.56
179,1990/9/17,29.55
180,1990/9/18,28.82
181,1990/9/19,27.88
182,1990/9/20,28.66
183,1990/9/21,30.04
184,1990/9/24,30.56
185,1990/9/25,28.81
186,1990/9/26,28.19
187,1990/9/27,28.67
188,1990/9/28,29.11
189,1990/10/1,28.06
190,1990/10/2,27.28
191,1990/10/3,27.9
192,1990/10/4,27.51
193,1990/10/5,27.85
194,1990/10/8,28.04
195,1990/10/9,30.71
196,1990/10/10,31.19
197,1990/10/11,33.98
198,1990/10/12,31.94
199,1990/10/15,31.64
200,1990/10/16,31.45
201,1990/10/17,31.37
202,1990/10/18,29.6
203,1990/10/19,27.86
204,1990/10/22,27.27
205,1990/10/23,27.57
206,1990/10/24,28.28
207,1990/10/25,29.04
208,1990/10/26,30.75
209,1990/10/29,31.54
210,1990/10/30,30.52
211,1990/10/31,30.04
212,1990/11/1,30.25
213,1990/11/2,30.03
214,1990/11/5,29.85
215,1990/11/6,29.11
216,1990/11/7,30.87
217,1990/11/8,30.79
218,1990/11/9,26.96
219,1990/11/12,25.6
220,1990/11/13,24.58
221,1990/11/14,22.89
222,1990/11/15,22.57
223,1990/11/16,21.34
224,1990/11/19,20.95
225,1990/11/20,20.09
226,1990/11/21,21.09
227,1990/11/23,20.98
228,1990/11/26,22.76
229,1990/11/27,22.86
230,1990/11/28,22.96
231,1990/11/29,23.91
232,1990/11/30,22.16
233,1990/12/3,22.29
234,1990/12/4,22.03
235,1990/12/5,20.94
236,1990/12/6,22.62
237,1990/12/7,22.59
238,1990/12/10,23.58
239,1990/12/11,23.75
240,1990/12/12,21.28
241,1990/12/13,23.05
242,1990/12/14,23.85
243,1990/12/17,24.85
244,1990/12/18,23.11
245,1990/12/19,23.08
246,1990/12/20,23.13
247,1990/12/21,22.66
248,1990/12/24,24.03
249,1990/12/26,24.18
250,1990/12/27,24.81
251,1990/12/28,25.05
252,1990/12/31,26.38
253,1991/1/2,26.62
254,1991/1/3,27.93
255,1991/1/4,27.19
256,1991/1/7,28.95
257,1991/1/8,30.38
258,1991/1/9,33.3
259,1991/1/10,31.33
260,1991/1/11,32.63
261,1991/1/14,36.2
262,1991/1/15,36.16
263,1991/1/16,33.2
264,1991/1/17,27.45
265,1991/1/18,25.39
266,1991/1/21,24.33
267,1991/1/22,24.9
268,1991/1/23,23.92
269,1991/1/24,22.86
270,1991/1/25,22.2
271,1991/1/28,23.05
272,1991/1/29,23.17
273,1991/1/30,21.37
274,1991/1/31,20.91
275,1991/2/1,21.04
276,1991/2/4,21.86
277,1991/2/5,21.46
278,1991/2/6,22.68
279,1991/2/7,23.6
280,1991/2/8,23.38
281,1991/2/11,22.56
282,1991/2/12,22.26
283,1991/2/13,20.86
284,1991/2/14,21.48
285,1991/2/15,19.57
286,1991/2/19,19.84
287,1991/2/20,22.26
288,1991/2/21,20.78
289,1991/2/22,21.01
290,1991/2/25,22.86
291,1991/2/26,20.38
292,1991/2/27,21.26
293,1991/2/28,21.23
294,1991/3/4,20.86
295,1991/3/5,20.45
296,1991/3/6,20.55
297,1991/3/7,21.05
298,1991/3/8,20.81
299,1991/3/11,20.88
300,1991/3/12,18.82
301,1991/3/13,16.09
302,1991/3/14,14.94
303,1991/3/15,14.9
304,1991/3/18,15.79
305,1991/3/19,16.11
306,1991/3/20,16.04
307,1991/3/21,16.86
308,1991/3/22,16.49
309,1991/3/25,16.76
310,1991/3/26,16.31
311,1991/3/27,16.55
312,1991/3/28,16.88
313,1991/4/1,17.42
314,1991/4/2,17.4
315,1991/4/3,17.61
316,1991/4/4,18.01
317,1991/4/5,17.63
318,1991/4/8,17.41
319,1991/4/9,20.12
320,1991/4/10,19.73
321,1991/4/11,17.24
322,1991/4/12,18.45
323,1991/4/15,16.5
324,1991/4/16,15.82
325,1991/4/17,15.47
326,1991/4/18,16.26
327,1991/4/19,15.68
328,1991/4/22,16.78
329,1991/4/23,17.02
330,1991/4/24,16.72
331,1991/4/25,17.15
332,1991/4/26,17.27
333,1991/4/29,18.27
334,1991/4/30,18.24
335,1991/5/1,17.77
336,1991/5/2,17.52
337,1991/5/3,17.24
338,1991/5/6,17.92
339,1991/5/7,17.46
340,1991/5/8,17.78
341,1991/5/9,17.17
342,1991/5/10,17.54
343,1991/5/13,17.66
344,1991/5/14,18
345,1991/5/15,18.38
346,1991/5/16,17.24
347,1991/5/17,16.64
348,1991/5/20,17.1
349,1991/5/21,16.07
350,1991/5/22,16.16
351,1991/5/23,16.11
352,1991/5/24,15.23
353,1991/5/28,15.67
354,1991/5/29,15.9
355,1991/5/30,16.02
356,1991/5/31,15.93
357,1991/6/3,16.87
358,1991/6/4,16.17
359,1991/6/5,16.4
360,1991/6/6,16.93
361,1991/6/7,16.98
362,1991/6/10,17.47
363,1991/6/11,17.32
364,1991/6/12,17.72
365,1991/6/13,16.99
366,1991/6/14,15.98
367,1991/6/17,15.5
368,1991/6/18,16.14
369,1991/6/19,17.44
370,1991/6/20,16.75
371,1991/6/21,16.51
372,1991/6/24,18.28
373,1991/6/25,17.85
374,1991/6/26,17.98
375,1991/6/27,17.87
376,1991/6/28,19.55
377,1991/7/1,18.64
378,1991/7/2,17.63
379,1991/7/3,19.47
380,1991/7/5,18.35
381,1991/7/8,20.29
382,1991/7/9,19.76
383,1991/7/10,19.19
384,1991/7/11,17.39
385,1991/7/12,18.29
386,1991/7/15,17.78
387,1991/7/16,17.49
388,1991/7/17,17.52
389,1991/7/18,15.77
390,1991/7/19,15.5
391,1991/7/22,16.9
392,1991/7/23,16.58
393,1991/7/24,16.41
394,1991/7/25,15.74
395,1991/7/26,15.45
396,1991/7/29,15.67
397,1991/7/30,15.47
398,1991/7/31,15.18
399,1991/8/1,15.47
400,1991/8/2,15.26
401,1991/8/5,15.92
402,1991/8/6,15.54
403,1991/8/7,15.56
404,1991/8/8,15.98
405,1991/8/9,15.45
406,1991/8/12,15.26
407,1991/8/13,14.73
408,1991/8/14,15.09
409,1991/8/15,15.19
410,1991/8/16,16.01
411,1991/8/19,21.19
412,1991/8/20,18.86
413,1991/8/21,15.62
414,1991/8/22,14.59
415,1991/8/23,14.41
416,1991/8/26,14.81
417,1991/8/27,15.46
418,1991/8/28,15.31
419,1991/8/29,14.82
420,1991/8/30,14.46
421,1991/9/3,16.57
422,1991/9/4,17.18
423,1991/9/5,17.31
424,1991/9/6,16.76
425,1991/9/9,17.73
426,1991/9/10,18.22
427,1991/9/11,17.96
428,1991/9/12,16.21
429,1991/9/13,17.88
430,1991/9/16,17.82
431,1991/9/17,17.68
432,1991/9/18,17.56
433,1991/9/19,17.56
434,1991/9/20,17.08
435,1991/9/23,16.38
436,1991/9/24,16.04
437,1991/9/25,15.68
438,1991/9/26,15.35
439,1991/9/27,16.31
440,1991/9/30,15.85
441,1991/10/1,14.81
442,1991/10/2,15.81
443,1991/10/3,17.04
444,1991/10/4,15.63
445,1991/10/7,18.58
446,1991/10/8,17.81
447,1991/10/9,18.54
448,1991/10/10,17.8
449,1991/10/11,17.6
450,1991/10/14,16.71
451,1991/10/15,16.22
452,1991/10/16,14.85
453,1991/10/17,16.32
454,1991/10/18,15.87
455,1991/10/21,16.66
456,1991/10/22,16.55
457,1991/10/23,16.26
458,1991/10/24,15.62
459,1991/10/25,15.75
460,1991/10/28,15.45
461,1991/10/29,15.55
462,1991/10/30,15.46
463,1991/10/31,15.48
464,1991/11/1,15.6
465,1991/11/4,16.35
466,1991/11/5,16.48
467,1991/11/6,16.47
468,1991/11/7,15.97
469,1991/11/8,15.43
470,1991/11/11,14.89
471,1991/11/12,14.04
472,1991/11/13,13.95
473,1991/11/14,13.96
474,1991/11/15,21.18
475,1991/11/18,18.28
476,1991/11/19,20.34
477,1991/11/20,20.4
478,1991/11/21,19.11
479,1991/11/22,21.2
480,1991/11/25,21.92
481,1991/11/26,19.8
482,1991/11/27,19.84
483,1991/11/29,20.26
484,1991/12/2,20.18
485,1991/12/3,19.7
486,1991/12/4,19.54
487,1991/12/5,20.19
488,1991/12/6,19.04
489,1991/12/9,19.74
490,1991/12/10,19.89
491,1991/12/11,20.57
492,1991/12/12,19.08
493,1991/12/13,17.88
494,1991/12/16,17.62
495,1991/12/17,18.12
496,1991/12/18,17.78
497,1991/12/19,17.96
498,1991/12/20,17.65
499,1991/12/23,16.61
500,1991/12/24,15.67
501,1991/12/26,15.44
502,1991/12/27,15.7
503,1991/12/30,17.63
504,1991/12/31,19.31
505,1992/1/2,18.95
506,1992/1/3,18.75
507,1992/1/6,18.96
508,1992/1/7,19.23
509,1992/1/8,18.72
510,1992/1/9,18.96
511,1992/1/10,18.45
512,1992/1/13,18.01
513,1992/1/14,17.01
514,1992/1/15,17.39
515,1992/1/16,17.64
516,1992/1/17,16.32
517,1992/1/20,16.42
518,1992/1/21,17.92
519,1992/1/22,16.75
520,1992/1/23,16.46
521,1992/1/24,16.24
522,1992/1/27,16.67
523,1992/1/28,17.67
524,1992/1/29,17.62
525,1992/1/30,17.49
526,1992/1/31,17.4
527,1992/2/3,18.2
528,1992/2/4,17.96
529,1992/2/5,18.22
530,1992/2/6,18.79
531,1992/2/7,18.51
532,1992/2/10,18.56
533,1992/2/11,17.7
534,1992/2/12,17.37
535,1992/2/13,17.45
536,1992/2/14,17.03
537,1992/2/18,18.22
538,1992/2/19,17.16
539,1992/2/20,16.72
540,1992/2/21,16.87
541,1992/2/24,17.13
542,1992/2/25,16.35
543,1992/2/26,16.64
544,1992/2/27,16.51
545,1992/2/28,16.68
546,1992/3/2,16.88
547,1992/3/3,17.26
548,1992/3/4,17.89
549,1992/3/5,18.47
550,1992/3/6,19.75
551,1992/3/9,19.68
552,1992/3/10,18.68
553,1992/3/11,19.79
554,1992/3/12,19.72
555,1992/3/13,18.35
556,1992/3/16,18.46
557,1992/3/17,16.79
558,1992/3/18,16.69
559,1992/3/19,16.52
560,1992/3/20,16.82
561,1992/3/23,16.73
562,1992/3/24,16.32
563,1992/3/25,16.19
564,1992/3/26,16.29
565,1992/3/27,16.02
566,1992/3/30,15.97
567,1992/3/31,16.18
568,1992/4/1,16.48
569,1992/4/2,17.06
570,1992/4/3,16.72
571,1992/4/6,16.72
572,1992/4/7,18.81
573,1992/4/8,20.15
574,1992/4/9,17.89
575,1992/4/10,16.85
576,1992/4/13,16.99
577,1992/4/14,15.98
578,1992/4/15,15.15
579,1992/4/16,14.85
580,1992/4/20,15.93
581,1992/4/21,16.53
582,1992/4/22,15.96
583,1992/4/23,15.83
584,1992/4/24,15.71
585,1992/4/27,16.49
586,1992/4/28,16.24
587,1992/4/29,15.95
588,1992/4/30,15.53
589,1992/5/1,16.61
590,1992/5/4,16.92
591,1992/5/5,16.66
592,1992/5/6,16.81
593,1992/5/7,16.54
594,1992/5/8,15.65
595,1992/5/11,15.17
596,1992/5/12,15.68
597,1992/5/13,15.19
598,1992/5/14,15.49
599,1992/5/15,14.82
600,1992/5/18,14.62
601,1992/5/19,13.57
602,1992/5/20,13.62
603,1992/5/21,13.92
604,1992/5/22,13.73
605,1992/5/26,14.92
606,1992/5/27,13.99
607,1992/5/28,13.77
608,1992/5/29,13.86
609,1992/6/1,14.43
610,1992/6/2,14.57
