,Date,PX_last
0,1985/1/31,364.11
1,1985/2/28,366.135
2,1985/3/29,370.792
3,1985/4/30,380.191
4,1985/5/31,395.459
5,1985/6/28,391.361
6,1985/7/31,394.829
7,1985/8/30,418.337
8,1985/9/30,414.565
9,1985/10/31,448.961
10,1985/11/29,469.167
11,1985/12/31,490.126
12,1986/1/31,494.644
13,1986/2/28,521.761
14,1986/3/31,581.625
15,1986/4/30,598.7669999999999
16,1986/5/30,578.847
17,1986/6/30,574.378
18,1986/7/31,558.696
19,1986/8/29,611.655
20,1986/9/30,577.086
21,1986/10/31,595.562
22,1986/11/28,605.278
23,1986/12/31,609.999
24,1987/1/30,612.447
25,1987/2/27,626.153
26,1987/3/31,641.946
27,1987/4/30,655.3580000000001
28,1987/5/29,663.915
29,1987/6/30,686.5010000000001
30,1987/7/31,719.625
31,1987/8/31,708.181
32,1987/9/30,720.5830000000001
33,1987/10/30,552.03
34,1987/11/30,498.556
35,1987/12/31,511.746
36,1988/1/29,519.4830000000001
37,1988/2/29,551.383
38,1988/3/31,546.646
39,1988/4/29,560.754
40,1988/5/31,563.969
41,1988/6/30,594.857
42,1988/7/29,604.29
43,1988/8/31,585.053
44,1988/9/30,615.734
45,1988/10/31,636.87
46,1988/11/30,626.2330000000001
47,1988/12/30,642.305
48,1989/1/31,693.127
49,1989/2/28,677.4
50,1989/3/31,707.122
51,1989/4/28,725.6080000000001
52,1989/5/31,731.961
53,1989/6/30,754.404
54,1989/7/31,798.794
55,1989/8/31,828.804
56,1989/9/29,814.2410000000001
57,1989/10/31,760.215
58,1989/11/30,793.512
59,1989/12/29,843.5039999999999
60,1990/1/31,823.707
61,1990/2/28,804.1669999999999
62,1990/3/30,823.7710000000001
63,1990/4/30,794.581
64,1990/5/31,853.87
65,1990/6/29,862.0360000000001
66,1990/7/31,854.55
67,1990/8/31,759.372
68,1990/9/28,670.6110000000001
69,1990/10/31,705.182
70,1990/11/30,709.215
71,1990/12/31,701.2760000000001
72,1991/1/31,714.707
73,1991/2/28,796.327
74,1991/3/29,819.918
75,1991/4/30,827.5
76,1991/5/31,851.695
77,1991/6/28,821.082
78,1991/7/31,847.852
79,1991/8/30,863.221
80,1991/9/30,851.4739999999999
81,1991/10/31,840.6310000000001
82,1991/11/29,804.137
83,1991/12/31,813.941
84,1992/1/31,855.97
85,1992/2/28,874.135
86,1992/3/31,850.698
87,1992/4/30,893.285
88,1992/5/29,914.429
89,1992/6/30,857.1510000000001
90,1992/7/31,807.071
91,1992/8/31,772.6189999999999
92,1992/9/30,800.758
93,1992/10/30,827.6339999999999
94,1992/11/30,863.155
95,1992/12/31,890.4169999999999
96,1993/1/29,897.0189999999999
97,1993/2/26,941.091
98,1993/3/31,956.938
99,1993/4/30,946.352
100,1993/5/31,961.403
101,1993/6/30,992.7360000000001
102,1993/7/30,1031.2060000000001
103,1993/8/31,1098.276
104,1993/9/30,1074.39
105,1993/10/29,1141.317
106,1993/11/30,1129.575
107,1993/12/31,1220.998
108,1994/1/31,1272.745
109,1994/2/28,1218.086
110,1994/3/31,1167.8339999999998
111,1994/4/29,1201.297
112,1994/5/31,1147.845
113,1994/6/30,1105.649
114,1994/7/29,1164.703
115,1994/8/31,1196.587
116,1994/9/30,1122.9080000000001
117,1994/10/31,1138.4669999999999
118,1994/11/30,1143.08
119,1994/12/30,1141.777
120,1995/1/31,1114.795
121,1995/2/1,
122,1995/2/2,
123,1995/2/3,
124,1995/2/6,
125,1995/2/7,
126,1995/2/8,
127,1995/2/9,
128,1995/2/10,
129,1995/2/13,
130,1995/2/14,
131,1995/2/15,
132,1995/2/16,
133,1995/2/17,
134,1995/2/20,
135,1995/2/21,
136,1995/2/22,
137,1995/2/23,
138,1995/2/24,
139,1995/2/27,
140,1995/2/28,1124.521
141,1995/3/1,
142,1995/3/2,
143,1995/3/3,
144,1995/3/6,
145,1995/3/7,
146,1995/3/8,
147,1995/3/9,
148,1995/3/10,
149,1995/3/13,
150,1995/3/14,
151,1995/3/15,
152,1995/3/16,
153,1995/3/17,
154,1995/3/20,
155,1995/3/21,
156,1995/3/22,
157,1995/3/23,
158,1995/3/24,
159,1995/3/27,
160,1995/3/28,
161,1995/3/29,
162,1995/3/30,
163,1995/3/31,1118.82
164,1995/4/3,
165,1995/4/4,
166,1995/4/5,
167,1995/4/6,
168,1995/4/7,
169,1995/4/10,
170,1995/4/11,
171,1995/4/12,
172,1995/4/13,
173,1995/4/14,
174,1995/4/17,
175,1995/4/18,
176,1995/4/19,
177,1995/4/20,
178,1995/4/21,
179,1995/4/24,
180,1995/4/25,
181,1995/4/26,
182,1995/4/27,
183,1995/4/28,1166.178
184,1995/5/1,
185,1995/5/2,
186,1995/5/3,
187,1995/5/4,
188,1995/5/5,
189,1995/5/8,
190,1995/5/9,
191,1995/5/10,
192,1995/5/11,
193,1995/5/12,
194,1995/5/15,
195,1995/5/16,
196,1995/5/17,
197,1995/5/18,
198,1995/5/19,
199,1995/5/22,
200,1995/5/23,
201,1995/5/24,
202,1995/5/25,
203,1995/5/26,
204,1995/5/29,
205,1995/5/30,
206,1995/5/31,1206.413
207,1995/6/1,
208,1995/6/2,
209,1995/6/5,
210,1995/6/6,
211,1995/6/7,
212,1995/6/8,
213,1995/6/9,
214,1995/6/12,
215,1995/6/13,
216,1995/6/14,
217,1995/6/15,
218,1995/6/16,
219,1995/6/19,
220,1995/6/20,
221,1995/6/21,
222,1995/6/22,
223,1995/6/23,
224,1995/6/26,
225,1995/6/27,
226,1995/6/28,
227,1995/6/29,
228,1995/6/30,1203.2
229,1995/7/3,
230,1995/7/4,
231,1995/7/5,
232,1995/7/6,
233,1995/7/7,
234,1995/7/10,
235,1995/7/11,
236,1995/7/12,
237,1995/7/13,
238,1995/7/14,
239,1995/7/17,
240,1995/7/18,
241,1995/7/19,
242,1995/7/20,
243,1995/7/21,
244,1995/7/24,
245,1995/7/25,
246,1995/7/26,
247,1995/7/27,
248,1995/7/28,
249,1995/7/31,1254.622
250,1995/8/1,
251,1995/8/2,
252,1995/8/3,
253,1995/8/4,
254,1995/8/7,
255,1995/8/8,
256,1995/8/9,
257,1995/8/10,
258,1995/8/11,
259,1995/8/14,
260,1995/8/15,
261,1995/8/16,
262,1995/8/17,
263,1995/8/18,
264,1995/8/21,
265,1995/8/22,
266,1995/8/23,
267,1995/8/24,
268,1995/8/25,
269,1995/8/28,
270,1995/8/29,
271,1995/8/30,
272,1995/8/31,1263.005
273,1995/9/1,
274,1995/9/4,
275,1995/9/5,
276,1995/9/6,
277,1995/9/7,
278,1995/9/8,
279,1995/9/11,
280,1995/9/12,
281,1995/9/13,
282,1995/9/14,
283,1995/9/15,
284,1995/9/18,
285,1995/9/19,
286,1995/9/20,
287,1995/9/21,
288,1995/9/22,
289,1995/9/25,
290,1995/9/26,
291,1995/9/27,
292,1995/9/28,
293,1995/9/29,1264.319
294,1995/10/2,
295,1995/10/3,
296,1995/10/4,
297,1995/10/5,
298,1995/10/6,
299,1995/10/9,
300,1995/10/10,
301,1995/10/11,
302,1995/10/12,
303,1995/10/13,
304,1995/10/16,
305,1995/10/17,
306,1995/10/18,
307,1995/10/19,
308,1995/10/20,
309,1995/10/23,
310,1995/10/24,
311,1995/10/25,
312,1995/10/26,
313,1995/10/27,
314,1995/10/30,
315,1995/10/31,1251.047
316,1995/11/1,
317,1995/11/2,
318,1995/11/3,
319,1995/11/6,
320,1995/11/7,
321,1995/11/8,
322,1995/11/9,
323,1995/11/10,
324,1995/11/13,
325,1995/11/14,
326,1995/11/15,
327,1995/11/16,
328,1995/11/17,
329,1995/11/20,
330,1995/11/21,
331,1995/11/22,
332,1995/11/23,
333,1995/11/24,
334,1995/11/27,
335,1995/11/28,
336,1995/11/29,
337,1995/11/30,1289.947
338,1995/12/1,
339,1995/12/4,
340,1995/12/5,
341,1995/12/6,
342,1995/12/7,
343,1995/12/8,
344,1995/12/11,
345,1995/12/12,
346,1995/12/13,
347,1995/12/14,
348,1995/12/15,
349,1995/12/18,
350,1995/12/19,
351,1995/12/20,
352,1995/12/21,
353,1995/12/22,
354,1995/12/26,
355,1995/12/27,
356,1995/12/28,
357,1995/12/29,1314.0220000000002
358,1996/1/2,
359,1996/1/3,
360,1996/1/4,
361,1996/1/5,
362,1996/1/8,
363,1996/1/9,
364,1996/1/10,
365,1996/1/11,
366,1996/1/12,
367,1996/1/15,
368,1996/1/16,
369,1996/1/17,
370,1996/1/18,
371,1996/1/19,
372,1996/1/22,
373,1996/1/23,
374,1996/1/24,
375,1996/1/25,
376,1996/1/26,
377,1996/1/29,
378,1996/1/30,
379,1996/1/31,1369.963
380,1996/2/1,
381,1996/2/2,
382,1996/2/5,
383,1996/2/6,
384,1996/2/7,
385,1996/2/8,
386,1996/2/9,
387,1996/2/12,
388,1996/2/13,
389,1996/2/14,
390,1996/2/15,
391,1996/2/16,
392,1996/2/19,
393,1996/2/20,
394,1996/2/21,
395,1996/2/22,
396,1996/2/23,
397,1996/2/26,
398,1996/2/27,
399,1996/2/28,
400,1996/2/29,1376.12
401,1996/3/1,
402,1996/3/4,
403,1996/3/5,
404,1996/3/6,
405,1996/3/7,
406,1996/3/8,
407,1996/3/11,
408,1996/3/12,
409,1996/3/13,
410,1996/3/14,
411,1996/3/15,
412,1996/3/18,
413,1996/3/19,
414,1996/3/20,
415,1996/3/21,
416,1996/3/22,
417,1996/3/25,
418,1996/3/26,
419,1996/3/27,
420,1996/3/28,
421,1996/3/29,1394.582
422,1996/4/1,
423,1996/4/2,
424,1996/4/3,
425,1996/4/4,
426,1996/4/5,
427,1996/4/8,
428,1996/4/9,
429,1996/4/10,
430,1996/4/11,
431,1996/4/12,
432,1996/4/15,
433,1996/4/16,
434,1996/4/17,
435,1996/4/18,
436,1996/4/19,
437,1996/4/22,
438,1996/4/23,
439,1996/4/24,
440,1996/4/25,
441,1996/4/26,
442,1996/4/29,
443,1996/4/30,1443.223
444,1996/5/1,
445,1996/5/2,
446,1996/5/3,
447,1996/5/6,
448,1996/5/7,
449,1996/5/8,
450,1996/5/9,
451,1996/5/10,
452,1996/5/13,
453,1996/5/14,
454,1996/5/15,
455,1996/5/16,
456,1996/5/17,
457,1996/5/20,
458,1996/5/21,
459,1996/5/22,
460,1996/5/23,
461,1996/5/24,
462,1996/5/27,
463,1996/5/28,
464,1996/5/29,
465,1996/5/30,
466,1996/5/31,1437.505
467,1996/6/3,
468,1996/6/4,
469,1996/6/5,
470,1996/6/6,
471,1996/6/7,
472,1996/6/10,
473,1996/6/11,
474,1996/6/12,
475,1996/6/13,
476,1996/6/14,
477,1996/6/17,
478,1996/6/18,
479,1996/6/19,
480,1996/6/20,
481,1996/6/21,
482,1996/6/24,
483,1996/6/25,
484,1996/6/26,
485,1996/6/27,
486,1996/6/28,1447.224
487,1996/7/1,
488,1996/7/2,
489,1996/7/3,
490,1996/7/4,
491,1996/7/5,
492,1996/7/8,
493,1996/7/9,
494,1996/7/10,
495,1996/7/11,
496,1996/7/12,
497,1996/7/15,
498,1996/7/16,
499,1996/7/17,
500,1996/7/18,
501,1996/7/19,
502,1996/7/22,
503,1996/7/23,
504,1996/7/24,
505,1996/7/25,
506,1996/7/26,
507,1996/7/29,
508,1996/7/30,
509,1996/7/31,1400.116
510,1996/8/1,
511,1996/8/2,
512,1996/8/5,
513,1996/8/6,
514,1996/8/7,
515,1996/8/8,
516,1996/8/9,
517,1996/8/12,
518,1996/8/13,
519,1996/8/14,
520,1996/8/15,
521,1996/8/16,
522,1996/8/19,
523,1996/8/20,
524,1996/8/21,
525,1996/8/22,
526,1996/8/23,
527,1996/8/26,
528,1996/8/27,
529,1996/8/28,
530,1996/8/29,
531,1996/8/30,1442.3139999999999
532,1996/9/2,
