,LBUSTRUU/VIX inst_corr,LBUSTRUU/VIX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,-1.4351559851329219,
115,-1.4351559851329219,
116,-1.4351559851329219,
117,-0.860949848959276,
118,-0.5550496629761885,
119,-0.39414804031155964,
120,-0.19843874930798205,
121,-0.6806318007703605,
122,-0.6806318007703605,
123,-0.6806318007703605,
124,-0.961059765183121,
125,-0.616871361294576,
126,-0.8404699623365545,
127,-0.8404699623365545,
128,-0.8404699623365545,
129,-0.8404699623365545,
130,-0.8572975351089972,
131,-0.7377250348607193,
132,-0.7473593375908639,
133,-0.3501485734144913,
134,-0.30161728382224723,
135,-0.5808790427510341,
136,-0.8351274369177517,-0.09130668605993089
137,-0.8351274369177517,-0.016548158126745937
138,-0.8351274369177517,-0.019509509239744913
139,-0.8351274369177517,-0.05434901013157791
140,-0.8351274369177517,-0.16655513403354924
141,-0.6418916649528202,-0.22429148957817946
142,-0.1258738678428736,-0.27152560082804655
143,0.024218301534113834,-0.21951909888224178
144,0.5977547653481758,0.05499897945642313
145,0.5416018423372383,0.04513139795458489
146,-0.19277315815179175,0.03682290573066732
147,-0.039906827691092724,0.10656132964981935
148,-0.3266183106777498,0.09952016613330755
149,-0.4393922803486097,0.13916677237818553
150,-0.37052019100046846,0.1510970099191556
151,-0.36465908953467147,0.13747594624573584
152,-0.5579061695754127,0.20940519048333722
153,-0.9541247917722779,-0.17034120848782425
154,-0.6378202064381401,-0.2080087632593332
155,-0.6695555648509618,-0.2410419465463983
156,-0.3616745886254691,-0.2550036552863396
157,-0.33024086670638525,-0.45205487472539896
158,-0.24918042758032063,-0.4635338422707213
159,0.09599870300272186,-0.24506180192742627
160,-0.14087366413837446,-0.26386231581918806
161,-0.17479254570348854,-0.30244199666446125
162,-0.09127366252747104,-0.11882629764895038
163,-0.673715272930148,-0.1680933593618586
164,-0.3239655322360943,-0.15830207155015044
165,0.01357398252303243,-0.16381265367763695
166,0.29809915927470165,-0.19682666184262587
