,M1EF/FTMIGMI inst_corr,M1EF/FTMIGMI hist_corr,GBIEMDCW/GBIEMDCW inst_corr,GBIEMDCW/GBIEMDCW hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,1.9511077496704594,,,
107,1.9511077496704594,,,
108,1.9511077496704594,,,
109,1.9511077496704594,,,
110,1.9511077496704594,,,
111,1.9511077496704594,,,
112,1.9511077496704594,,,
113,1.9511077496704594,,,
114,1.9511077496704594,,,
115,1.9511077496704594,,,
116,1.9511077496704594,,,
117,1.9511077496704594,,,
118,1.9511077496704594,,4.1293900773397985,
119,1.9511077496704594,,4.1293900773397985,
120,1.9511077496704594,,4.1293900773397985,
121,1.9511077496704594,,4.1293900773397985,
122,1.9511077496704594,,4.1293900773397985,
123,1.9511077496704594,,4.1293900773397985,
124,1.9511077496704594,,4.1293900773397985,
125,1.9511077496704594,,4.1293900773397985,
126,1.9511077496704594,,4.1293900773397985,
127,1.9511077496704594,1.0,4.1293900773397985,
128,0.9366684678223258,1.0,4.1293900773397985,
129,0.9366684678223258,1.0,4.1293900773397985,
130,0.9366684678223258,1.0,4.1293900773397985,
131,0.9366684678223258,1.0,4.1293900773397985,
132,0.9366684678223258,1.0,4.1293900773397985,
133,0.9366684678223258,1.0,4.1293900773397985,
134,0.9366684678223258,1.0,4.1293900773397985,
135,0.9366684678223258,1.0,4.1293900773397985,
136,0.9366684678223258,1.0,4.1293900773397985,
137,0.9366684678223258,1.0,4.1293900773397985,
138,0.9366684678223258,0.9999999999999998,4.1293900773397985,
139,0.9366684678223258,0.9999999999999998,4.1293900773397985,1.0
