,FNERTR/LBEATREU inst_corr,FNERTR/LBEATREU hist_corr,LGER/NKYNTR inst_corr,LGER/NKYNTR hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,-0.04625195243661294,,,
113,-0.1371246799275502,,,
114,-0.46683240348559935,,,
115,-0.532960389144461,,,
116,-0.8396952022128592,,,
117,-0.38698234054895353,,,
118,0.48404635213523173,,,
119,0.43560672299721664,,,
120,-0.09004634489750608,,-0.04010620739976239,
121,-0.4078336256904402,,-0.09224936967437007,
122,-0.7602662731573635,,0.43936557521881336,
123,-0.4975494261074368,,0.43936557521881336,
124,-0.3550383123039685,,0.8437778590863118,
125,0.09429161250590673,,0.8447414081179578,
126,0.32722342086110734,,0.8221283448849983,
127,-0.14366461597012442,,0.8221283448849983,
128,-0.5558668884336447,,0.8221283448849983,
129,-0.6268967158104178,,0.8221283448849983,
130,-0.2473747620759079,,0.854902318117645,
131,-0.46117454961695287,,0.8783876808462812,
132,-0.44542448611579927,,0.9344895944750233,
133,0.13594895613585903,-0.3104597899134169,0.9344895944750233,
134,0.22738541477383914,-0.21481134504411806,0.8404218126779083,
135,0.37707405304087294,-0.20729493439674526,0.8404218126779083,
136,0.06555350617113663,-0.1542301816026821,0.8404218126779083,
137,-0.050562423352021095,-0.05193329495455797,0.8404218126779083,
138,0.4043094381989813,-0.005800827671461596,0.8404218126779083,
139,0.4219482966769764,0.0181164108582395,0.8404218126779083,
140,0.5049672622991067,-0.020924414918542463,0.8404218126779083,
