,SHCOMP/SENSEX inst_corr,SHCOMP/SENSEX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,1.6581286183544603,
135,1.6581286183544603,
136,1.6581286183544603,
137,0.8546781833191749,
138,0.48926595263784034,
139,0.3163864721937507,
140,0.6014485934436512,
141,0.6014485934436512,
142,0.6014485934436512,
143,0.5199781163068943,
144,0.16788676883889259,
145,0.3343297867976226,
146,0.7301080272963831,
147,0.7301080272963831,
148,0.7301080272963831,
149,0.7301080272963831,
150,0.7301080272963831,
151,0.7301080272963831,
152,0.7301080272963831,
153,0.7985571177457829,
154,0.25686617123865296,
155,-0.24425671659766382,
156,0.5402869288558723,0.038550469740379456
157,0.5402869288558723,0.05330019408930295
158,0.5402869288558723,0.054470735929366104
159,0.5402869288558723,0.05849006053460278
160,0.5402869288558723,0.00767125689259861
161,0.5402869288558723,0.1219993179574167
162,0.5402869288558723,0.0860891121762599
163,0.7112921854488812,0.02354329639398836
164,0.19925890490586212,-0.32026049355012515
165,0.2680837166054875,-0.3078429755942617
166,0.6263502175643775,-0.2554684295164371
167,0.6263502175643775,-0.13375325430453047
168,0.814328015716753,-0.11191435296170095
169,0.6140700369742805,-0.16372639520028193
170,0.6140700369742805,-0.0645549064421835
171,0.6140700369742805,-0.0635207071383324
172,0.6140700369742805,0.044760284504815305
173,0.9343495312755956,-0.02982183380603917
174,0.9343495312755956,0.0693442910158365
175,0.6147633858071505,0.13579283318204863
176,0.18125827081055737,0.1951724376860866
177,-0.09462411610216,0.17741144937668626
178,0.14676018741660074,0.11362108180719786
179,0.7390588060237906,0.4077600819849535
180,0.5178949169402614,0.407203741367631
181,0.17496744638624603,0.3016127715920045
182,0.17496744638624603,0.40260496852998123
183,0.17496744638624603,0.4282590224508192
184,-0.17658494077879536,0.38242738999696907
