,VIX/0050.TW inst_corr,VIX/0050.TW hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,-1.3992204801665737,
138,-0.42038297160256993,
139,-0.4871816407347738,
140,-0.9626540539553751,
141,-0.9626540539553751,
142,-0.5522443276671851,
143,-0.4973823091771495,
144,-0.4973823091771495,
145,-0.4973823091771495,
146,-0.4973823091771495,
147,-0.4973823091771495,
148,-0.5216224108940645,
149,0.24850244350940476,
150,0.1213203050993868,
151,0.01941868577738532,
152,-0.7829851481077394,
153,-0.6586047623757196,
154,-0.6586047623757196,
155,-0.6586047623757196,
156,-0.6586047623757196,
157,-0.6586047623757196,
158,-0.6586047623757196,
159,-0.8838721351706204,-0.20213474940875012
160,-0.5680304925880683,-0.19885024361585407
161,-0.5680304925880683,-0.33828080457409276
162,-0.5680304925880683,-0.3047713520685724
163,-0.5680304925880683,-0.3031431890208958
164,-0.5680304925880683,-0.3137453403427348
165,-0.5680304925880683,-0.3438800201148941
166,-0.5680304925880683,-0.10891972619468542
167,-0.6024949691019875,-0.11876943099544852
168,-0.3162110982376877,0.004242122751137927
169,-0.7787019433297538,-0.1042241866992176
170,-0.9360671003621795,-0.040686995983539184
171,-0.2860265515552022,-0.15271915099625002
172,-0.31063283861051694,-0.11592765089988684
173,-0.31063283861051694,-0.26585208709914676
174,-0.31063283861051694,-0.27194533145299066
175,-0.31063283861051694,-0.31404294386032766
176,-0.31063283861051694,-0.34981457691400614
177,-0.31063283861051694,-0.3365640967904217
178,-0.31063283861051694,-0.3173172484831455
179,-0.31063283861051694,-0.3213278335341587
180,-0.31063283861051694,-0.39484018991468883
181,-0.3986482774910674,-0.37767284052914174
182,0.09079429901686702,-0.2786428877837995
183,-0.8224441676923011,-0.20316598737316444
184,-0.8224441676923011,-0.1988324352908744
