,GBIEMDCW/M1EF inst_corr,GBIEMDCW/M1EF hist_corr,LGER/CAC inst_corr,LGER/CAC hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,0.700224685756167,
113,,,0.8923821254079466,
114,,,0.8923821254079466,
115,,,0.8923821254079466,
116,,,0.8923821254079466,
117,,,0.8923821254079466,
118,1.675352577383023,,0.8923821254079466,
119,1.675352577383023,,0.8923821254079466,
120,0.25932947147608626,,0.8923821254079466,
121,0.13195326129138588,,0.8923821254079466,
122,0.5689274511465907,,0.8923821254079466,
123,0.5689274511465907,,0.8923821254079466,
124,0.5689274511465907,,0.8923821254079466,
125,0.5689274511465907,,0.8923821254079466,
126,0.5689274511465907,,0.8923821254079466,
127,0.5689274511465907,,0.8923821254079466,
128,0.9401620312658063,,0.8923821254079466,
129,0.9395971473183367,,0.8923821254079466,
130,0.9395971473183367,,0.8923821254079466,
131,0.9395971473183367,,0.8923821254079466,
132,0.9395971473183367,,0.8923821254079466,
133,0.9395971473183367,,0.8360681814647055,0.9453238534744195
134,0.9395971473183367,,0.9429508229988015,0.9444045755817425
135,0.9395971473183367,,0.9429508229988015,0.9354179770068325
136,0.9395971473183367,,0.9429508229988015,0.9265360480722369
137,0.9395971473183367,,0.9429508229988015,0.9237698170130418
138,0.381923097308783,,0.9429508229988015,0.9237203868756979
139,0.706259243621356,-0.17273900064246367,0.9429508229988015,0.933960737893063
140,0.706259243621356,-0.10992193504136816,0.9429508229988015,0.9339086114211322
141,0.706259243621356,-0.08006299959861311,0.9429508229988015,0.9308352134717369
