,FTMIGMI/TWSE inst_corr,FTMIGMI/TWSE hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,1.8117008686392397,
121,1.8117008686392397,
122,0.8897741072310731,
123,0.7785205948430238,
124,0.7785205948430238,
125,0.7785205948430238,
126,0.7785205948430238,
127,0.7785205948430238,
128,0.7785205948430238,
129,0.7785205948430238,
130,0.7785205948430238,
131,0.7785205948430238,
132,0.7785205948430238,
133,0.7785205948430238,
134,0.7785205948430238,
135,0.7785205948430238,
136,0.7785205948430238,
137,0.7785205948430238,
138,0.7785205948430238,
139,0.7785205948430238,
140,0.7785205948430238,
141,0.9023656236375354,
142,0.9023656236375354,0.7725465586424208
143,0.9023656236375354,0.8129301904392258
144,0.9023656236375354,0.8145208990624647
145,0.9023656236375354,0.8032132835667815
146,0.9023656236375354,0.6757202121613222
147,0.9023656236375354,0.661796867385795
148,0.9023656236375354,0.7174314970733768
149,0.9023656236375354,0.7114661052099226
150,0.9023656236375354,0.7217194097282464
151,0.9023656236375354,0.6919079777372362
152,0.9023656236375354,0.7183672506573697
153,0.9023656236375354,0.6956960771824907
154,0.9023656236375354,0.7282807327075862
155,0.9023656236375354,0.7203952950773337
156,0.9023656236375354,0.7272513140412763
157,0.9023656236375354,0.6702915223031074
158,0.9023656236375354,0.5781518960812236
159,0.9023656236375354,0.565244370666346
160,0.9563695683549617,0.45337368255359684
161,0.8356737326576656,0.34310028818349336
162,0.8356737326576656,0.5852484485745332
163,0.8356737326576656,0.5919782620228118
164,0.8536431635374894,0.524896410591735
165,0.36917179266642014,0.5308489499532935
166,0.35450226899084325,0.6562233285467641
167,0.35450226899084325,0.7858064283256851
168,0.35450226899084325,0.7489690379048545
169,0.5007241142828338,0.7410995376844594
170,0.8573394393741715,0.7520127753677028
171,0.6206096997884161,0.7528064722967834
172,0.6206096997884161,0.779740121182943
173,0.6206096997884161,0.782047312600873
174,0.6206096997884161,0.7893651288715553
