,HSI/UKX inst_corr,HSI/UKX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,0.8953658671235855,
120,0.8953658671235855,
121,0.9201937730640617,
122,0.8107198016974383,
123,0.8107198016974383,
124,0.8973923134726065,
125,0.12569486891296236,
126,-0.20441152953614244,
127,0.4142474684966861,
128,0.4142474684966861,
129,0.4142474684966861,
130,0.4142474684966861,
131,0.4142474684966861,
132,0.4142474684966861,
133,0.4142474684966861,
134,0.4142474684966861,
135,0.4142474684966861,
136,0.6461049002292016,
137,0.9702347009501116,
138,0.9702347009501116,
139,0.9702347009501116,
140,0.9702347009501116,-0.29442122962173345
141,0.9805950202819091,-0.2431571498774255
142,0.7448797427565996,-0.14391111469397314
143,0.5876203659874399,-0.03280003811296129
144,0.5876203659874399,0.07271029117979004
145,0.5876203659874399,0.08527428964143123
146,0.8293052604432465,0.2683120638110637
147,0.38669330317118134,0.2664109101169284
148,0.5425111752522163,0.43535538652877964
149,0.5425111752522163,0.4640991482970309
150,0.5118528770295192,0.5508928098319812
151,0.6360386544082338,0.7995129032572217
152,0.4412311905070696,0.5989547015612149
153,-0.07238903103039034,0.5488880462064031
154,0.6711054707534384,0.5620203175639162
155,0.9817085730265197,0.5289053576404318
156,0.5986629915690338,0.5182740439484224
157,0.828738912591953,0.5499942498174993
158,0.6004132344718782,0.5700218469406649
159,0.7640063545702883,0.5583869726898546
160,0.9966068274529402,0.575852158493625
161,0.9966068274529402,0.5693894825484924
162,0.726555815808352,0.5689599833766746
163,0.726555815808352,0.5707415655699183
164,0.726555815808352,0.5862117297767969
165,0.7131949768746678,0.5915504581113923
166,0.3586881245235933,0.5517126752705964
167,0.3566318344550248,0.570558753449586
168,0.23386171736822314,0.4875605124707419
169,0.6977094525153624,0.525586737526446
170,0.7679557239153955,0.5141796644530007
171,0.9180458010873445,0.5355493284689575
172,0.6986899031593994,0.5363786458072796
173,0.5264118870730655,0.2689495937283028
