,CAC/LEGATRUU inst_corr,CAC/LEGATRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,-0.2948786482334478,
113,-0.5996260342538036,
114,-0.9814974766647325,
115,-0.9814974766647325,
116,-0.58820393954514,
117,-0.8730322392795207,
118,-0.7999514694737976,
119,-0.9436717218710228,
120,-0.8347978444807903,
121,-0.6464712904036153,
122,-0.2161324232341158,
123,0.46253991296276425,
124,0.44990774459968214,
125,0.2474014347168067,
126,-0.4518067565959558,
127,-0.16204957778645798,
128,0.002605255599680558,
129,-0.28548087771174824,
130,-0.6480463871038449,
131,-0.6567050990483955,
132,-0.25533328024621166,
133,0.012235395146396369,-0.12516873987298924
134,-0.28601346865639105,-0.17694767998058297
135,-0.5660831829133146,-0.1367364012248957
136,-0.975767064537811,-0.18224968281552614
137,-0.975767064537811,-0.20668115858741884
138,-0.32412584323627736,-0.21781595411625795
139,0.07389891149498272,-0.16008122403806152
140,-0.08947090160270212,-0.16683387372239408
141,-0.06257774137143805,-0.10856316406931159
142,-0.2768313607958253,-0.05114744350042441
143,-0.4258921423760401,-0.0068454689999143115
144,-0.6662975261079419,-0.027351373383180885
145,-0.7701872991564888,-0.06908000138307008
146,-0.6408798653333502,-0.2655630817897237
147,-0.4773766154530665,-0.3801576583180793
148,-0.5781292753166729,-0.3825834493350017
149,-0.3242343987145017,-0.4757884070169375
150,-0.11866654024358597,-0.39992623763683494
151,-0.2901125162807111,-0.3843323262487777
152,0.40901687750523097,-0.3517697892702677
153,0.6672771281732737,-0.3205928495658087
154,0.3917937385028946,0.017686934033321014
155,0.05540462380367178,-0.020273567499511157
156,-0.5027118436230371,0.04435728791813818
157,-0.3794347124461293,-0.07451939202170701
158,0.1052796302023902,0.056243088949052514
159,0.7190484249014214,0.05433599984254549
160,0.28970573290228685,0.06173846119359113
161,-0.23488842477893598,0.0015820907555854705
162,0.02676935135607065,0.010574283818203273
163,0.32313375665232436,0.08875932590103215
164,0.5016574885155275,0.10866748141330636
