,KOSPI/VIX inst_corr,KOSPI/VIX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,-1.3649421955202208,
179,-0.11858255301674525,
180,-0.12985823001269345,
181,-0.12985823001269345,
182,-0.12985823001269345,
183,-0.6378774288546528,
184,-0.3745189197433077,
185,-0.3745189197433077,
186,-0.3745189197433077,
187,-0.3745189197433077,
188,-0.9980015955000456,
189,-0.19646930579907787,
190,-0.6577024081838283,
191,-0.6577024081838283,
192,-0.8672420088871058,
193,-0.8672420088871058,
194,-0.16772784105230976,
195,-0.6189186527104874,
196,-0.6189186527104874,
197,-0.6189186527104874,
198,-0.6189186527104874,
199,-0.527237828146943,0.28013149089691664
200,0.20511910303713282,0.34297143392325435
201,-0.9650402383274317,0.32283475793903366
202,-0.9650402383274317,0.3065073915427053
203,-0.9650402383274317,0.2126552638746502
204,-0.9650402383274317,0.21615037990177804
205,-0.9650402383274317,0.21554929756543179
206,-0.9650402383274317,0.18614290154604532
207,-0.9650402383274317,0.09509117716187765
208,-0.3186573040016137,0.07835643933205415
209,-0.3186573040016137,0.05399964784657301
210,-0.5888082660178375,0.09068075993224821
211,-0.809778904929202,-0.6563435627793699
212,-0.24808383522188088,-0.4340677645739871
213,-0.6961563393186578,-0.4410786938382504
214,-0.6961563393186578,-0.4653323357737217
215,-0.6961563393186578,-0.5003540226909139
216,-0.37111178060531913,-0.519526371023033
217,-0.6548853511466768,-0.5339431068132497
218,-0.5430358444343258,-0.5295042025928376
