,KOSPI/MXBR inst_corr,KOSPI/MXBR hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,0.6521961993580402,
123,0.3892091712591453,
124,0.8648324478986924,
125,0.2376202332717851,
126,-0.0633482671952768,
127,0.8038706915245849,
128,0.8038706915245849,
129,0.6717498825526523,
130,0.138418631191921,
131,0.20354281413542108,
132,0.9092928261998403,
133,0.5971173183214274,
134,0.45486575388828165,
135,0.09427865011004442,
136,-0.19528164176827373,
137,-0.9984725174214635,
138,-0.9984725174214635,
139,0.38042758984784025,
140,0.3281356156268949,
141,0.28863720490199124,
142,0.6829266466718424,
143,0.25172852108622135,
144,-0.35832645440344174,-0.0045820177964443895
145,-0.12767786519968138,-0.011384623009480756
146,-0.12767786519968138,-0.05654476159831151
147,0.8207624044157913,-0.03697071247012781
148,0.1966445887351078,0.030239518121084982
149,-0.2514298179931789,-0.12417924698932412
150,0.07826106640913,-0.12635658735250516
151,0.19231646228865662,-0.12007528798831496
152,-0.27087733993654134,-0.16908223892528135
153,-0.4372354899175946,-0.16190928697952814
154,0.3393392298883037,-0.25052714814777544
155,0.1422972970062107,-0.24910076380024362
156,-0.1856652736168557,-0.25265107078476917
157,-0.38969806322274253,-0.4260593153290105
158,-0.19936118200686123,-0.33427880958892514
159,0.48598453233010025,-0.26347501675066565
160,0.6239052111033767,-0.2366777505954576
161,0.5695804979264462,-0.3090267573124252
162,0.7603752217714872,-0.1784447618163019
163,0.4841831244147064,-0.1894514161591617
164,0.5485466161940358,-0.24018884146844066
165,0.7117153566175912,0.07718560713246132
166,0.3811992480625617,0.2576844326474912
167,-0.010169987584047654,0.1687790524177069
168,0.0856014677783767,0.2227158204676604
169,0.06134364295822531,0.1792654810253798
170,0.06134364295822531,0.21513680175761662
171,0.06134364295822531,0.22190928445931013
172,0.4315648868795099,0.2178550312452024
173,0.7218937992126188,0.2960574704272441
174,0.9580603708011224,0.34436716045749105
