,XNBI/VIX inst_corr,XNBI/VIX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,-0.9797253735545183,
115,-0.9797253735545183,
116,-0.9791348134783591,
117,-0.9791348134783591,
118,-0.9230381371652229,
119,-0.838969470473542,
120,-0.838969470473542,
121,-0.838969470473542,
122,-0.8897897179095026,
123,-0.9871030233121714,
124,-0.735959913790136,
125,-0.5169301084243334,
126,-0.7636681437891474,
127,-0.7636681437891474,
128,-0.913561837532216,
129,-0.913561837532216,
130,-0.913561837532216,
131,-0.913561837532216,
132,-0.913561837532216,
133,-0.9146000970001892,
134,-0.6655045378838319,
135,-0.39317917481537357,
136,-0.488122195450702,-0.042780219296586236
137,-0.9729969016461729,0.020381299491707784
138,-0.9729969016461729,-0.012949352241851522
139,-0.9729969016461729,-0.02959827644309786
140,-0.9221665931390268,0.001313965648655182
141,-0.9221665931390268,0.0008988036299842312
142,-0.9221665931390268,0.059356986900950544
143,-0.9221665931390268,0.06924526788576711
144,-0.9221665931390268,-0.0166918310809748
145,-0.9221665931390268,-0.012749539191727664
146,-0.8550395389285962,0.01251557712285505
147,-0.8550395389285962,-0.07550282671171885
148,-0.8550395389285962,-0.0941762877960934
149,-0.8550395389285962,-0.05734709782417626
150,-0.8550395389285962,-0.16201624054301064
151,-0.5797145243782281,-0.14126837495467318
152,-0.627513741467289,-0.16720911094334634
153,-0.5695348651537547,-0.21601099452391326
154,-0.33947392174322577,-0.2595701663824631
155,-0.33000712856999315,-0.21831235048908787
156,-0.23654818311972264,-0.19188959430049368
157,-0.2592731294471805,-0.46793630287429416
158,-0.2607388804900846,-0.5846681890134061
159,-0.1527577443124456,-0.21130292997148942
160,-0.30605818784767774,-0.24996254761638936
161,-0.7187122071311948,-0.28690409448547965
162,-0.8136017373359181,-0.2409703658508927
163,-0.7541022588682714,-0.2879807941466958
164,-0.5918789780993506,-0.28128896557962935
165,-0.901762018364136,-0.34388950579002703
166,-0.8833958771246618,-0.3523024702795151
