,SPX/SHCOMP inst_corr,SPX/SHCOMP hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,1.851656281821557,
131,1.851656281821557,
132,0.7973327223601004,
133,0.8729291700971948,
134,0.6404975966196949,
135,0.7809181582417453,
136,0.6188337650318885,
137,0.3734255829275144,
138,0.3485006644168435,
139,0.25104097664914055,
140,-0.11515216571343391,
141,-0.14781000788912307,
142,-0.1281815872877444,
143,0.8054331536454197,
144,0.8054331536454197,
145,0.8054331536454197,
146,0.9153596857884413,
147,0.7931345226602505,
148,0.7569312595269442,
149,0.773276621329415,
150,0.7553674789130964,
151,0.6759231660147635,0.1183049743620623
152,0.8370590942190145,0.1347042488672664
153,0.7682684898737179,0.12226814421584097
154,0.7682684898737179,0.09369723753087773
155,0.7682684898737179,0.07729590345113425
156,0.7682684898737179,0.09269043681618361
157,0.8835574508925235,0.057795198686229926
158,0.9814675630387328,0.03436334071073246
159,0.704821491403696,0.019023859046628497
160,0.3984849894213558,0.05002506318861318
161,0.25244821282750984,-0.08284166447209264
162,0.6164163630848212,0.09262076928357652
163,0.5815555270937736,0.12185023176903484
164,0.7914005966499326,0.18913897020047735
165,0.7914005966499326,0.14136286005398804
166,0.7914005966499326,0.1664884669560016
167,0.7914005966499326,0.11029603367603036
168,0.7914005966499326,0.31186147347462007
169,0.6402126169163893,0.4950588446329449
170,0.510640353098054,0.5055276904177163
171,0.061814978496419,0.5367589243495011
172,-0.22524807940043517,0.28352953049570356
173,-0.5873172542809352,-0.015847536170845725
174,-0.5808760123343187,-0.2756434842859058
175,0.018323217873446023,-0.23558999178233678
176,0.07351911977620922,-0.05445421781051765
177,-0.0257742309781366,-0.20372492653816415
178,0.3385627350617261,-0.15567098471050858
179,0.5195288815180793,-0.1496554355423046
180,0.27074700434179816,-0.12917766702990197
181,0.11640951926330635,-0.10222051355789508
