,LG30TRUU/VIX inst_corr,LG30TRUU/VIX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,-1.8633653687704408,
115,-1.8633653687704408,
116,-1.8633653687704408,
117,-1.8633653687704408,
118,-1.8633653687704408,
119,-0.948795493468589,
120,-0.948795493468589,
121,-0.948795493468589,
122,-0.948795493468589,
123,-0.948795493468589,
124,-0.948795493468589,
125,-0.948795493468589,
126,-0.948795493468589,
127,-0.948795493468589,
128,-0.948795493468589,
129,-0.948795493468589,
130,-0.948795493468589,
131,-0.948795493468589,
132,-0.948795493468589,
133,-0.948795493468589,
134,-0.948795493468589,
135,-0.948795493468589,
136,-0.948795493468589,-0.5562067798461318
137,-0.948795493468589,-0.5432612006411791
138,-0.948795493468589,-0.48717961896203443
139,-0.948795493468589,-0.5390479363529412
140,-0.948795493468589,-0.4620761252877566
141,-0.948795493468589,-0.4768269034825202
142,-0.948795493468589,-0.4317872878653076
143,-0.948795493468589,-0.40024004339679997
144,-0.948795493468589,-0.3988486166847066
145,-0.948795493468589,-0.38672794068859945
146,-0.948795493468589,-0.39304886294448543
147,-0.948795493468589,-0.34054108179014964
148,-0.948795493468589,-0.354284750290216
149,-0.948795493468589,-0.3309411723996593
150,-0.899727519841566,-0.3988926907758347
151,-0.4383139557608233,-0.4037632691686643
152,-0.6668144607960863,-0.43267598353598763
153,-0.6430014129677818,-0.47219888721609554
154,-0.18681278260363302,-0.45823491908377073
155,-0.13896527508703665,-0.27084677273911933
156,-0.1754099719061343,-0.2330529626106121
157,-0.3102637679782592,-0.33140269658849214
158,-0.3102637679782592,-0.7290473916178641
159,-0.3102637679782592,-0.6864423758236317
160,-0.3705412010386489,-0.6963885197478672
161,-0.3705412010386489,-0.6815786581671648
162,-0.3705412010386489,-0.7055520999584705
163,-0.3705412010386489,-0.7220014269573657
164,-0.6131113839163654,-0.7199994065402237
165,-0.8716198150890091,-0.7428254040648273
166,-0.8716198150890091,-0.7461250170598964
