,VIX/UKX inst_corr,VIX/UKX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,-1.2961577030933915,
119,-1.2961577030933915,
120,-1.2961577030933915,
121,-1.2961577030933915,
122,-0.5262003183051164,
123,-0.2721028709142002,
124,-0.6996130967346843,
125,-0.8782492107637538,
126,-0.8781034562006023,
127,-0.6138267382641429,
128,-0.8143003604398071,
129,-0.8143003604398071,
130,-0.8143003604398071,
131,-0.848164510845537,
132,-0.6969199911832673,
133,-0.6969199911832673,
134,-0.6969199911832673,
135,-0.5548046819905423,
136,-0.13697811152994913,
137,0.3681506269058225,
138,0.6497554978940762,
139,0.6497554978940762,
140,0.6497554978940762,0.16740243715676797
141,0.6497554978940762,0.20069637063981033
142,0.6497554978940762,0.13458874949932378
143,-0.855951933116099,0.14099300858285038
144,-0.855951933116099,0.1431318206903154
145,-0.855951933116099,0.06269267275539472
146,-0.855951933116099,0.15747466982056557
147,-0.855951933116099,0.05505351263566971
148,-0.855951933116099,-0.0015355688671469048
149,-0.9037934297805831,-0.009854464184143647
150,-0.9037934297805831,-0.013235475863549308
151,-0.9037934297805831,0.10093989502842288
152,-0.8384068469279304,0.0995322996209562
153,-0.8922048086493022,0.025151623476398474
154,-0.468374173602916,0.0023374929447969074
155,-0.43813684328015223,-0.022961080257893143
156,-0.29161938070011717,-0.0017286460267488591
157,-0.12379830171582838,-0.0927906610794108
158,-0.12872886508796869,0.0010573079877660703
159,-0.1502526440991913,-0.0728202428211978
160,-0.22309155622422078,-0.2572764450928687
161,-0.25657105395565477,-0.5280708184249658
162,-0.12752632120407825,-0.14151206201373737
163,-0.32155269261998837,-0.19149231008226378
164,-0.6656802160559977,-0.22536525544671923
165,-0.7019558868975544,-0.18402487279531926
166,-0.863657349661213,-0.22680723411880754
167,-0.6580073705370182,-0.226668994207543
168,-0.8805343121303428,-0.2783999411934586
169,-0.8123769880854852,-0.2831571713612175
170,-0.42231289426989627,-0.27655803217989333
