,HSI/TWSE inst_corr,HSI/TWSE hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,3.7754754178078245,
129,3.7754754178078245,
130,0.7795387753626132,
131,0.6912335632663059,
132,0.6912335632663059,
133,0.6912335632663059,
134,0.6912335632663059,
135,0.6912335632663059,
136,0.6912335632663059,
137,0.6912335632663059,
138,0.6912335632663059,
139,0.6912335632663059,
140,0.6912335632663059,
141,0.6912335632663059,
142,0.6912335632663059,
143,0.6912335632663059,
144,0.6912335632663059,
145,0.6912335632663059,
146,0.6912335632663059,
147,0.9174395462159488,
148,0.9174395462159488,
149,0.9174395462159488,
150,0.9174395462159488,0.6891961937879236
151,0.9174395462159488,0.7110349825634913
152,0.9174395462159488,0.7164213023503017
153,0.9174395462159488,0.6822805621730371
154,0.9174395462159488,0.4212732950976177
155,0.9174395462159488,0.4308032449211946
156,0.9174395462159488,0.442218585745206
157,0.9174395462159488,0.346950720255593
158,0.9174395462159488,0.27520311307716
159,0.9174395462159488,0.28703988226689325
160,0.9174395462159488,0.3365557110265352
161,0.9174395462159488,0.1888705004033456
162,0.9174395462159488,0.18533620727488856
163,0.9174395462159488,0.17555787626184052
164,0.9174395462159488,0.24667607134829705
165,0.9862047398439718,0.2488874670969931
166,0.719491020106027,0.16629645732156753
167,0.9221092740067628,0.06405879008982845
168,0.9221092740067628,0.27412367547198524
169,0.9221092740067628,0.2917417293079547
170,0.9221092740067628,0.19060586010467545
171,0.35244179693002836,0.22686329834252905
172,0.35436303390590373,0.37201277003980376
173,0.35436303390590373,0.8111635942532054
174,0.35436303390590373,0.7424864383683735
175,0.355924192856574,0.7397330620848535
176,0.8158815344904462,0.7554112445599225
177,0.6331111021394867,0.7535036778055383
178,0.6331111021394867,0.7868586522221644
179,0.6331111021394867,0.7928521834705271
180,0.6331111021394867,0.7991920955527366
181,0.6331111021394867,0.7999840196977083
