,SPX/SPXT inst_corr,SPX/SPXT hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,2.0166939469084904,
115,2.0166939469084904,
116,2.0166939469084904,
117,2.0166939469084904,
118,2.0166939469084904,
119,2.0166939469084904,
120,2.0166939469084904,
121,2.0166939469084904,
122,2.0166939469084904,
123,2.0166939469084904,
124,2.0166939469084904,
125,2.0166939469084904,
126,2.0166939469084904,
127,2.0166939469084904,
128,2.0166939469084904,
129,2.0166939469084904,
130,2.0166939469084904,
131,2.0166939469084904,
132,2.0166939469084904,
133,2.0166939469084904,
134,2.0166939469084904,
135,2.0166939469084904,
136,2.0166939469084904,0.9998931144845955
137,2.0166939469084904,0.9998607548032843
138,2.0166939469084904,0.9998669829162347
139,2.0166939469084904,0.999851284937151
140,2.0166939469084904,0.9997716684663002
141,2.0166939469084904,0.9997858769171988
142,2.0166939469084904,0.9997965444269086
143,2.0166939469084904,0.999809815132842
144,2.0166939469084904,0.9998211718966761
145,2.0166939469084904,0.999839314684086
146,2.0166939469084904,0.9998392091695828
147,2.0166939469084904,0.9998201180500046
148,2.0166939469084904,0.9998299463843877
149,2.0166939469084904,0.9998189790762861
150,2.0166939469084904,0.9998175166308853
151,2.0166939469084904,0.999819219709044
152,2.0166939469084904,0.9998523431576082
153,2.0166939469084904,0.9998751214370672
154,2.0166939469084904,0.999907837300997
155,2.0166939469084904,0.9999210541516624
156,0.3803398694133546,0.9999010481771812
157,0.3908068890812163,0.9999436966042012
158,0.3908068890812163,0.9999771420270309
159,0.3908068890812163,0.9999826162729445
160,0.3643545052254795,0.9999827981162902
161,0.3643545052254795,0.9999870402028546
162,0.3643545052254795,0.9999865074202745
163,0.3643545052254795,0.9999873656332567
164,0.8616594662957264,0.9999872377927373
165,0.8740948482926444,0.9999839007962334
166,0.8740948482926444,0.9999826988981668
167,0.8740948482926444,0.9999833564059906
168,0.8740948482926444,0.9999834165246811
169,0.8740948482926444,0.9999835185409193
