,TWSE/NKY inst_corr,TWSE/NKY hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,2.7738193705517897,
133,2.7738193705517897,
134,2.7738193705517897,
135,2.7738193705517897,
136,2.7738193705517897,
137,2.7738193705517897,
138,2.7738193705517897,
139,2.7738193705517897,
140,2.7738193705517897,
141,2.7738193705517897,
142,2.7738193705517897,
143,2.7738193705517897,
144,2.7738193705517897,
145,2.7738193705517897,
146,2.7738193705517897,
147,2.7738193705517897,
148,2.7738193705517897,
149,2.7738193705517897,
150,2.7738193705517897,
151,2.7738193705517897,
152,0.9069017134378401,
153,0.8474459211720153,0.6160707715106645
154,0.8474459211720153,0.6143208208471099
155,0.8474459211720153,0.6418858611104952
156,0.8474459211720153,0.6376174241531858
157,0.8474459211720153,0.5230112867297405
158,0.8474459211720153,0.5806306849486044
159,0.8474459211720153,0.5844915117880475
160,0.8474459211720153,0.5699445311038153
161,0.8474459211720153,0.5576457356257714
162,0.8474459211720153,0.5342997869932044
163,0.8474459211720153,0.5525923317016278
164,0.8474459211720153,0.5108238871513927
165,0.8474459211720153,0.5308569297568023
166,0.8474459211720153,0.5679791432140384
167,0.8474459211720153,0.5545862978626258
168,0.8474459211720153,0.5557622454741244
169,0.8474459211720153,0.546421203183597
170,0.8474459211720153,0.6232660332153184
171,0.858690152680613,0.6354850550722393
172,0.9800177451145122,0.6242293731653582
173,0.9800177451145122,0.6756974287943796
174,0.654550137843266,0.7660816648803457
175,0.7801714395712867,0.8581882327811422
176,0.7801714395712867,0.8535792434566091
177,0.7823638618494528,0.8260965196739849
178,0.9544097598674741,0.8410292197838037
179,0.9544097598674741,0.8727423158372041
180,0.8181891027297383,0.876161527934859
181,0.8181891027297383,0.87798258644143
182,0.7628859743270332,0.8774450550157153
183,0.7628859743270332,0.8597465413018626
