,FTMIGMI/SENSEX inst_corr,FTMIGMI/SENSEX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,1.2652992206095188,
121,1.2652992206095188,
122,1.2652992206095188,
123,0.5242856060580765,
124,0.5242856060580765,
125,0.5242856060580765,
126,0.9558626083263324,
127,0.9558626083263324,
128,0.9558626083263324,
129,0.9558626083263324,
130,0.9558626083263324,
131,0.7838111997130094,
132,0.7838111997130094,
133,0.7838111997130094,
134,0.7838111997130094,
135,0.7838111997130094,
136,0.7838111997130094,
137,0.7838111997130094,
138,0.7767249083971381,
139,0.7767249083971381,
140,0.8482161218761586,
141,0.9725011744410526,
142,0.9725011744410526,0.3858566272560248
143,0.9779941720796914,0.3250636220766905
144,0.9642850604582924,0.3410785162236479
145,0.9642850604582924,0.3324103674720923
146,0.9642850604582924,0.17320111046262635
147,0.9642850604582924,0.25692406573681303
148,0.9642850604582924,0.22207388607190898
149,0.9642850604582924,0.1815287657896077
150,0.9642850604582924,0.029929381620300653
151,0.9642850604582924,0.04525152177633693
152,0.7929847335039785,0.03653720154571444
153,0.7929847335039785,0.09890532479253922
154,0.7929847335039785,0.07170093315309992
155,0.8871201374367306,0.09913108908645342
156,0.7335111367160019,0.07427949728021738
157,0.7335111367160019,0.14545271418080483
158,0.7335111367160019,0.13523162142826997
159,0.7335111367160019,0.13745004051244128
160,0.7335111367160019,0.15237915699142512
161,0.7335111367160019,0.4394396227048091
162,0.844860854404018,0.4177824219284427
163,0.5932453857990154,0.4304418398080323
164,0.6053435994928903,0.7144687126622147
165,0.4784888552365873,0.7497754851789076
166,0.4784888552365873,0.8007121173444558
167,0.4784888552365873,0.7956315665699164
168,0.2582261684640951,0.7148659491584739
169,0.9932079527183423,0.7421347168996062
170,0.7637367510342401,0.7580866369794657
171,-0.012507937407105247,0.6058112232770319
172,0.778773927552106,0.6082435759107442
173,0.778773927552106,0.6072623563983554
174,0.8406749462007286,0.6037816257453725
