,JPEIGLBL/LF94TRUU inst_corr,JPEIGLBL/LF94TRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,1.846130806751157,
119,1.846130806751157,
120,-0.1330605839848832,
121,-0.1440136713367341,
122,-0.048620952279158074,
123,0.7983108427880241,
124,0.7983108427880241,
125,0.7983108427880241,
126,0.769619086196363,
127,0.28843539838288174,
128,0.5321381147078831,
129,0.9473893002381294,
130,0.9461948774708356,
131,0.6668621004649192,
132,0.6668621004649192,
133,0.6668621004649192,
134,0.6668621004649192,
135,0.6668621004649192,
136,0.9603207964158595,
137,0.2873533315234381,
138,0.13528474393993634,
139,0.5877977615912319,-0.04425775605784597
140,0.5877977615912319,-0.009214683660694452
141,0.5877977615912319,-0.02039211235256565
142,0.5877977615912319,0.08946638000214312
143,0.8515180054416195,0.15822922106016693
144,0.5355058692679916,0.21978503545101594
145,0.5392160344023738,0.38428356397135915
146,0.16361417447129392,0.26242774265781116
147,0.2634942417483758,0.23734823720911669
148,0.15258771468235588,0.26560708818936174
149,-0.3101733146920094,0.16874018734173657
150,-0.09754799970108997,0.10248256482133476
151,-0.09754799970108997,0.08172412042107922
152,0.9095986432335128,0.06454092379134463
153,0.9130116098255334,0.061382332735240665
154,0.9130116098255334,0.06515407670667471
155,0.8562361053402381,0.15851799526626964
156,0.37411992808005506,0.18895379369906298
157,0.27436713591281414,0.14493804148103495
158,0.8652084824119881,0.13157343140193353
159,0.5548144493300009,0.3871332833516947
160,0.44175730448835976,0.4886185802502425
161,0.4428510974866272,0.46022045811920104
162,0.5502894623254925,0.4571284302252986
163,0.3589136047619137,0.5856949843011374
164,0.1930349694420833,0.3756329300297526
165,0.46179299176171607,0.39053070926497147
166,0.2937882086735594,0.398528569420754
167,-0.06981561560534345,0.26049619733050033
168,0.11524513456097273,0.35662943005944303
169,0.5492977482208986,0.35297717328335615
170,0.6846193229383425,0.35795631491960783
171,0.7808589443491808,0.40126341348414785
