,VIX/LBEATREU inst_corr,VIX/LBEATREU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,-1.4212882878091224,
115,-1.4212882878091224,
116,-0.6530715323149063,
117,-0.2746690618064514,
118,-0.4096013415430579,
119,-0.6381031814125161,
120,-0.9058859029133346,
121,-0.9058859029133346,
122,-0.9058859029133346,
123,-0.761425896426889,
124,-0.22113239219868,
125,0.30059541351946983,
126,0.1733492439568861,
127,-0.6453003868901007,
128,-0.9836571604294119,
129,-0.9836571604294119,
130,-0.9836571604294119,
131,-0.9836571604294119,
132,-0.9836571604294119,
133,-0.36766101505772486,
134,-0.4676875564554064,
135,-0.4676875564554064,
136,-0.4676875564554064,-0.32546199206481213
137,-0.4676875564554064,-0.3035936122448555
138,-0.4676875564554064,-0.29441005647828067
139,-0.4676875564554064,-0.31458864217564114
140,-0.4676875564554064,-0.4020270313549236
141,-0.4676875564554064,-0.3837381200480031
142,-0.4173615325523879,-0.33315762289886536
143,-0.25035812355266673,-0.28942321537910426
144,-0.4871576091448295,-0.18942786247101845
145,-0.7138597419461472,-0.20699419976693664
146,-0.669378288021106,-0.19633546159760168
147,-0.8642780349425931,-0.44781148211417304
148,-0.6145231691470355,-0.4504971041533089
149,-0.8549097866419655,-0.4256104708595001
150,-0.8561294322846311,-0.4859170510692523
151,-0.3345041839631456,-0.4532093490951146
152,-0.6218473957937453,-0.49224968935369595
153,-0.8108002677574673,-0.5531765407433386
154,-0.4163929532544551,-0.5567431225413048
155,-0.609326427502795,-0.5497260395849168
156,-0.28630835262978904,-0.4790505748762556
157,-0.20714845129663012,-0.37410957245336746
158,-0.05722878962388849,-0.49637252178530655
159,0.5965954512236411,-0.12958063686295573
160,0.11941319248147526,-0.09404321794594837
161,-0.24818258858548617,-0.10772496995510848
162,-0.39839204186198146,-0.03736780294318879
163,-0.5194600494120535,-0.05755946126938624
164,-0.392508355084822,-0.0767402888172904
165,-0.755681661023512,-0.17958608235814327
