,FTMIGMI/NKY inst_corr,FTMIGMI/NKY hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,1.6045952447198173,
121,1.6045952447198173,
122,1.6045952447198173,
123,1.6045952447198173,
124,1.6045952447198173,
125,0.9346089022931711,
126,0.9346089022931711,
127,0.9346089022931711,
128,0.9346089022931711,
129,0.9346089022931711,
130,0.9346089022931711,
131,0.9346089022931711,
132,0.9346089022931711,
133,0.9346089022931711,
134,0.9346089022931711,
135,0.9346089022931711,
136,0.9346089022931711,
137,0.9346089022931711,
138,0.9346089022931711,
139,0.9346089022931711,
140,0.8747562536767606,
141,0.7315336936047678,0.7749956462189482
142,0.880952782632426,0.8042609457552485
143,0.880952782632426,0.8195706365312343
144,0.880952782632426,0.8123081862741086
145,0.880952782632426,0.7599973857539895
146,0.880952782632426,0.8053448192608635
147,0.880952782632426,0.8027076200072399
148,0.880952782632426,0.7944589509107858
149,0.880952782632426,0.7959785539587306
150,0.880952782632426,0.8074344815243472
151,0.880952782632426,0.8069590343797975
152,0.880952782632426,0.7955906737983561
153,0.880952782632426,0.8015900488876017
154,0.880952782632426,0.7707349542022317
155,0.9188718590824821,0.746641824170052
156,0.9188718590824821,0.73509002408377
157,0.9188718590824821,0.7144886518110798
158,0.8599522204553354,0.7601263494394497
159,0.29347525336227676,0.739480082419742
160,0.5562790270837722,0.5993806032538743
161,0.9331364741952975,0.6443338941995503
162,0.5943099647465672,0.7195240986747884
163,0.6605535898546151,0.7437282278031446
164,0.8997160436664149,0.7284181810021335
165,0.45561256336664424,0.654281385111831
166,0.6382993524917892,0.6920695577530539
167,0.7529810169322002,0.6270369972844816
168,0.3566709927542046,0.5976019578111943
169,0.37250126638250786,0.6270943301364842
170,0.37133460049500344,0.5963652374046473
171,0.8454687515750504,0.5756169505495342
172,0.8351865381332897,0.582020696718217
173,0.9659277562391869,0.5796374369738215
174,0.9659277562391869,0.5818322679123569
