,FTMIGMI/SPAEREDT inst_corr,FTMIGMI/SPAEREDT hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,-0.25705419481246117,
107,0.43865564557349807,
108,0.22979855939158617,
109,-0.18237564417839178,
110,-0.37958496596197,
111,0.01867970018012469,
112,0.563181069986213,
113,0.48268809239127725,
114,-0.019504587105295196,
115,-0.22537299354891743,
116,-0.5492177907737401,
117,-0.26260849599053254,
118,-0.051655604203313554,
119,0.040823825504825544,
120,0.24677955955917727,
121,0.33781485250619214,
122,0.5412296906341881,
123,0.903619996526583,
124,0.8667025109628331,
125,0.4863864354666143,
126,0.411755977454778,
127,-0.5606426103882276,0.1608028678511037
128,-0.4862579103530434,0.02521440769406881
129,-0.3551675258733553,0.011891673698963776
130,0.027330847997220513,-0.002125492094068165
131,0.4324613027013875,0.18758211793400736
132,0.4324613027013875,0.23166792885920096
133,0.8830383625376463,0.24217909224668194
134,0.6306884632807893,0.31401375962965583
135,0.35505866002861725,0.2311896802023877
136,-0.24026776169058142,0.22357555339052554
137,-0.14573443174802828,0.20268650040607328
138,0.42851541370864343,0.2888660272456283
139,0.2874675091946388,0.31139075941863575
140,-0.03741965427362327,0.3006406728728497
141,-0.15702339492637996,0.278535985848353
142,0.3727287774889876,0.2605643470729768
143,0.4722772480266775,0.33350972603283424
144,0.1359833469655811,0.3274829918583223
145,0.1999394304087425,0.27175323188236417
146,0.1999394304087425,0.27059276631662305
147,0.4910076955998288,0.3501519958775998
148,0.21790721426655882,0.2791680840539583
149,0.7279868021362329,0.29494544367583264
150,0.779589912217151,0.5016364239740552
151,0.541048008965431,0.5753866655761886
152,0.4761097873035579,0.6678353700101873
153,0.5912535576479657,0.7653534467335724
154,0.8287221720966657,0.7423473169163459
155,0.40624060475208124,0.7555111811120195
156,0.33216951024944213,0.5918042119177523
157,0.6316323607065595,0.6133129848838872
158,0.35652682210522646,0.634475774222617
159,0.1339410509229067,0.5920823385316905
160,0.1677637149471563,0.6245198083735013
161,0.12712654491147973,0.578611632969447
