,SPXT/SPX inst_corr,SPXT/SPX hist_corr,SPXT/LG30TRUU inst_corr,SPXT/LG30TRUU hist_corr,SPX/LG30TRUU inst_corr,SPX/LG30TRUU hist_corr
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,2.019806731588781,,1.809332006123816,,1.8096216644571788,
115,2.019806731588781,,1.809332006123816,,1.8096216644571788,
116,2.019806731588781,,1.809332006123816,,1.8096216644571788,
117,2.019806731588781,,1.809332006123816,,1.8096216644571788,
118,2.019806731588781,,1.809332006123816,,1.8096216644571788,
119,2.019806731588781,,1.809332006123816,,1.8096216644571788,
120,2.019806731588781,,1.809332006123816,,1.8096216644571788,
121,2.019806731588781,,1.809332006123816,,1.8096216644571788,
122,2.019806731588781,,1.809332006123816,,1.8096216644571788,
123,2.019806731588781,,1.809332006123816,,1.8096216644571788,
124,2.019806731588781,,1.809332006123816,,1.8096216644571788,
125,2.019806731588781,,1.809332006123816,,1.8096216644571788,
126,2.019806731588781,,1.809332006123816,,1.8096216644571788,
127,2.019806731588781,,1.809332006123816,,1.8096216644571788,
