,NKY/JPEIGLBL inst_corr,NKY/JPEIGLBL hist_corr,KOSPI/LEGATRUU inst_corr,KOSPI/LEGATRUU hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,-0.4668030748083803,
123,,,-0.2528980742662255,
124,,,-0.7206360495337407,
125,,,-0.39128738200851204,
126,,,-0.17253403073415,
127,,,0.17781821807453627,
128,,,0.44337239140882595,
129,,,0.4291200377554858,
130,1.0656450441250864,,0.7561172561764882,
131,1.0656450441250864,,0.7561172561764882,
132,0.07386882300867907,,-0.09406990376518146,
133,-0.3705471258271527,,-0.25501353448296465,
134,-0.275590822384718,,0.28601487646996937,
135,0.34980781235500463,,0.11795689508296325,
136,0.904761245814378,,-0.16136462076812136,
137,0.9975017914271687,,0.5818942423000036,
138,0.5067450601438129,,0.7586991049924705,
139,0.5674778617439269,,0.3729670417446542,
140,0.13938899813258931,,0.47042313998557345,
141,0.6672743980022172,,0.38740727370076017,
142,0.6672743980022172,,0.8442630982922794,
143,0.6672743980022172,,0.2646711897166067,
144,0.6672743980022172,,-0.49094377474008183,0.21078576645525177
145,0.6672743980022172,,-0.7846220330923531,0.12644638282883736
146,0.6672743980022172,,-0.2165580394306828,0.1630244914675148
147,0.9249387277434384,,-0.33111078170239383,0.16514212890448884
148,0.9254222827414668,,-0.6881111018221739,0.16007119956838722
149,0.6691846824590858,,0.05721640576417874,0.10650086308257851
