,FNERTR/VIX inst_corr,FNERTR/VIX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,-0.15734087573684702,
119,-0.4739783303611742,
120,-0.8223613486429826,
121,-0.3951240804606523,
122,-0.5143546553119563,
123,-0.8131949006714109,
124,-0.8131949006714109,
125,-0.8977527988996153,
126,-0.6284114496088283,
127,-0.39908244844749885,
128,-0.8309308418971092,
129,-0.7576027120312412,
130,-0.6019810957924525,
131,-0.041577311231247305,
132,0.38590815694552394,
133,0.17246812248841156,
134,0.40428011503968514,
135,0.20667096738477983,
136,-0.059401695738926806,
137,0.226429287923495,
138,0.14061506952407546,
139,-0.26221720678333266,-0.11516976809392396
140,-0.3883981538508796,-0.18710910607299622
141,-0.5250763061544981,-0.1323273574069307
142,-0.5972180929774452,-0.17655644614933036
143,-0.23259573888677976,-0.1563797931932059
144,0.43040872781918027,-0.12040671068387412
145,0.5258434249802043,-0.0775393974587925
146,0.49675341436206977,0.08788364874647399
147,0.24027495009657893,0.12737945771877565
148,-0.7888268809410299,0.12930081470221785
149,-0.6164627229754416,0.06768756896091822
150,-0.637053873053724,0.11332632912059003
151,-0.9379204528498363,0.1109633362817337
152,-0.6416438082575967,0.2080057176700182
153,-0.2471249627639581,0.16446709801232462
154,-0.46408155517081795,0.18152967859003452
155,-0.5385794575585224,-0.10743872909286431
156,-0.5663875347293136,-0.12008703100051045
157,-0.4481144302825905,-0.2052760003515456
158,-0.606158670776734,-0.17733968271130002
159,-0.12052813638585344,-0.48801660894349524
160,-0.16600329641055261,-0.10498884516716352
161,-0.4035247307961008,-0.21505848239876782
162,-0.3086796715471567,-0.20037618864619686
163,-0.6127634753999294,-0.23104399214668808
164,-0.8525056699615667,-0.24589446859954817
165,-0.3831867428772152,-0.2644078711575438
166,-0.22009012627279334,-0.27438764868653964
167,-0.009076761279387646,-0.26522194326677356
168,0.27973297832954447,-0.32007253352746073
169,0.02333886347227932,-0.288203977398327
