,FTMIGMI/LEGATRUU inst_corr,FTMIGMI/LEGATRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,-0.16315067218279106,
107,-0.2347764996431946,
108,-0.2147215798802215,
109,-0.14575813407108607,
110,-0.16233252739906862,
111,-0.12807472881319917,
112,0.030298392363508557,
113,0.44038533119741496,
114,0.9629863150787145,
115,0.9629863150787145,
116,0.7283864368389518,
117,0.23379365649964917,
118,0.3506123376284616,
119,0.7771534994248317,
120,0.8289577678935558,
121,0.6762964823610864,
122,0.6762964823610864,
123,0.35566185429976355,
124,0.4441026871396983,
125,0.6643048405685882,
126,0.3430265076035682,
127,0.10033024073262865,
128,-0.053942005088113816,0.19429875469536156
129,0.32069663189085185,0.19953475142136087
130,0.3606672068293177,0.22486227744253803
131,0.07204260389480101,0.19981157506161762
132,0.021759797472388594,0.26989649195587034
133,-0.24407190287266714,0.2979382321328638
134,-0.40969156516888305,0.2520824650839388
135,0.2377802309442929,0.20674840379968004
136,0.4888270412785044,0.14915893669626834
137,0.49683361918496144,0.08519804609214629
138,0.5753074821627844,0.08661833926900003
139,0.3425591476961173,0.06372181482872931
140,0.15926872157890581,0.03780642808142042
141,0.06055619773890966,-0.013438243370082703
142,0.19765190467012544,-0.032618676379058305
143,0.40160799127614194,0.033856635980921757
144,0.5856620173281056,0.0471082591615218
145,0.728995551055327,0.008688455251977329
146,0.6370687322971701,-0.04595820466268173
147,0.1917525707867774,0.1216816210190642
148,-0.17588608796181077,0.07231761579225715
149,0.48497075289370695,0.07564935587681222
150,0.49263334051950597,0.1671092287723564
151,0.38865335617360014,0.37104743516168914
152,0.039121884653574815,0.3015783936713109
153,-0.1180475042437399,0.2829338133032089
154,0.047722338451625934,0.29287496518429945
155,0.4476219683804736,0.32280724231248403
156,0.7709626217907711,0.32347691374794707
157,0.7017777242517841,0.3213948100233324
158,0.4594505486442663,0.3257991254062852
159,0.35171988291911377,0.3321010027703579
160,0.9266374308101337,0.3910131881309569
161,0.9266374308101337,0.39190382521601064
