,CAC/FNERTR inst_corr,CAC/FNERTR hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,-0.17664384599538285,
115,-0.9224535290780035,
116,-0.9224535290780035,
117,-0.9980214570654885,
118,-0.04847831510817802,
119,0.08045648057214339,
120,0.15460068716180347,
121,-0.21216913961909506,
122,-0.39733681673744164,
123,0.12146997941760886,
124,0.09630557906189956,
125,-0.07233973346547948,
126,0.30454445131898683,
127,0.9441424906713216,
128,0.9441424906713216,
129,0.9761768959848011,
130,0.10576597291373593,
131,0.3068739665918059,
132,0.5541318294798214,
133,0.5553963067395167,
134,0.8880669446412937,
135,0.8880669446412937,
136,0.7357831950894099,0.13192304629260102
137,0.42388337670815845,0.4013168596914796
138,0.16031081711609935,0.4955285404050824
139,-0.20632175234365513,0.45432018415926906
140,0.022192007702763965,0.4780250339906193
141,0.612597273045805,0.4923700264872144
142,0.612597273045805,0.5040517367978378
143,0.22597308872784888,0.5173730043032383
144,0.2988796690605322,0.5394572025426339
145,0.43039524493289016,0.5177757806741456
146,0.3061868261664396,0.5595318684699735
147,0.5850310309029478,0.5913280715002007
148,0.83358421143499,0.6086273975244173
149,0.6955206361209014,0.5379741537412641
150,0.6981939923805417,0.5166938968102315
151,0.18945221442790824,0.5317594441501184
152,0.05589155714346159,0.5042739323396609
153,-0.1910319735492749,0.5227248694214248
154,-0.1910319735492749,0.402991172751865
155,0.0013262583693344917,0.3763590147977689
156,0.2398447389239744,0.30390411421059627
157,0.37829175492512407,0.3947474217138358
158,-0.09754552420194634,0.2595298705926351
159,-0.6993956765309188,-0.07866110910661935
160,-0.2993196600849443,-0.11774747862811188
161,0.6708578873706784,0.06372084877263243
162,0.6708578873706784,0.051210422932538115
163,0.4626685496110386,0.07272837660228965
164,0.831681325592209,0.04652901352307309
165,0.525194423844023,0.045368010775599356
166,0.24002523095512523,0.02017248571974929
167,0.7579418741934907,0.13600426148050876
168,0.7579418741934907,0.14903093834353812
169,0.7104456748660012,0.1319168563290322
