,LG30TRUU/NKY inst_corr,LG30TRUU/NKY hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,1.5166799994356996,
121,1.5166799994356996,
122,0.5386009379501355,
123,0.5386009379501355,
124,0.7220169690480891,
125,0.6846595687122828,
126,0.779269446842515,
127,0.779269446842515,
128,0.7427944761289094,
129,0.6403517713509747,
130,0.14645644928624882,
131,0.4987917282234149,
132,0.4987917282234149,
133,0.4987917282234149,
134,0.4987917282234149,
135,0.4987917282234149,
136,0.4987917282234149,
137,0.4987917282234149,
138,0.4987917282234149,
139,0.4987917282234149,
140,0.9744194625039697,
141,0.704231027325708,0.6300695959765884
142,0.6633280284754159,0.6477742974538372
143,0.6633280284754159,0.6450116572403352
144,0.6633280284754159,0.6418790983048233
145,0.6633280284754159,0.6546367350740652
146,0.826352088948028,0.6845978861293969
147,0.826352088948028,0.649528392299411
148,0.8469612909226231,0.632670415248254
149,0.886497983879829,0.6275839025878238
150,0.886497983879829,0.6436248376651733
151,0.886497983879829,0.64224162478183
152,0.6916796658190508,0.7207798463389959
153,0.6207560560116818,0.6899956423137517
154,0.7289984281540175,0.6710900448283759
155,0.10554092490839663,0.6065275642770829
156,0.35942132609615945,0.47780607909051614
157,0.35942132609615945,0.4891798515334874
158,0.7646978772116705,0.5814195869677982
159,0.392393376091302,0.6003807910445154
160,0.5412711842141554,0.5216471603547381
161,0.6978458348354226,0.5510874453584371
162,0.32090526600770386,0.6828617344348267
163,0.20944024076016096,0.4276957807203087
164,0.0967768961251745,0.40588879162045666
165,-0.46248129376458935,0.22113247490674567
166,-0.2177440238144554,0.16352472073977523
167,0.44634877625774827,0.1542388664735798
168,0.46276019624450637,0.1488904770204916
169,0.4919326755895924,0.19529524232188963
170,0.3726209136079089,0.22179846281824253
171,0.39624605724888823,0.20924850717041152
172,0.6835796405089358,0.21516184453660456
173,0.6023670295534418,0.2055305756889915
174,0.751754921387893,0.19643377339163162
