,SENSEX/LBUSTRUU inst_corr,SENSEX/LBUSTRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,0.6181989857252173,
123,0.6181989857252173,
124,0.6181989857252173,
125,0.8602560316436565,
126,0.5737563434328649,
127,0.3732659405778489,
128,0.6641419578769053,
129,0.8875881590162249,
130,0.8507358543685282,
131,0.8507358543685282,
132,0.8507358543685282,
133,0.8758391314863649,
134,0.5265122512487345,
135,0.8926784811556018,
136,0.8926784811556018,
137,0.8926784811556018,
138,0.5553935250684592,
139,0.4392067941197042,
140,0.9413244576089047,
141,0.5638281987123345,
142,0.14718954829583375,
143,0.44844262416809455,-0.029859916603522347
144,0.5950849384913436,-0.06130538150038534
145,0.5834038456853934,-0.057092274797921796
146,0.8957634492834492,-0.08973903336702113
147,0.9041529604910241,-0.23628482812612941
148,0.9041529604910241,-0.10241061919768077
149,0.9041529604910241,-0.043510785304069516
150,0.8243377175137138,-0.0606355153402547
151,0.8909527327821707,-0.11466928424291581
152,0.7629248717443602,-0.10552817750793386
153,0.5405053046040106,-0.13035826470973388
154,0.49600307449774494,-0.13744747963333587
155,0.2326990892946822,-0.2215528671267575
156,0.5299854687431609,-0.16160570440511762
157,0.7568852186960681,-0.0858595211189945
158,0.7568852186960681,-0.13974022718262188
159,0.5162781141660205,-0.1907917105802653
160,0.15903065912219286,-0.2541525570170563
161,0.27611371315757055,-0.08517799919465618
162,0.27611371315757055,-0.10873251531026988
163,0.27611371315757055,-0.09318372405678825
164,0.7019104721917484,0.36606178484381563
165,0.462666068309666,0.4484353664374639
166,0.5886277622437552,0.5506843947944531
167,0.09093905363472157,0.5134721461170925
168,-0.11567989383827904,0.3376784869386417
169,0.5928967573484004,0.4337825681689257
170,0.9704626131993328,0.4673579492933602
171,0.6758960319180394,0.46886515287228936
172,0.45250071347022836,0.46574393325315305
173,-0.004859125480316353,0.37949674953752754
