,FNERTR/HSI inst_corr,FNERTR/HSI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,-0.09752540308100617,
125,-0.33440406188140764,
126,-0.5895766251197972,
127,-0.5912805802968756,
128,-0.5912805802968756,
129,-0.8477915674114066,
130,0.17408076589991056,
131,0.15884292999385424,
132,-0.34799951040822025,
133,-0.5041102437994169,
134,-0.940345697280647,
135,-0.6160209291094667,
136,-0.5175212529801967,
137,-0.14128177147069107,
138,0.23633802164591616,
139,-0.07792343934028234,
140,-0.5648144208324304,
141,-0.6758609070943303,
142,-0.38642846013300836,
143,-0.6258416971290814,
144,-0.6474931292723132,
145,-0.03141608915147614,-0.3829392687223941
146,-0.03904928027856104,-0.36341162762200563
147,-0.1298496147472946,-0.36013849280252164
148,-0.3574611698710872,-0.3165879090904645
149,-0.5690765291711399,-0.23741217052949487
150,0.01524939342906434,-0.2018267449802395
151,0.24079409474959543,-0.17070218469079873
152,0.5086993663224392,-0.21137815146282052
153,0.5804678891230918,-0.10010788218295683
154,0.39340607099604497,-0.08629640922595735
155,-0.5042233912975072,-0.07564684451516593
156,-0.24307767062887875,-0.0018954143003705828
157,0.13320073663629822,-0.014388893958595888
158,0.6184229945930264,0.0782246622097189
159,0.6449971080961059,0.029783987172615232
160,0.20192541799345295,0.11466861433456102
161,0.022930175989367807,0.07694544912995188
162,-0.1176298886005421,0.22070126332290485
163,-0.3819085303030475,0.20288125000695878
164,-0.2632599268079126,0.2062281774125379
165,-0.03467296242255445,0.36808505805847724
166,-0.6136259289861882,0.4138764052398153
167,-0.7200417995823499,0.33329062379736685
168,-0.7095136558008146,-0.16318747420765395
169,-0.5891140164987516,-0.16941678559420778
170,-0.3620636486133355,-0.17142954305894467
171,-0.07344935788900989,-0.17032243169747072
172,-0.05097390083539239,-0.16071510195707317
173,-0.17960916128861523,-0.23614440534703998
174,-0.07136030887459384,-0.22393150717543062
