,VIX/KOSPI inst_corr,VIX/KOSPI hist_corr,UKX/VIX inst_corr,UKX/VIX hist_corr,KOSPI/UKX inst_corr,KOSPI/UKX hist_corr
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,-1.2774826167242195,,,
119,,,-1.2774826167242195,,,
120,,,-1.2774826167242195,,,
121,,,-1.2774826167242195,,,
122,,,-0.5193562499151011,,,
123,,,-0.2637059120748514,,,
124,,,-0.7026463785632977,,,
125,,,-0.8955674772819081,,,
126,,,-0.9136263502266317,,,
127,,,-0.6208108064510618,,,
128,-1.1886194020014083,,-0.8098095068922553,,0.6818190453005326,
129,-0.535154817347089,,-0.8098095068922553,,0.9142827974327817,
130,-0.1265581779859519,,-0.8098095068922553,,0.22938597421424836,
131,-0.007369224177775437,,-0.8608478887064553,,-0.09808245073788287,
132,-0.016991401274130322,,-0.6976280578003506,,0.6384189626831875,
133,-0.15748512031118478,,-0.6976280578003506,,0.6384189626831875,
134,-0.48374158884114227,,-0.6976280578003506,,0.6706704947780316,
