,LG30TRUU/SPXT inst_corr,LG30TRUU/SPXT hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,1.820109571031451,
115,1.820109571031451,
116,1.820109571031451,
117,1.820109571031451,
118,1.820109571031451,
119,1.820109571031451,
120,1.820109571031451,
121,1.820109571031451,
122,1.820109571031451,
123,1.820109571031451,
124,1.820109571031451,
125,1.820109571031451,
126,1.820109571031451,
127,1.820109571031451,
128,1.820109571031451,
129,1.820109571031451,
130,1.820109571031451,
131,1.820109571031451,
132,1.820109571031451,
133,1.820109571031451,
134,1.820109571031451,
135,1.820109571031451,
136,1.820109571031451,0.8516546351763079
137,1.820109571031451,0.850981422942518
138,1.820109571031451,0.8826641283218617
139,1.820109571031451,0.8584324252151877
140,1.820109571031451,0.8178686823777171
141,1.820109571031451,0.8336926607724436
142,1.820109571031451,0.7898839735699322
143,1.820109571031451,0.7938164838302656
144,1.820109571031451,0.7774445122900607
145,1.820109571031451,0.7833306264063361
146,1.820109571031451,0.7630181761464768
147,1.820109571031451,0.7408505190842851
148,1.820109571031451,0.7496871114692809
149,1.820109571031451,0.7379961051519188
150,1.820109571031451,0.7251126641012761
151,0.6154065753321448,0.6985913017129317
152,0.6154065753321448,0.7560495671999792
153,0.6154065753321448,0.7642326607980975
154,0.6154065753321448,0.8343583394033677
155,0.7832927018921183,0.7774123776929501
156,0.2804153195881781,0.7717696999454149
157,0.3388272537744792,0.74883002756963
158,0.3388272537744792,0.8824511749567098
159,0.3388272537744792,0.8323302370415037
160,0.2853634849598186,0.8145397761684878
161,0.2853634849598186,0.8608997739926451
162,0.2853634849598186,0.8684012624272385
163,0.2853634849598186,0.8756674536065565
164,0.8344375684021447,0.8753865776070684
165,0.8315318936979185,0.8796076215779074
166,0.8315318936979185,0.8871916995685522
167,0.8315318936979185,0.8748721267639628
168,0.8315318936979185,0.874996871221255
169,0.8315318936979185,0.8740901595876793
170,0.7065549506924639,0.8718740515277756
171,0.7890767718533654,0.8780133193669241
