,TYVIX/000001.SS inst_corr,TYVIX/000001.SS hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,-0.9364048570564564,
138,-0.9364048570564564,
139,-0.9364048570564564,
140,-0.9364048570564564,
141,-0.9364048570564564,
142,-0.9364048570564564,
143,-0.9063416644424448,
144,-0.867421376922416,
145,0.005703440715739457,
146,0.005703440715739457,
147,0.021441659347035562,
148,-0.6293499574800463,
149,-0.7281546370404272,
150,-0.2933327633315003,
151,0.03843515684336735,
152,-0.26459139990843505,
153,-0.3272795191096247,
154,-0.32337567844019494,
155,-0.3217422479451023,
156,-0.3217422479451023,
157,-0.523954250100845,
158,-0.523954250100845,
159,-0.523954250100845,-0.023377768101519078
160,-0.7490853294094838,-0.00304697399117568
161,-0.7084167666780821,-0.038940190472149416
162,-0.7084167666780821,-0.028487585615101528
163,-0.7084167666780821,-0.025250907334747774
164,-0.7084167666780821,-0.004792925788616169
165,-0.9629689310555112,-0.013866091660646142
166,-0.9629689310555112,0.07206586874600585
167,-0.6710368525237381,0.06701874203925963
168,-0.5379184359702074,-0.07471008051902545
169,-0.5379184359702074,-0.15880935865802503
170,-0.5379184359702074,-0.16150366409870115
171,-0.712196584318004,-0.12433891539224172
172,-0.9116218830054882,-0.10403461224423159
173,-0.9116218830054882,-0.2528761970538696
174,-0.9116218830054882,-0.253233652823319
175,-0.9116218830054882,-0.29405905724602666
176,-0.9116218830054882,-0.2645230686823392
177,-0.9116218830054882,-0.3562941153700459
178,-0.9116218830054882,-0.3171522890434813
179,-0.9116218830054882,-0.41954879367941555
180,-0.9116218830054882,-0.39125935432658965
181,-0.9116218830054882,-0.40436311778820094
182,-0.9116218830054882,-0.41968842079434476
183,-0.9116218830054882,-0.4121623094074215
184,-0.9116218830054882,-0.4666231023838838
