,SPX/NDWLIT inst_corr,SPX/NDWLIT hist_corr,SPX/FTMIGMI inst_corr,SPX/FTMIGMI hist_corr,SPX/GBIEMDCW inst_corr,SPX/GBIEMDCW hist_corr
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,1.2377978779996808,,1.554916321102174,,,
115,1.2377978779996808,,1.554916321102174,,,
116,0.34526184824260037,,0.7862250340820715,,,
117,0.6870433761625934,,0.7862250340820715,,,
118,0.8737767048984045,,0.7862250340820715,,1.6933130571073214,
119,0.8737767048984045,,0.7862250340820715,,1.6933130571073214,
120,0.6472359556801177,,0.7862250340820715,,0.3010767016979773,
121,0.15494024134813578,,0.7862250340820715,,0.8275435410677839,
122,-0.03656792150431582,,0.7862250340820715,,0.7798155896834378,
123,0.022792680248948465,,0.7862250340820715,,0.7798155896834378,
124,0.3602760222327033,,0.6420071633050469,,0.7798155896834378,
125,0.49891625096520953,,0.5910217698861645,,0.7798155896834378,
126,0.49891625096520953,,0.5910217698861645,,0.7798155896834378,
127,0.9564652619234417,,0.5910217698861645,,0.74385276540644,
