,NKY/TWSE inst_corr,NKY/TWSE hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,2.7872348712501935,
133,2.7872348712501935,
134,2.7872348712501935,
135,2.7872348712501935,
136,2.7872348712501935,
137,2.7872348712501935,
138,2.7872348712501935,
139,2.7872348712501935,
140,2.7872348712501935,
141,2.7872348712501935,
142,2.7872348712501935,
143,2.7872348712501935,
144,2.7872348712501935,
145,2.7872348712501935,
146,2.7872348712501935,
147,2.7872348712501935,
148,2.7872348712501935,
149,2.7872348712501935,
150,2.7872348712501935,
151,2.7872348712501935,
152,0.9081208008198237,
153,0.8533929628049857,0.6160707715106645
154,0.8533929628049857,0.61432082084711
155,0.8533929628049857,0.6418858611104952
156,0.8533929628049857,0.6376174241531858
157,0.8533929628049857,0.5230112867297405
158,0.8533929628049857,0.5806306849486044
159,0.8533929628049857,0.5844915117880475
160,0.8533929628049857,0.5699445311038152
161,0.8533929628049857,0.5576457356257714
162,0.8533929628049857,0.5342997869932044
163,0.8533929628049857,0.5525923317016278
164,0.8533929628049857,0.5108238871513926
165,0.8533929628049857,0.5308569297568023
166,0.8533929628049857,0.5679791432140384
167,0.8533929628049857,0.5545862978626258
168,0.8533929628049857,0.5557622454741244
169,0.8533929628049857,0.546421203183597
170,0.8533929628049857,0.6232660332153184
171,0.8528823561896361,0.6354850550722394
172,0.9847894476485208,0.6242293731653582
173,0.9847894476485208,0.6756974287943796
174,0.6513493420422961,0.7660816648803457
175,0.7780948894913952,0.8581882327811422
176,0.7780948894913952,0.8535792434566092
177,0.7847556671841978,0.8260965196739849
178,0.9530022549877785,0.8410292197838037
179,0.9530022549877785,0.8727423158372042
180,0.8175323789054487,0.876161527934859
181,0.8175323789054487,0.8779825864414299
182,0.7729393215804794,0.8774450550157153
183,0.7729393215804794,0.8597465413018626
