,MXBR/FTMIGMI inst_corr,MXBR/FTMIGMI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,0.4782336077891447,
54,0.4782336077891447,
55,0.4782336077891447,
56,0.1271011747861068,
57,-0.16653808601171505,
58,-0.767367021545375,
59,-0.767367021545375,
60,-0.767367021545375,
61,0.46531042533159694,
62,0.44450758967574144,
63,0.7243990739342111,
64,0.12307335027752898,
65,-0.5808487511142849,
66,0.3361208040534604,
67,0.3361208040534604,
68,0.3361208040534604,
69,0.3098566623705062,
70,0.21796129070579573,
71,0.21796129070579573,
72,0.4772397759128226,
73,0.8056540522207537,
74,0.8056540522207537,
75,0.8056540522207537,0.30104900018958286
76,0.8056540522207537,0.23425542129027627
77,0.7910964625009289,0.25704750554551437
78,0.5055869445916401,0.3057723352938019
79,0.5055869445916401,0.44282029979047377
80,0.9297920183011276,0.4966328522510157
81,0.9297920183011276,0.49038298777555867
82,0.9297920183011276,0.5157927993331171
83,0.9297920183011276,0.5233861492927485
84,0.7503462939795194,0.5126790666134364
85,0.7503462939795194,0.4818541799906507
86,0.5241162083903989,0.4692917900477698
87,0.5117540238117839,0.6652410722982304
88,0.5117540238117839,0.6742945854941104
89,0.38322788364053856,0.6387269750041711
90,0.9304355583916905,0.6572277429169613
91,0.9304355583916905,0.6898464589569139
92,0.9304355583916905,0.6706338223883727
93,0.9304355583916905,0.5971856980127414
94,0.9304355583916905,0.6370803319356464
95,0.8963298188013118,0.7034121874009283
96,0.35269688082403094,0.6664693668417676
97,0.3260021163093196,0.6236988050681022
98,0.3260021163093196,0.6332354648996179
99,0.6903012177256249,0.6384811345547896
100,0.5435572530130427,0.6017179376938261
101,0.693410193745654,0.5639555438945452
102,0.2386757754231429,0.5521419815007722
103,0.6951580357724688,0.6442969158480832
104,0.19231236649742067,0.5552446415662085
105,0.2428155273384363,0.5436698191655499
106,0.2428155273384363,0.6062979861368467
107,0.5694249070485273,0.606543156711782
108,0.1430279122743554,0.5673854045757405
109,0.3535027160259549,0.5480044315258823
110,-0.511597685105581,0.4003216959986389
111,0.37598472932343674,0.40221059810091464
112,0.7162334133398042,0.3389381787568319
113,0.34276653618315683,0.2929383241578698
114,0.34276653618315683,0.41921045535967494
115,0.548418132033133,0.39182945263705354
116,0.3224522732818895,0.3900346712326893
117,0.3224522732818895,0.438090306180999
118,0.40183020793015733,0.42017844507620944
119,0.4977015136615829,0.47218628799619405
120,0.301438299099419,0.4641627463758071
121,0.18433333201639643,0.3781492442811619
122,0.5794666847257678,0.3567677813543977
123,0.6870704512850222,0.40315497872668105
124,0.29597483845539335,0.4123324450025423
125,0.29597483845539335,0.3631696289098505
126,0.9022609851573493,0.42016908973416706
127,-0.22294504799049006,0.36407201791761234
128,0.15444411771420186,0.30630958769886074
129,-0.49725778779706337,0.20912310865703074
130,0.5642608765411853,0.23628029814314871
131,0.3592881181203868,0.2354245626453897
132,0.28821384449335,0.32669838408835516
133,0.9834228510204119,0.38328242973093607
134,0.9834228510204119,0.3976266512493831
135,0.5619512827172339,0.39434778586476954
136,0.45735646258931406,0.332138195488716
137,0.9506247403474445,0.38718095924826795
138,0.9415020688047477,0.39068733563151814
139,-0.19927504662637235,0.31422658545221205
140,-0.640728060693038,0.12468138567040198
141,0.3620476278154228,0.11541195684407773
142,0.8558638560809017,0.19698699252801158
143,0.1753818588385287,0.20651659786933696
144,-0.20241442660440626,0.12757037958358952
145,0.1251997450714507,0.11451699037275341
146,0.3265201259592939,0.12946735742332044
147,0.4301080536421129,0.15836190090805155
148,-0.1017913997558711,0.07344954080793402
149,-0.14048103713744914,0.11454488130909772
150,-0.14048103713744914,0.1656974108456957
151,0.6121909861696289,0.18710306248193107
152,0.9946748242586018,0.22112761954578478
153,0.4199718389411215,0.24047257240596454
154,0.9389423917366395,0.269658166221404
155,0.6583543561230407,0.28795960569519596
156,0.5310357462433939,0.28653014675074673
157,0.37242735795283743,0.29646830419907205
158,-0.41193745803381115,0.2773823889575075
159,0.6305798989683702,0.24399628457907774
160,0.3330244890283982,0.26288053302443204
161,0.186780000626364,0.2496264780876937
162,0.5567589979011834,0.33509977685006737
163,0.3808381442337613,0.29159997622065004
164,0.5262294094177278,0.2308890885335863
165,0.6611154700735077,0.21707585107168031
166,0.23086016507931698,0.3253855465306827
167,0.40672130018628316,0.33231605623346855
168,0.2763994272156062,0.3088555428378485
169,0.3863563410066931,0.28014800727967953
170,0.6618510517333017,0.3500827794809902
171,0.8736346270741154,0.405531367666249
172,0.20280834860294789,0.34288700778136705
173,0.76805272739148,0.3505104990406055
174,0.6398014307461771,0.29772494568062985
175,0.5215564240231158,0.30106354163041305
176,-0.043027017645990845,0.24067053735820004
177,0.7763291104288402,0.18752029472459267
178,0.6368939835083715,0.1643223752633088
179,-0.15405019768623915,0.14503848098450528
180,0.5724577815286587,0.22879416635708322
181,0.5964973983057947,0.239177716546312
