,FTMIGMI/FTMIGMI inst_corr,FTMIGMI/FTMIGMI hist_corr,NAGLAS/NDDLCA inst_corr,NAGLAS/NDDLCA hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,1.9511077496704594,,,
107,1.9511077496704594,,,
108,1.9511077496704594,,-0.020254494868290066,
109,1.9511077496704594,,0.4527995156259486,
110,1.9511077496704594,,0.45167700791582377,
111,1.9511077496704594,,0.629116571568884,
112,1.9511077496704594,,0.629116571568884,
113,1.9511077496704594,,0.629116571568884,
114,1.9511077496704594,,0.629116571568884,
115,1.9511077496704594,,0.629116571568884,
116,1.9511077496704594,,0.7405191837770034,
117,1.9511077496704594,,0.7961263483393245,
118,1.9511077496704594,,0.7961263483393245,
119,1.9511077496704594,,0.725614241732491,
120,1.9511077496704594,,0.6849262400045709,
121,1.9511077496704594,,0.2033422917572552,
122,1.9511077496704594,,0.27499871236246143,
123,1.9511077496704594,,0.27499871236246143,
124,1.9511077496704594,,0.27499871236246143,
125,1.9511077496704594,,0.27499871236246143,
126,1.9511077496704594,,0.27499871236246143,
127,1.9511077496704594,1.0,0.7989824713494169,
128,0.9366684678223258,1.0,0.5890540420635482,
129,0.9366684678223258,1.0,0.48140101943408614,
130,0.9366684678223258,1.0,0.40700191900090704,0.19653536999668772
131,0.9366684678223258,1.0,0.5777537901205408,0.2847597257638135
132,0.9366684678223258,1.0,0.5777537901205408,0.32061604270125665
133,0.9366684678223258,1.0,0.5777537901205408,0.25725022041523843
134,0.9366684678223258,1.0,0.8629862866966507,0.10534766443584516
135,0.9366684678223258,1.0,0.508915348529513,0.2564203599343092
