,LEGATRUU/NKY inst_corr,LEGATRUU/NKY hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,-0.8044577755338959,
121,-0.5005481269752438,
122,-0.4585334019973652,
123,-0.6759261290163687,
124,-0.5900813188180691,
125,-0.565503257391233,
126,-0.26644294567798565,
127,-0.19054756988486599,
128,-0.5130156057036843,
129,-0.5069080287464879,
130,0.012845678534911474,
131,0.30785835636175063,
132,0.2112464992192449,
133,-0.4181457194856424,
134,-0.9019596801604143,
135,-0.833637947207331,
136,-0.833637947207331,
137,-0.4183679796026556,
138,-0.07061413142443981,
139,-0.2696399507532413,
140,-0.23166044111292747,
141,-0.04378993942607573,-0.06103426525643317
142,-0.012694061972890554,-0.08847914686659614
143,-0.9331519763489733,-0.13369171158650275
144,-0.9331519763489733,-0.15057634251543145
145,-0.9227731007363836,-0.17304131102980264
146,-0.2894184343999935,-0.15570120770977966
147,-0.021622648192658973,-0.06755676787487648
148,0.07271059129848291,-0.09416025280376136
149,0.45109299755977544,-0.1284068516035938
150,0.03359370587067426,-0.05696383619217766
151,-0.6988986642098491,-0.03912607103048437
152,0.016360261650025656,-0.06030601130658558
153,0.12524126609892178,-0.02096376564067043
154,-0.20980069352609723,-0.15575570589176077
155,-0.3593650208989342,-0.2645606948053353
156,-0.15926374327442244,-0.22748009589157484
157,-0.19918612611846992,-0.18789868232655782
158,-0.36285717953411456,-0.17544561638278716
159,-0.6871057420594843,-0.18576907568189302
160,0.03768824431031613,-0.24242810422200706
161,0.08097442465516093,-0.10581311908810745
162,-0.175227658156545,-0.10215137240587722
163,-0.25362840996533687,-0.08975253139944209
164,-0.18749370748434002,-0.08377911543537907
165,-0.4024452465943065,-0.08459355898921234
166,-0.09230286038978519,-0.08779373787696637
167,-0.018362091953163996,-0.09348046288052249
168,0.015187682904628831,-0.10474992610993494
169,0.28678730791456153,-0.0662987210572764
170,-0.13543327641682368,-0.03534394192282495
