,VIX/TWSE inst_corr,VIX/TWSE hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,-2.059757377538635,
127,-2.059757377538635,
128,-0.18281067597231754,
129,0.023441797684477784,
130,-0.1796645391277887,
131,-0.44120565480288343,
132,-0.5397295891280469,
133,-0.5397295891280469,
134,-0.5397295891280469,
135,-0.6701584938796898,
136,-0.1316113499447823,
137,0.21201779844727245,
138,-0.722834136812996,
139,-0.722834136812996,
140,-0.722834136812996,
141,-0.920965725178911,
142,-0.5545730246318742,
143,-0.5545730246318742,
144,-0.9617992903925919,
145,-0.4038751006392612,
146,-0.23802496471821727,
147,-0.7306678818981863,
148,-0.7306678818981863,0.019378677174486016
149,-0.7306678818981863,0.01866541432807092
150,-0.7306678818981863,0.00535788932057636
151,-0.7306678818981863,-0.009363250089969213
152,-0.7886348898138145,-0.1017938363575414
153,-0.6907644662664097,-0.13928035759764829
154,-0.14023424314823338,-0.12359822200107264
155,0.10148096101017653,-0.07523997582310163
156,0.5189754189738487,0.12248400764269553
157,-0.058105243164019264,0.12038896736820763
158,-0.42364950253824535,0.11706391389859563
159,-0.42364950253824535,-0.07218990780150268
160,-0.42364950253824535,-0.0896401158877953
161,-0.42364950253824535,-0.041916812054678315
162,-0.42364950253824535,-0.08314323611794629
163,-0.5476756670762943,-0.0966821645530131
164,-0.06614088101589931,-0.06683087981798602
165,0.16554808659544604,0.09289780539746062
166,-0.17832638294043063,-0.015849118939656175
167,-0.47434695812094335,0.007745959426532166
168,-0.3507031092667614,-0.03469931930369804
169,-0.2183220942425773,-0.08285496709669801
170,-0.04744699154465716,-0.499221587830467
171,0.5443582356367198,0.029398302011212536
172,-0.18538135062783415,-0.00613276237376516
173,-0.17519693350390778,-0.005810292981069417
174,-0.20957117491353777,0.03964506250245253
175,-0.47011069303423575,0.011101839906712766
176,-0.9841360629574176,-0.11635004906586474
