,CAC/SPXT inst_corr,CAC/SPXT hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,0.11104592216302721,
119,0.27629211859679914,
120,0.9651890498521658,
121,0.9651890498521658,
122,0.9651890498521658,
123,0.9651890498521658,
124,0.9651890498521658,
125,0.9651890498521658,
126,0.9651890498521658,
127,0.9651890498521658,
128,0.732790794662718,
129,0.8837739183130632,
130,0.8837739183130632,
131,0.8837739183130632,
132,0.8837739183130632,
133,0.8837739183130632,
134,0.8837739183130632,
135,0.8837739183130632,
136,0.8837739183130632,
137,0.9612632611926745,
138,0.7181098562130758,
139,0.7231421380676788,0.41761029199437705
140,0.8828191295946209,0.433563096787308
141,0.8828191295946209,0.5342407057860428
142,0.8828191295946209,0.5148088901795022
143,0.8828191295946209,0.5265696058435545
144,0.8994180150495716,0.4700282667049018
145,0.8994180150495716,0.481911708637051
146,0.8994180150495716,0.48356881629814036
147,0.6546010515728551,0.41689227041810345
148,0.6546010515728551,0.3986057881895524
149,0.6546010515728551,0.34881485679624386
150,0.6546010515728551,0.3989574610255557
151,0.6546010515728551,0.37686071638336155
152,0.6546010515728551,0.3492898249166564
153,0.9869265934702862,0.33058837584274003
154,0.9869265934702862,0.41881550215625185
155,0.9869265934702862,0.4007025934051603
156,0.9869265934702862,0.4989605116683884
157,0.9869265934702862,0.5070586345261677
158,0.9869265934702862,0.48503418203657517
159,0.5954746867517324,0.7135886995377607
160,0.30130338292641595,0.7278239474796612
161,-0.09764280118992388,0.40734085316878466
162,0.10135017513411052,0.3002852606365362
163,0.530871739534753,0.4431762170469864
164,0.5599718081747084,0.35193675409492087
165,0.6939848066084905,0.3968627614259739
166,0.7757948597015948,0.3941906444304081
167,0.7910763683289551,0.41872041823349704
168,0.5241932213218867,0.4480423828496191
169,0.637907121174799,0.4464733242447
170,0.754891458912989,0.441044086781014
171,0.9799529460457905,0.4287226919685401
172,0.8049718109271027,0.4233588052848016
